probe,ix,iy,x_mm,y_mm,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-4.0,-2.5,0.15,0.2942636828448535,0.18782683722910748,ball4_x-4.00_y-2.50_d0.15.png,1789036586.8756564,-0.0016204546367976746,0.005857497210173613,-0.18782683722910748,36.0746269226074,357.8287353515625,35.47159576416015,0,0.0,None,12
ball4,0,0,-4.0,-2.5,0.3,0.44948037227141313,0.6776232630631001,ball4_x-4.00_y-2.50_d0.30.png,1789036589.215816,0.0024657955725754022,0.0020885824574387256,-0.6776232630631001,36.06850814819336,357.8328552246093,35.32910537719726,346,10.49453289192004,"[640.3843930635838, 90.24277456647398]",12
ball4,1,0,-2.0,-2.5,0.15,0.2626778464233226,0.15486435543216998,ball4_x-2.00_y-2.50_d0.15.png,1789036591.9478924,0.011876334134291256,0.006429021629878839,-0.15486435543216998,37.8042869567871,358.8393249511718,35.51129913330078,3380,32.80072278626208,"[796.598224852071, 224.8766272189349]",12
ball4,1,0,-2.0,-2.5,0.3,0.4189903153214587,0.6286819710322448,ball4_x-2.00_y-2.50_d0.30.png,1789036594.2921116,0.009162495720400088,0.0046515671036718945,-0.6286819710322448,37.81105041503906,358.8388671875,35.3611488342285,0,0.0,None,12
ball4,2,0,0.0,-2.5,0.15,0.22773226931045087,0.16147289231964237,ball4_x+0.00_y-2.50_d0.15.png,1789036597.0202525,0.011931311265871969,0.01302889685111186,-0.16147289231964237,39.53427505493164,359.8351440429687,35.53861999511718,31767,100.55719842159725,"[1010.1380678062139, 264.17461516668243]",12
ball4,2,0,0.0,-2.5,0.3,0.38507535898356693,0.6233486195312707,ball4_x+0.00_y-2.50_d0.30.png,1789036599.364381,0.006694711253252805,0.00665382784860391,-0.6233486195312707,39.54101181030273,359.8304138183593,35.39107513427734,69179,148.39258612312292,"[1014.419954032293, 270.86576851356625]",12
ball4,3,0,2.0,-2.5,0.15,0.18959750770190809,0.15467008705779506,ball4_x+2.00_y-2.50_d0.15.png,1789036602.4844902,0.005952562765794767,0.009447101318260742,-0.15467008705779506,41.26585006713867,360.8351745605468,35.57086181640625,39363,111.93583898757606,"[1217.5449533826181, 370.58737901074613]",12
ball4,3,0,2.0,-2.5,0.3,0.34335318348480115,0.6028683757083855,ball4_x+2.00_y-2.50_d0.30.png,1789036605.2166526,0.00026033937062095445,-0.009657005381048477,-0.6028683757083855,41.2742576599121,360.8392028808593,35.42171096801758,80643,160.21692841744107,"[1217.8961472167455, 376.55624170727776]",12
ball4,4,0,4.0,-2.5,0.15,0.15584662354859447,0.16354467706997297,ball4_x+4.00_y-2.50_d0.15.png,1789036608.1409032,0.011989859495297494,0.00791819263596576,-0.16354467706997297,43.00597381591797,361.8371276855468,35.61368560791015,16225,71.86499776199818,"[1468.944653312789, 412.30428351309706]",12
ball4,4,0,4.0,-2.5,0.3,0.3050705172234274,0.535343025163948,ball4_x+4.00_y-2.50_d0.30.png,1789036610.4849615,0.0031003702268233013,0.0031770528402736533,-0.535343025163948,43.00835800170898,361.8291931152343,35.45336532592773,63570,142.24963783680988,"[1450.0736982853548, 471.6359918200409]",12
ball4,0,1,-4.0,0.0,0.15,0.19431347529977216,0.17113129661701976,ball4_x-4.00_y+0.00_d0.15.png,1789036615.3613384,0.00243844772934203,0.0159118019495752,-0.17113129661701976,34.8253059387207,359.9995727539062,35.53727722167968,5073,40.184400612804595,"[376.20303567908536, 258.8661541494185]",12
ball4,0,1,-4.0,0.0,0.3,0.34828431605302157,0.628267429004228,ball4_x-4.00_y+0.00_d0.30.png,1789036618.093504,0.0031942310148352247,0.00841148508691809,-0.628267429004228,34.81850814819336,359.997314453125,35.38726806640625,16965,73.48555789478644,"[541.5066312997347, 233.9012673150604]",12
ball4,1,1,-2.0,0.0,0.15,0.15979123619866797,0.14065774860162322,ball4_x-2.00_y+0.00_d0.15.png,1789036620.8256292,0.010330627949582194,0.015521896142257675,-0.14065774860162322,36.54993820190429,361.0015563964843,35.5662384033203,5952,43.52677845379694,"[723.5364583333334, 342.002688172043]",12
ball4,1,1,-2.0,0.0,0.3,0.30802564575049374,0.5346053654621983,ball4_x-2.00_y+0.00_d0.30.png,1789036623.1658318,0.010414314353263166,0.015540972974693368,-0.5346053654621983,36.55531311035156,361.0028076171875,35.41779327392578,38675,110.95330030313701,"[681.0614350355527, 395.58303813833226]",12
ball4,2,1,0.0,0.0,0.15,0.12445006877738862,0.14330335626580962,ball4_x+0.00_y+0.00_d0.15.png,1789036626.2858932,0.019357770320804234,0.012460809123220961,-0.14330335626580962,38.29396057128906,361.9950256347656,35.5994300842285,44951,119.61750580014439,"[855.4384107138884, 496.58890792195945]",12
ball4,2,1,0.0,0.0,0.3,0.2748273670005119,0.5368545909813889,ball4_x+0.00_y+0.00_d0.30.png,1789036629.0181754,0.00882078165654363,0.004487770972210115,-0.5368545909813889,38.29063034057617,361.9952392578125,35.4489059448242,86350,165.78919950337635,"[863.8542790966994, 523.1130978575565]",12
ball4,3,1,2.0,0.0,0.15,0.09270172447770975,0.16597782251173782,ball4_x+2.00_y+0.00_d0.15.png,1789036633.3103056,0.02258601382853982,0.01231430268124729,-0.16597782251173782,40.02576446533203,363.007110595703,35.6418113708496,45353,120.15118920798686,"[1040.233082706767, 592.5142107468083]",12
ball4,3,1,2.0,0.0,0.3,0.24516908353779954,0.5618390896545833,ball4_x+2.00_y+0.00_d0.30.png,1789036636.0425403,0.01235574415595444,0.009296664588813463,-0.5618390896545833,40.02011108398437,362.9991760253906,35.48022079467773,95371,174.2341302823138,"[1045.9285527047007, 607.4677941932034]",12
ball4,4,1,4.0,0.0,0.15,0.06086534051537029,0.1357066324259307,ball4_x+4.00_y+0.00_d0.15.png,1789036641.1148863,0.023253301660927407,0.021470960332369237,-0.1357066324259307,41.75098037719726,364.003662109375,35.67383956909179,38567,110.79827336402971,"[1275.0635776700287, 720.8661550029818]",12
ball4,4,1,4.0,0.0,0.3,0.21227416430440016,0.5369090652333626,ball4_x+4.00_y+0.00_d0.30.png,1789036643.8470235,0.01720002429086769,0.009101436866147061,-0.5369090652333626,41.75885772705078,363.99365234375,35.5091209411621,82837,162.38176018816483,"[1270.4932940594178, 710.7661914361939]",12
ball4,0,2,-4.0,2.5,0.15,0.09105039407767279,0.14319398725809834,ball4_x-4.00_y+2.50_d0.15.png,1789036648.9192202,0.012807986946111783,0.013275097259460545,-0.14319398725809834,33.5786552429199,362.1656799316406,35.59469604492187,3984,35.61104585035691,"[224.37625502008032, 511.449297188755]",12
ball4,0,2,-4.0,2.5,0.3,0.25126701781449157,0.6089462132432487,ball4_x-4.00_y+2.50_d0.30.png,1789036651.2594452,0.00872763765286777,-0.004586896712732625,-0.6089462132432487,33.5725860595703,362.1610107421875,35.44050216674804,15218,69.5991368333324,"[198.21119726639506, 501.5871993691681]",12
ball4,1,2,-2.0,2.5,0.15,0.059749744275848116,0.13335056030855413,ball4_x-2.00_y+2.50_d0.15.png,1789036653.9915931,0.027622444176853733,0.024290963387665877,-0.13335056030855413,35.30295944213867,363.1746826171875,35.6358413696289,860,16.545286401814263,"[568.7139534883721, 687.2174418604651]",12
ball4,1,2,-2.0,2.5,0.3,0.21032582356825458,0.5332154158430427,ball4_x-2.00_y+2.50_d0.30.png,1789036656.3316653,0.018770010004535466,0.015114486673377314,-0.5332154158430427,35.3117446899414,363.164093017578,35.48146820068359,19907,79.60273176380771,"[597.427387351183, 641.5487516953835]",12
