probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-0.5200150616593215,-1.6465874033292707,729.9703009597123,436.116288657308,0.15,0.20180699959926685,0.05751191139165997,ball4_x-0.52_y-1.65_d0.15.png,1789038386.5263891,0.011169549550209368,0.003606483317093634,-0.05751191139165997,38.31574630737304,361.0314331054687,35.5081214904785,25549,90.18037082486227,"[864.3511292027085, 396.16067165055387]",12
ball4,0,0,-0.5200150616593215,-1.6465874033292707,729.9703009597123,436.116288657308,0.3,0.3817578939657551,0.35005377411589506,ball4_x-0.52_y-1.65_d0.30.png,1789038387.8944726,0.021199213142232765,0.012115614828984178,-0.35005377411589506,38.31383895874023,361.0391235351562,35.3778953552246,64223,142.97837535928846,"[873.2611681173412, 427.3483487224203]",12
ball4,1,0,0.8124697608428174,-3.090615583295499,844.9851504798561,436.116288657308,0.15,0.2547671714426407,0.05673085530008848,ball4_x+0.81_y-3.09_d0.15.png,1789038391.2106845,0.017035094722717047,0.014736937035402598,-0.05673085530008848,40.19187545776367,360.4551696777343,35.50335311889648,13047,64.44368925690023,"[1061.8596612248027, 366.8406530236836]",12
ball4,1,0,0.8124697608428174,-3.090615583295499,844.9851504798561,436.116288657308,0.3,0.4277715700250866,0.34356584699631865,ball4_x+0.81_y-3.09_d0.30.png,1789038392.5747545,0.020287047857086904,0.015471746525309093,-0.34356584699631865,40.1975860595703,360.4378967285156,35.35118865966797,39720,112.44229043923005,"[1065.0953172205438, 394.0263343403827]",12
ball4,2,0,2.1449545833449575,-4.534643763261729,960.0,436.116288657308,0.15,0.29446337722729865,0.10198030802439746,ball4_x+2.14_y-4.53_d0.15.png,1789038395.3069234,0.01630666456114511,0.016841979176499322,-0.10198030802439746,42.06497955322265,359.8662719726562,35.47486877441406,13727,66.10173831031145,"[1348.075107452466, 162.28301886792454]",12
ball4,2,0,2.1449545833449575,-4.534643763261729,960.0,436.116288657308,0.3,0.4753081429603121,0.3492215529791395,ball4_x+2.14_y-4.53_d0.30.png,1789038396.6709175,0.02444123716458684,0.01939827440467745,-0.3492215529791395,42.07033538818359,359.8693542480468,35.34119796752929,34158,104.27285884766908,"[1301.3853270097782, 308.21587914983314]",12
ball4,3,0,3.4774394058470963,-5.978671943227958,1075.0148495201438,436.116288657308,0.15,0.33806547801018283,0.11847295912411368,ball4_x+3.48_y-5.98_d0.15.png,1789038399.4031582,0.02434982516589308,0.014586125958695639,-0.11847295912411368,43.94257736206054,359.27880859375,35.45223999023437,2992,30.860706075232656,"[1536.105280748663, 202.2971256684492]",12
ball4,3,0,3.4774394058470963,-5.978671943227958,1075.0148495201438,436.116288657308,0.3,0.5173146249368621,0.3521722377329951,ball4_x+3.48_y-5.98_d0.30.png,1789038400.7672956,0.027811049559308642,0.015976031557132054,-0.3521722377329951,43.94427108764648,359.279815673828,35.30907440185547,20642,81.05894565441749,"[1536.6139908923553, 224.81397151438813]",12
ball4,4,0,4.809924228349238,-7.42270012319419,1190.0296990402878,436.116288657308,0.15,0.39067772942467727,0.1277970371326262,ball4_x+4.81_y-7.42_d0.15.png,1789038403.4994574,0.012328088752904165,0.013258618642168152,-0.1277970371326262,45.80513381958008,358.6913452148437,35.42591857910156,216,8.291859587312052,"[905.4722222222222, 571.4305555555555]",12
ball4,4,0,4.809924228349238,-7.42270012319419,1190.0296990402878,436.116288657308,0.3,0.56353293770945,0.37811182730760323,ball4_x+4.81_y-7.42_d0.30.png,1789038404.8675342,0.01661327813644391,0.019806054373651703,-0.37811182730760323,45.8159713745117,358.6918029785156,35.28586959838867,353,10.600159896099592,"[902.1473087818697, 565.5410764872521]",12
