approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.38349865918075565,-0.01982750571682805,-0.025395149671777518,0,24.109390011088603,0.4,False
1,0.7729625699747729,0.008607354251271997,0.004060010604717945,0,24.109390011088603,0.4,False
1,0.8374555945551378,0.0496914929697658,0.048429949841542454,69997,24.109390011088603,0.02,True
1,0.8100182407299172,0.04094847341105973,0.04040848718035761,8760,24.109390011088603,0.02,True
1,0.817081352126106,0.0319231911877544,0.03206515272069055,10484,24.109390011088603,0.02,True
1,0.820881930721491,0.028698319947196488,0.029545079710564436,11585,24.109390011088603,0.02,True
1,0.821728556210072,0.06526998430897664,0.06681038847539753,10481,24.109390011088603,0.02,True
1,0.8691724530888543,0.09807479338199779,0.10036697083715182,24950,24.109390011088603,0.02,True
1,0.9158022057633701,0.19867550176403234,0.20183527393519968,36294,24.109390011088603,0.02,True
1,0.9048361306227193,0.17167030507613457,0.17566282945216471,29933,24.109390011088603,0.02,True
1,0.9174447897318778,0.19358485828081118,0.19839538599544823,30139,24.109390011088603,0.02,True
1,0.9367042342041856,0.2381619486519392,0.24379215090301046,35847,24.109390011088603,0.02,True
1,0.9450482146592734,0.251392479050517,0.25790840175069435,36355,24.109390011088603,0.02,True
1,0.960125969122064,0.30494516961067897,0.3123267924208733,37484,24.109390011088603,0.02,True
1,1.0100395424624757,0.4492692011900175,0.4575550148942341,46710,24.109390011088603,0.02,True
1,1.0153515161632463,0.5141208320130367,0.5233263407891343,47999,24.109390011088603,0.02,True
1,1.0265328270535719,0.533165568910949,0.5432696113800688,50942,24.109390011088603,0.02,True
1,1.045740684218437,0.5993577436594575,0.61044809174237,52285,24.109390011088603,0.02,True
