sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_medium_3mm_r2,1,2026-09-03T23:14:01.055718,0001.png,N0.10,0.03432,0.03184,-0.0788,-0.00118,-0.000387,0.001148,0.01436,0.04346,-0.07941,0.09166,37.9,362.9683,39.5236,-0.0,0.1869,-4.911,14.979,0.5107,0.049
9DTact_medium_3mm_r2,2,2026-09-03T23:14:03.655963,0002.png,N0.20,0.03433,0.0296,-0.19052,-0.001081,-0.000421,0.001176,0.01627,0.03974,-0.19107,0.19584,37.9026,362.9612,39.33,0.1937,0.3806,-2.21,5.675,0.2314,0.049
9DTact_medium_3mm_r2,3,2026-09-03T23:14:05.959309,0003.png,N0.30,0.03449,0.03052,-0.29791,-0.001101,-0.000404,0.0014,0.01669,0.03889,-0.29846,0.30145,37.9062,362.9566,39.2129,0.3109,0.4978,-1.357,3.696,0.1528,0.049
9DTact_medium_3mm_r2,4,2026-09-03T23:14:07.252446,0004.png,N0.40,0.03698,0.03235,-0.35162,-0.001036,-0.000415,0.001475,0.0183,0.04086,-0.3522,0.35504,37.9086,362.951,39.1386,0.3853,0.5721,-1.181,2.946,0.1384,0.049
9DTact_medium_3mm_r2,5,2026-09-03T23:14:09.839371,0005.png,N0.50,0.03516,0.03373,-0.468,-0.001054,-0.000356,0.001193,0.01685,0.03928,-0.46858,0.47053,37.9083,362.9554,38.9531,0.5706,0.7575,-0.76,2.252,0.1036,0.049
9DTact_medium_3mm_r2,6,2026-09-03T23:14:12.260521,0006.png,N0.60,0.03584,0.02916,-0.61621,-0.000998,-0.000375,0.00132,0.02075,0.0333,-0.61669,0.61794,37.9146,362.9402,38.7923,0.7317,0.9186,-0.608,1.62,0.0748,0.049
9DTact_medium_3mm_r2,7,2026-09-03T23:14:13.639018,0007.png,N0.70,0.03569,0.02974,-0.68294,-0.000831,-0.000326,0.001333,0.02079,0.03265,-0.68342,0.68452,37.9155,362.938,38.7272,0.7968,0.9837,-0.478,1.216,0.0679,0.049
9DTact_medium_3mm_r2,8,2026-09-03T23:14:15.856859,0008.png,N0.80,0.03887,0.03332,-0.81222,-0.00087,-0.000405,0.001369,0.02266,0.03527,-0.81275,0.81383,37.918,362.9391,38.6076,0.9164,1.1033,-0.499,1.072,0.0629,0.049
9DTact_medium_3mm_r2,9,2026-09-03T23:14:17.944001,0009.png,N0.90,0.0413,0.03347,-0.9053,-0.000732,-0.000252,0.001378,0.02532,0.03512,-0.90583,0.90686,37.9175,362.9387,38.5223,1.0017,1.1886,-0.278,0.809,0.0586,0.049
9DTact_medium_3mm_r2,10,2026-09-03T23:14:20.139473,0010.png,N1.00,0.0409,0.03197,-1.0101,-0.000802,-0.000466,0.001315,0.02645,0.03194,-1.01058,1.01143,37.9214,362.9276,38.4185,1.1058,1.2926,-0.461,0.794,0.0513,0.049
9DTact_medium_3mm_r2,11,2026-09-03T23:14:21.453374,0011.png,N1.10,0.04184,0.03076,-1.0748,-0.00071,-0.00041,0.001243,0.02832,0.03033,-1.07525,1.07605,37.9239,362.9244,38.3427,1.1816,1.3685,-0.382,0.661,0.0483,0.049
9DTact_medium_3mm_r2,12,2026-09-03T23:14:23.665494,0012.png,N1.20,0.0453,0.03457,-1.22621,-0.000791,-0.000284,0.001318,0.03047,0.03293,-1.22672,1.22754,37.9235,362.9281,38.2208,1.3034,1.4903,-0.231,0.645,0.0464,0.049
9DTact_medium_3mm_r2,13,2026-09-03T23:14:25.038186,0013.png,N1.30,0.04607,0.03595,-1.3021,-0.000685,-0.000308,0.001366,0.03097,0.0333,-1.30262,1.30342,37.9257,362.9264,38.1799,1.3444,1.5313,-0.237,0.526,0.0448,0.049
9DTact_medium_3mm_r2,14,2026-09-03T23:14:26.344858,0014.png,N1.40,0.04421,0.03439,-1.37871,-0.000607,-0.000346,0.001321,0.03067,0.02978,-1.37918,1.37984,37.9254,362.9207,38.1027,1.4216,1.6085,-0.251,0.44,0.0406,0.049
9DTact_medium_3mm_r2,15,2026-09-03T23:14:28.454292,0015.png,N1.50,0.04563,0.03835,-1.52763,-0.000739,-0.000308,0.00145,0.03096,0.03154,-1.52816,1.5288,37.9277,362.923,37.9921,1.5321,1.719,-0.202,0.484,0.039,0.049
9DTact_medium_3mm_r2,16,2026-09-03T23:14:29.842897,0016.png,N1.60,0.04347,0.02937,-1.57392,-0.00054,-0.000475,0.001403,0.0339,0.02194,-1.57428,1.57479,37.9294,362.9135,37.9666,1.5579,1.7448,-0.302,0.343,0.0333,0.049
9DTact_medium_3mm_r2,17,2026-09-03T23:14:31.161083,0017.png,N1.70,0.04266,0.02939,-1.68382,-0.000449,-0.000433,0.001495,0.03394,0.0198,-1.68416,1.68461,37.9293,362.9065,37.8756,1.6489,1.8358,-0.257,0.267,0.0308,0.049
