sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_soft_3mm_r2,1,2026-09-03T16:31:18.654602,0001.png,N0.10,0.04831,0.05904,-0.01781,-0.001176,-0.00184,0.000932,0.01247,0.07498,-0.01893,0.07834,37.9702,362.9917,39.4333,-0.0,0.1356,-103.284,66.026,0.9738,0.039
9DTact_soft_3mm_r2,2,2026-09-03T16:31:21.141502,0002.png,N0.20,0.04877,0.057,-0.13671,-0.000895,-0.00178,0.001069,0.01471,0.07155,-0.13778,0.15594,37.9725,362.9862,39.2537,0.1797,0.3153,-13.02,6.549,0.4811,0.039
9DTact_soft_3mm_r2,3,2026-09-03T16:31:23.643298,0003.png,N0.30,0.04859,0.06044,-0.22342,-0.001018,-0.001808,0.00115,0.01344,0.07304,-0.22453,0.2365,37.9754,362.978,39.0727,0.3608,0.4964,-8.093,4.557,0.3279,0.039
9DTact_soft_3mm_r2,4,2026-09-03T16:31:26.251835,0004.png,N0.40,0.05095,0.06237,-0.36257,-0.00103,-0.001836,0.001165,0.01548,0.07366,-0.3637,0.37141,37.9772,362.9782,38.8768,0.5567,0.6923,-5.063,2.84,0.2168,0.039
9DTact_soft_3mm_r2,5,2026-09-03T16:31:28.532943,0005.png,N0.50,0.05239,0.0582,-0.43033,-0.000999,-0.001825,0.001042,0.01929,0.06969,-0.43138,0.4374,37.9868,362.9698,38.7422,0.6915,0.8271,-4.24,2.321,0.179,0.039
9DTact_soft_3mm_r2,6,2026-09-03T16:31:30.949526,0006.png,N0.60,0.05575,0.05766,-0.53066,-0.000983,-0.001869,0.000888,0.02316,0.06929,-0.53169,0.53669,37.9902,362.9665,38.5941,0.8397,0.9753,-3.522,1.853,0.1494,0.039
9DTact_soft_3mm_r2,7,2026-09-03T16:31:32.254374,0007.png,N0.70,0.05532,0.05892,-0.59445,-0.000878,-0.001753,0.000936,0.0226,0.06915,-0.59549,0.59992,37.9919,362.9616,38.5194,0.9144,1.05,-2.949,1.477,0.1347,0.039
9DTact_soft_3mm_r2,8,2026-09-03T16:31:34.636816,0008.png,N0.80,0.05877,0.06666,-0.72844,-0.000941,-0.001704,0.000916,0.02265,0.07543,-0.7296,0.73384,37.9926,362.9752,38.3835,1.0501,1.1857,-2.339,1.292,0.1211,0.039
9DTact_soft_3mm_r2,9,2026-09-03T16:31:36.840662,0009.png,N0.90,0.05966,0.06664,-0.8254,-0.000913,-0.001697,0.000896,0.0241,0.0743,-0.82655,0.83023,37.9986,362.9719,38.2714,1.1622,1.2978,-2.055,1.106,0.1077,0.039
9DTact_soft_3mm_r2,10,2026-09-03T16:31:39.154692,0010.png,N1.00,0.06142,0.06863,-0.95164,-0.000993,-0.001743,0.000938,0.02551,0.07488,-0.95281,0.95609,37.9987,362.9716,38.1443,1.2893,1.4249,-1.831,1.044,0.0963,0.039
9DTact_soft_3mm_r2,11,2026-09-03T16:31:40.450938,0011.png,N1.10,0.05803,0.06388,-1.00184,-0.00097,-0.001822,0.000921,0.02529,0.06827,-1.00291,1.00555,37.9993,362.9682,38.093,1.3407,1.4763,-1.818,0.969,0.0858,0.039
9DTact_soft_3mm_r2,12,2026-09-03T16:31:41.737161,0012.png,N1.20,0.0591,0.06871,-1.08444,-0.001003,-0.001755,0.001077,0.02438,0.07167,-1.08559,1.08822,38.0021,362.965,38.027,1.4067,1.5423,-1.618,0.925,0.0833,0.039
9DTact_soft_3mm_r2,13,2026-09-03T16:31:44.036075,0013.png,N1.30,0.05989,0.06967,-1.23119,-0.000814,-0.001709,0.000969,0.0256,0.07055,-1.23233,1.23461,38.0049,362.9642,37.8953,1.5384,1.6741,-1.388,0.661,0.0744,0.039
9DTact_soft_3mm_r2,14,2026-09-03T16:31:46.840435,0014.png,N1.40,0.05984,0.06831,-1.32435,-0.000717,-0.001702,0.001113,0.02689,0.06785,-1.32545,1.32746,38.0074,362.9607,37.8143,1.6195,1.7552,-1.285,0.542,0.0684,0.039
9DTact_soft_3mm_r2,15,2026-09-03T16:31:48.954312,0015.png,N1.50,0.06108,0.07643,-1.45002,-0.000736,-0.001575,0.001193,0.02478,0.07349,-1.45124,1.45331,38.0075,362.968,37.738,1.6957,1.8313,-1.086,0.508,0.0673,0.039
9DTact_soft_3mm_r2,16,2026-09-03T16:31:50.234568,0016.png,N1.60,0.0645,0.07735,-1.50239,-0.000996,-0.00181,0.001294,0.02763,0.07515,-1.50363,1.50576,38.0067,362.965,37.6901,1.7436,1.8792,-1.205,0.663,0.0669,0.039
