index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788453665.579785,1788453665.375085,normal_load,1,,0.09246840745308874,0.00503,-0.00269,-0.04876,0.00013,-5e-05,0.00011,0.00513,-0.00282,-0.04911,0.00013,-4e-05,0.00011,0.00604,-0.0006,-0.04871,10,37.9045,362.8566,37.8272,-179.246,-0.5639,-118.0178,0.0053,25.5158,-0.0088
2,000002.png,False,1788453665.787783,1788453665.583083,normal_load,1,,0.09246840745308874,0.00374,-0.00447,-0.07263,0.00016,-8e-05,0.00015,0.00385,-0.00461,-0.07301,0.00016,-8e-05,0.00014,0.00598,-0.00316,-0.07255,10,37.9079,362.8386,37.7457,-179.2435,-0.5672,-118.0183,0.005,25.434,0.073
3,000003.png,False,1788453665.996379,1788453665.791679,normal_load,1,,0.09246840745308874,0.00479,-0.00435,-0.08375,8e-05,-0.0001,0.00019,0.0049,-0.00451,-0.08416,8e-05,-0.0001,0.00018,0.0069,-0.00272,-0.08367,11,37.9078,362.8411,37.7484,-179.2436,-0.567,-118.018,0.0071,25.4367,0.0703
4,000004.png,False,1788453666.200869,1788453665.996169,normal_load,1,,0.09246840745308874,0.00435,-0.00369,-0.09526,0.00016,-5e-05,0.00027,0.00446,-0.00386,-0.0957,0.00015,-4e-05,0.00026,0.00627,-0.00255,-0.09519,10,37.9068,362.844,37.7565,-179.2442,-0.5663,-118.018,0.0034,25.4448,0.0622
5,000005.png,False,1788453666.407860,1788453666.203160,normal_load,1,,0.1330984527166777,0.00435,-0.00376,-0.07921,0.00018,-2e-05,0.00012,0.00448,-0.00394,-0.07969,0.00017,-2e-05,0.00011,0.0062,-0.00235,-0.07914,10,37.9062,362.8481,37.7651,-179.2451,-0.5651,-118.018,0.002,25.4536,0.0534
6,000006.png,False,1788453666.611969,1788453666.407269,normal_load,1,,0.1330984527166777,0.00552,-0.00329,-0.08158,8e-05,-5e-05,0.0002,0.00565,-0.00349,-0.08209,7e-05,-5e-05,0.0002,0.00699,-0.0014,-0.08152,10,37.9078,362.8467,37.7532,-179.2454,-0.5648,-118.0185,0.0052,25.4416,0.0654
7,000007.png,False,1788453666.819869,1788453666.615169,normal_load,1,,0.1330984527166777,0.00642,-0.00102,-0.08887,9e-05,-1e-05,0.00025,0.00656,-0.00123,-0.08941,8e-05,-1e-05,0.00025,0.00669,0.0009,-0.08885,10,37.9055,362.8544,37.757,-179.2467,-0.5631,-118.018,0.0085,25.4455,0.0615
8,000008.png,False,1788453667.027992,1788453666.823292,normal_load,1,,0.14242321036979605,0.00586,0.00113,-0.09908,0.00011,7e-05,0.00027,0.00602,0.00091,-0.09965,0.0001,7e-05,0.00026,0.0052,0.00232,-0.0991,10,37.9012,362.8819,37.7267,-179.2538,-0.5542,-118.0179,0.0017,25.4157,0.0913
9,000009.png,False,1788453667.231960,1788453667.027260,normal_load,1,,0.14242321036979605,0.01007,0.00572,-0.09666,-9e-05,5e-05,0.00013,0.01023,0.00549,-0.09726,-0.0001,6e-05,0.00013,0.00653,0.00844,-0.09677,10,37.9023,362.876,37.7266,-179.2524,-0.5559,-118.0184,0.0006,25.4156,0.0914
10,000010.png,False,1788453667.439828,1788453667.235128,normal_load,1,,0.1478452409146655,0.00919,0.00306,-0.07182,-0.00012,-0.0,-1e-05,0.00936,0.00282,-0.07245,-0.00013,-0.0,-2e-05,0.00693,0.00609,-0.07188,10,37.9046,362.8664,37.6771,-179.2493,-0.5595,-118.018,0.0068,25.3658,0.1412
11,000011.png,False,1788453667.643833,1788453667.439133,normal_load,1,,0.1478452409146655,0.00776,-0.0001,-0.10232,4e-05,-5e-05,-6e-05,0.00794,-0.00035,-0.10299,3e-05,-4e-05,-7e-05,0.00748,0.00215,-0.10232,10,37.9035,362.8669,37.6771,-179.2493,-0.5598,-118.0182,0.0091,25.3658,0.1412
12,000012.png,False,1788453667.851812,1788453667.647112,normal_load,1,,0.1554016663893151,0.00828,0.00097,-0.1194,3e-05,3e-05,2e-05,0.00847,0.0007,-0.12009,2e-05,4e-05,1e-05,0.00752,0.00306,-0.11941,10,37.9073,362.8502,37.5722,-179.2447,-0.5656,-118.0182,0.0097,25.2607,0.2463
13,000013.png,False,1788453668.059975,1788453667.855275,normal_load,1,,0.1554016663893151,0.00966,-0.0018,-0.18784,-0.0,-3e-05,5e-05,0.00986,-0.00208,-0.18857,-1e-05,-2e-05,4e-05,0.01057,0.00026,-0.1878,10,37.9052,362.8588,37.5785,-179.2465,-0.5634,-118.0182,0.0029,25.2672,0.2398
14,000014.png,False,1788453668.263957,1788453668.059257,normal_load,1,,0.2041575895399177,0.0094,0.00117,-0.15196,-4e-05,-1e-05,-0.0,0.0096,0.00089,-0.15272,-5e-05,-1e-05,-1e-05,0.00861,0.00328,-0.15198,10,37.9057,362.8604,37.5962,-179.248,-0.5611,-118.0182,0.0033,25.2849,0.2221
15,000015.png,False,1788453668.471908,1788453668.267208,normal_load,1,,0.2041575895399177,0.00991,0.00411,-0.17446,1e-05,5e-05,0.00011,0.01013,0.00381,-0.17525,-0.0,5e-05,0.0001,0.00774,0.00572,-0.17453,10,37.9039,362.8675,37.5882,-179.2501,-0.5588,-118.0182,0.0029,25.2769,0.2301
16,000016.png,False,1788453668.675880,1788453668.471180,normal_load,1,,0.20741040274466516,0.01047,0.00249,-0.16008,-0.0001,-4e-05,2e-05,0.01069,0.00218,-0.1609,-0.00011,-3e-05,0.0,0.00894,0.00482,-0.16012,11,37.9026,362.869,37.5853,-179.2501,-0.5588,-118.0182,0.0052,25.2741,0.2329
17,000017.png,False,1788453668.883983,1788453668.679283,normal_load,1,,0.20741040274466516,0.00977,0.00506,-0.20324,2e-05,6e-05,0.00017,0.01,0.00474,-0.20409,1e-05,7e-05,0.00016,0.00734,0.00601,-0.20332,10,37.9045,362.8701,37.5577,-179.2537,-0.5539,-118.0184,0.0083,25.2466,0.2604
18,000018.png,False,1788453669.091744,1788453668.887044,normal_load,1,,0.20741040274466516,0.0094,0.00574,-0.19947,-0.00016,4e-05,0.00021,0.00964,0.0054,-0.20035,-0.00017,5e-05,0.0002,0.00666,0.00647,-0.19955,10,37.9028,362.8744,37.5587,-179.2537,-0.5542,-118.0184,0.0021,25.2476,0.2594
19,000019.png,False,1788453669.296001,1788453669.091301,normal_load,1,,0.24446034019127583,0.01017,0.00562,-0.21946,-4e-05,5e-05,0.00031,0.01042,0.00527,-0.22038,-5e-05,6e-05,0.0003,0.00753,0.00643,-0.21954,11,37.9041,362.869,37.5495,-179.252,-0.5561,-118.0182,0.0004,25.2383,0.2687
20,000020.png,False,1788453669.503888,1788453669.299188,normal_load,1,,0.2649755637901535,0.00856,0.00217,-0.21289,0.0,-1e-05,0.0002,0.00882,0.00181,-0.21383,-1e-05,-1e-05,0.00018,0.00781,0.00275,-0.21291,10,37.9042,362.8629,37.5344,-179.2502,-0.5583,-118.0178,0.0043,25.2231,0.2839
21,000021.png,False,1788453669.707771,1788453669.503071,normal_load,1,,0.2649755637901535,0.00424,-0.01397,-0.33424,0.00038,-0.00016,0.00022,0.0045,-0.01434,-0.33521,0.00036,-0.00015,0.00021,0.01297,-0.01534,-0.33395,10,37.9109,362.8314,37.4219,-179.24,-0.5716,-118.0183,0.0069,25.1101,0.3969
22,000022.png,False,1788453669.915887,1788453669.711187,normal_load,1,,0.2649755637901535,0.00914,-0.00523,-0.28517,0.00013,-8e-05,0.00014,0.00941,-0.00561,-0.28618,0.00012,-7e-05,0.00012,0.0125,-0.00453,-0.28506,11,37.9063,362.8521,37.4672,-179.2466,-0.5636,-118.0182,0.0065,25.1558,0.3512
23,000023.png,False,1788453670.123859,1788453669.919159,normal_load,1,,0.35252168257502203,0.01269,0.00474,-0.25816,-9e-05,-2e-05,0.00026,0.01297,0.00435,-0.2592,-0.0001,-1e-05,0.00025,0.01041,0.00631,-0.25823,10,37.9051,362.8617,37.4867,-179.2497,-0.5593,-118.0182,0.0024,25.1754,0.3316
24,000024.png,False,1788453670.328103,1788453670.123403,normal_load,1,,0.35252168257502203,0.01488,0.01145,-0.24265,-0.00027,4e-05,6e-05,0.01516,0.01104,-0.24372,-0.00028,5e-05,5e-05,0.00885,0.01346,-0.24284,10,37.9014,362.8886,37.4674,-179.2563,-0.551,-118.0183,0.0005,25.1566,0.3504
25,000025.png,False,1788453670.535850,1788453670.331150,normal_load,1,,0.323959117391243,0.01755,0.01606,-0.26818,-0.00027,0.00012,0.00017,0.01784,0.01564,-0.26928,-0.00028,0.00013,0.00015,0.00903,0.01838,-0.26845,11,37.9022,362.8851,37.469,-179.2558,-0.5516,-118.0186,0.0068,25.1581,0.3489
26,000026.png,False,1788453670.740052,1788453670.535352,normal_load,1,,0.323959117391243,0.01621,0.01367,-0.2658,-0.00034,5e-05,0.00017,0.01652,0.01324,-0.26694,-0.00036,6e-05,0.00015,0.00905,0.01568,-0.26603,10,37.9021,362.8882,37.46,-179.2571,-0.5499,-118.0186,0.0097,25.1491,0.3579
27,000027.png,False,1788453670.947833,1788453670.743133,normal_load,1,,0.323959117391243,0.01752,0.01493,-0.272,-0.00033,0.00011,0.00016,0.01783,0.01449,-0.27317,-0.00035,0.00012,0.00014,0.0096,0.01733,-0.27225,10,37.9017,362.8891,37.4565,-179.2569,-0.5498,-118.0186,0.004,25.1457,0.3613
28,000028.png,False,1788453671.155737,1788453670.951037,normal_load,1,,0.3258888787812964,0.01845,0.01563,-0.3066,-0.00038,0.00011,0.00016,0.01877,0.01517,-0.3078,-0.0004,0.00012,0.00015,0.0103,0.01784,-0.30686,11,37.9013,362.8898,37.3802,-179.2572,-0.5498,-118.0183,0.0026,25.0694,0.4376
29,000029.png,False,1788453671.359820,1788453671.155120,normal_load,1,,0.4115274315540944,0.01804,0.01711,-0.3589,-0.00035,0.00015,0.00024,0.01837,0.01665,-0.36013,-0.00037,0.00016,0.00022,0.00957,0.01809,-0.35918,10,37.9021,362.8868,37.3856,-179.2571,-0.5499,-118.0183,0.0056,25.0747,0.4323
30,000030.png,False,1788453671.567665,1788453671.362965,normal_load,1,,0.4115274315540944,0.01485,0.00719,-0.3876,-0.00014,-0.0,0.00027,0.01519,0.00671,-0.38886,-0.00016,0.0,0.00025,0.01196,0.00744,-0.38769,10,37.9082,362.8583,37.3026,-179.2504,-0.5585,-118.0188,0.005,24.9912,0.5158
31,000031.png,False,1788453671.771893,1788453671.567193,normal_load,1,,0.4115274315540944,0.01439,0.00169,-0.42171,1e-05,0.0,0.00012,0.01474,0.0012,-0.423,-1e-05,1e-05,0.00011,0.01455,0.0019,-0.4217,10,37.9064,362.864,37.3151,-179.2516,-0.5569,-118.0184,0.0081,25.0038,0.5032
32,000032.png,False,1788453671.979809,1788453671.775109,normal_load,1,,0.4115274315540944,0.0152,0.01082,-0.39351,-0.00016,6e-05,7e-05,0.01555,0.01032,-0.39483,-0.00018,7e-05,5e-05,0.01049,0.01066,-0.39366,10,37.9047,362.8759,37.3323,-179.2542,-0.5537,-118.0186,0.0053,25.0212,0.4858
33,000033.png,False,1788453672.187970,1788453671.983270,normal_load,1,,0.4573987138363691,0.01792,0.01165,-0.36987,-0.00016,0.00016,0.0,0.01828,0.01114,-0.37123,-0.00018,0.00017,-2e-05,0.01226,0.01312,-0.37005,10,37.9036,362.8814,37.3428,-179.2555,-0.552,-118.0186,0.0206,25.0318,0.4752
34,000034.png,False,1788453672.391919,1788453672.187219,normal_load,1,,0.4573987138363691,0.0199,0.01787,-0.37325,-0.0004,0.00013,5e-05,0.02027,0.01734,-0.37464,-0.00042,0.00014,3e-05,0.0109,0.01943,-0.37354,10,37.9005,362.9026,37.3167,-179.2614,-0.5445,-118.0187,0.0031,25.0062,0.5008
35,000035.png,False,1788453672.599789,1788453672.395089,normal_load,1,,0.4573987138363691,0.02407,0.0231,-0.37332,-0.00057,0.00021,-0.00015,0.02445,0.02256,-0.37474,-0.00059,0.00022,-0.00017,0.0119,0.02605,-0.37371,10,37.9004,362.9016,37.3213,-179.2612,-0.5448,-118.0185,0.0096,25.0107,0.4963
36,000036.png,False,1788453672.803829,1788453672.599129,normal_load,1,,0.42194434747719073,0.02354,0.02271,-0.37169,-0.0006,0.00017,-0.00012,0.02393,0.02216,-0.37314,-0.00062,0.00018,-0.00014,0.01162,0.02547,-0.37208,10,37.8999,362.9057,37.3105,-179.2618,-0.5437,-118.0185,0.0083,24.9999,0.5071
37,000037.png,False,1788453673.011721,1788453672.807021,normal_load,1,,0.42194434747719073,0.02461,0.02541,-0.37813,-0.00063,0.00019,-0.00015,0.02501,0.02485,-0.37961,-0.00065,0.00021,-0.00017,0.01124,0.02825,-0.37856,10,37.8998,362.9049,37.3087,-179.2621,-0.5436,-118.0185,0.0018,24.9981,0.5089
38,000038.png,False,1788453673.219806,1788453673.015106,normal_load,1,,0.43375662896943934,0.0241,0.02879,-0.39982,-0.00061,0.00024,-7e-05,0.02451,0.02822,-0.40133,-0.00063,0.00025,-0.0001,0.00927,0.03057,-0.4003,10,37.9002,362.9125,37.2858,-179.2645,-0.5402,-118.0189,0.0007,24.9754,0.5316
39,000039.png,False,1788453673.423664,1788453673.218964,normal_load,1,,0.46821056172378234,0.02615,0.03047,-0.41998,-0.0006,0.0003,-0.00015,0.02657,0.02988,-0.42152,-0.00062,0.00032,-0.00017,0.01034,0.03273,-0.42049,10,37.9006,362.9099,37.2746,-179.2633,-0.5418,-118.0189,0.0011,24.9641,0.5429
