t,x,y,z,rx,ry,rz
1788453659.574864,37.9002,362.8729,39.8169,-179.2433,-0.5673,-118.0183
1788453659.595231,37.8999,362.8742,39.816,-179.2433,-0.5673,-118.018
1788453659.615383,37.9002,362.873,39.8152,-179.2433,-0.5673,-118.018
1788453659.635604,37.9011,362.875,39.8169,-179.2436,-0.567,-118.0183
1788453659.655785,37.9003,362.8748,39.8156,-179.2433,-0.567,-118.018
1788453659.676071,37.9007,362.8731,39.8152,-179.2432,-0.5672,-118.018
1788453659.696311,37.9003,362.8752,39.8169,-179.2435,-0.5669,-118.0183
1788453659.716560,37.9018,362.8742,39.816,-179.2432,-0.5672,-118.0183
1788453659.736793,37.902,362.8734,39.8165,-179.2433,-0.567,-118.0183
1788453659.756945,37.9005,362.8713,39.8147,-179.2432,-0.5675,-118.018
1788453659.777208,37.9011,362.875,39.8169,-179.2436,-0.567,-118.0185
1788453659.797466,37.9017,362.8747,39.8156,-179.2433,-0.567,-118.0183
1788453659.817695,37.9002,362.8757,39.8183,-179.2436,-0.5667,-118.0178
1788453659.837881,37.9007,362.8731,39.8152,-179.2432,-0.5672,-118.018
1788453659.858159,37.902,362.873,39.8152,-179.2432,-0.5672,-118.0183
1788453659.878232,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0183
1788453659.898386,37.9001,362.8734,39.8165,-179.2435,-0.5672,-118.018
1788453659.918538,37.9015,362.8733,39.8165,-179.2435,-0.5672,-118.0185
1788453659.938745,37.9,362.8739,39.8161,-179.2436,-0.567,-118.0183
1788453659.958909,37.9011,362.875,39.8169,-179.2436,-0.567,-118.0183
1788453659.979098,37.9002,362.8729,39.8169,-179.2433,-0.5673,-118.018
1788453659.999262,37.9015,362.8729,39.8152,-179.2433,-0.5673,-118.0185
1788453660.019415,37.9024,362.8712,39.8147,-179.243,-0.5674,-118.0183
1788453660.039589,37.9015,362.8729,39.8152,-179.2433,-0.5673,-118.0183
1788453660.059752,37.9002,362.873,39.8152,-179.2433,-0.5673,-118.018
1788453660.080561,37.9015,362.8729,39.8152,-179.2433,-0.5673,-118.0183
1788453660.100758,37.9016,362.8724,39.8138,-179.2432,-0.5675,-118.0183
1788453660.120900,37.9017,362.8747,39.8156,-179.2433,-0.567,-118.0185
1788453660.161140,37.9002,362.8725,39.8156,-179.2432,-0.5675,-118.0183
1788453660.181216,37.902,362.8734,39.8165,-179.2433,-0.567,-118.0183
1788453660.201399,37.9013,362.8768,39.8174,-179.2436,-0.5667,-118.0183
1788453660.221480,37.9014,362.8734,39.8148,-179.2435,-0.5672,-118.0185
1788453660.241563,37.9017,362.8751,39.8169,-179.2435,-0.5669,-118.0183
1788453660.261644,37.9015,362.8729,39.8152,-179.2433,-0.5673,-118.0185
1788453660.281705,37.9012,362.8745,39.8173,-179.2435,-0.5672,-118.0183
