axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,0.9412651543775155,-1.497244336401767,0.01433608813527645,25.68968519150571,11,ball4_x-1.50.png,-0.011360368900486861,0.03565188611498282,-0.9412651543775155,-0.5274263687442909,-2.0042301941374685,0.05565317759401722,-1.8110972799434384,-0.438248804455204,0.0
x,-0.75,0.9420176690026721,-0.7439865509599305,0.005835035335529698,25.680503805959628,11,ball4_x-0.75.png,0.019404362141516883,0.019167909478889557,-0.9420176690026721,-0.1109518205174631,-0.7927583385011705,0.30760502890081476,-1.3846231779507199,-0.41867096443924695,0.0
x,0.0,0.9776273427604736,0.0020463223261189237,0.012394125845163287,25.65434692552594,12,ball4_x+0.00.png,0.02613694434649112,0.025307886118230448,-0.9776273427604736,-0.04832916971549417,0.0243802342320798,0.2907771022449879,-0.6799117362344539,-0.633057051131516,0.0
x,0.75,0.9570904560763864,0.7534314981754031,0.010623746517059713,25.64798422360423,13,ball4_x+0.75.png,0.029356022448576623,0.03292895607194009,-0.9570904560763864,-0.11711405648397455,0.8422516472012476,0.17635174423107358,0.0713648093974686,-0.7847039629526544,0.0
x,1.5,0.9832481639361447,1.5047245885882772,0.004467212752397649,25.63377220733211,12,ball4_x+1.50.png,0.04096904951881939,0.02414654203912292,-0.9832481639361447,0.08672323161127149,1.7455920384299717,0.19627561020367779,0.6768122443098941,-0.7356518553116298,0.0
y,-1.5,0.946640175971018,0.0030979034589784767,-1.4878155476965413,25.57863006118309,16,ball4_y-1.50.png,-0.0013751421879852899,0.032759479522190736,-0.946640175971018,1.4408549410864502,-0.7716627763574124,0.0783444762372465,-0.7768613919724912,-2.4344345510581205,0.0
y,-0.75,0.9873214520578472,-0.0012825363895609023,-0.7443869898299389,25.61189486116251,13,ball4_y-0.75.png,-0.0034251157791953092,0.034870463776843864,-0.9873214520578472,0.80641735046659,-0.6864089632074799,0.4536570002523721,-0.6037632478006667,-1.7479114245706238,0.0
y,0.0,0.9269892723959288,0.0068985220132123356,0.013992990252196762,25.668238975465833,12,ball4_y+0.00.png,0.0030947053308846505,0.05154322858887124,-0.9269892723959288,-0.1623674170393108,-0.5190680425057603,0.38138207939941715,-0.6479660535840589,-1.2907704549661858,0.0
y,0.75,0.962723332934982,0.0026557180916119906,0.758205867211886,25.68494094375626,10,ball4_y+0.75.png,-0.0068501807234863325,0.05024706820098057,-0.962723332934982,-0.8241310130605278,-0.7136730749587872,0.19241905960889483,-0.5537139109088306,-0.5199775209567985,0.0
y,1.5,0.9454580554268034,0.003657024129357583,1.5146537119439547,25.74786668819451,8,ball4_y+1.50.png,-0.00947389018537841,0.07564544674031808,-0.9454580554268034,-1.8496768509955879,-0.5638244741851095,0.42000347481940814,-0.33216979523574436,-0.15300252520980295,0.0
