t,Fx,Fy,Fz,Tx,Ty,Tz
1788791878.070200,-0.00149,-0.00065,-0.00588,9e-05,3e-05,1e-05
1788791878.083551,0.00102,-0.00306,-0.00593,-1e-05,-3e-05,8e-05
1788791878.103958,0.00258,-0.00051,-0.01728,5e-05,-4e-05,5e-05
1788791878.123241,0.00194,-0.00759,-0.01316,0.0001,2e-05,-0.0
1788791878.143611,-0.0007,0.00175,0.00231,7e-05,-0.0,-1e-05
1788791878.163982,0.00367,0.00312,0.00474,-3e-05,-4e-05,1e-05
1788791878.183244,-0.00277,0.00744,0.00808,-2e-05,2e-05,-0.00016
1788791878.203047,-0.00371,-0.00545,0.00591,-8e-05,-3e-05,-8e-05
1788791878.223815,0.00075,-0.00186,0.00525,2e-05,-5e-05,-6e-05
1788791878.243377,-0.00096,0.00485,0.02327,-8e-05,3e-05,-4e-05
1788791878.263140,-0.00012,0.00179,0.00688,-9e-05,3e-05,-8e-05
1788791878.283540,-0.0006,-0.00272,0.01542,-1e-05,-1e-05,-0.00027
1788791878.303834,-0.00305,-0.00429,0.01036,-0.00018,-7e-05,-8e-05
1788791878.323076,0.00245,-0.00123,0.02045,-0.0001,-9e-05,-0.00015
1788791878.343391,-0.00315,0.00613,0.0043,7e-05,2e-05,-7e-05
1788791878.363717,0.00126,-0.00204,-0.00062,4e-05,2e-05,9e-05
1788791878.382967,-0.00069,-0.00206,-0.03259,-9e-05,-4e-05,0.00023
1788791878.403275,0.00083,-0.00518,-0.00065,2e-05,-8e-05,-7e-05
1788791878.423638,-0.00189,0.00332,-0.00347,-8e-05,6e-05,6e-05
1788791878.443962,-0.00106,-0.00031,-0.00893,8e-05,6e-05,1e-05
1788791878.463424,-0.00151,1e-05,-0.00731,0.00014,0.00011,-3e-05
1788791878.483868,0.00082,0.00176,-0.00298,2e-05,-2e-05,-2e-05
1788791878.503150,0.00479,-0.00102,-0.00436,-6e-05,-0.0,-2e-05
1788791878.523497,-0.00189,0.00071,0.01648,-0.00013,-5e-05,-0.00012
1788791878.543885,0.00036,-0.00215,-0.00647,-9e-05,-4e-05,1e-05
1788791878.563242,-0.00066,5e-05,-0.00617,-3e-05,0.00013,-3e-05
1788791878.582972,-0.00259,0.00103,-0.02133,0.00012,0.00014,0.00012
1788791878.602979,0.00015,0.00419,-0.00381,-0.00012,-6e-05,0.00012
1788791878.623412,-0.00203,0.00096,-0.01058,0.0,-0.00013,0.0001
1788791878.643870,-0.00255,-0.00021,0.01587,-0.00021,-0.00016,-7e-05
1788791878.663165,-0.00274,-9e-05,-0.00563,-0.00013,-0.0001,7e-05
1788791878.683539,0.00017,0.00208,0.01236,-0.0,-4e-05,-0.00014
1788791878.703902,0.00011,-0.00219,0.02223,3e-05,-6e-05,-0.00024
1788791878.723189,-0.00325,0.0031,0.04463,-0.00011,-8e-05,-0.00036
1788791878.743525,-0.00298,0.00242,0.02757,1e-05,6e-05,-0.0002
1788791878.763838,0.00233,-0.00906,0.03533,7e-05,-8e-05,-0.00038
1788791878.783081,-0.0,0.00027,0.03818,0.00012,0.00017,-0.00038
1788791878.803380,4e-05,0.00091,0.03827,-0.00016,-0.0001,-0.00032
1788791878.823720,0.00077,-0.00198,0.04746,-2e-05,-3e-05,-0.00044
1788791878.843049,-0.00222,-0.00313,0.02676,-8e-05,-9e-05,-0.00025
1788791878.863398,0.00274,-0.00513,0.05097,-0.00023,-0.0001,-0.00029
1788791878.883963,-0.00018,-0.00048,0.0332,2e-05,8e-05,-0.00028
1788791878.903897,0.00056,-0.0014,0.04072,-2e-05,-1e-05,-0.00036
1788791878.923228,-0.00053,0.00168,0.06124,-0.00016,4e-05,-0.00042
1788791878.943577,-0.00316,-0.00131,0.04104,-0.00014,8e-05,-0.00041
1788791878.963898,0.00208,-0.00334,0.02175,0.00012,-2e-05,-0.00032
1788791878.983160,-0.00014,-0.00345,0.04267,-0.0002,-0.00013,-0.00031
1788791879.003470,-0.00201,0.00047,0.04335,-8e-05,-8e-05,-0.00026
1788791879.023782,-0.00149,-0.00088,0.01252,4e-05,-0.0,-0.00017
1788791879.043083,-0.00071,0.00248,0.00067,-4e-05,0.0001,-5e-05
1788791879.063412,-0.00221,-0.00225,0.01676,-8e-05,-0.0,-0.00012
1788791879.083711,0.00029,-0.00071,0.0223,9e-05,6e-05,-0.00022
1788791879.103042,-0.00145,0.00072,0.00845,4e-05,6e-05,-0.00012
1788791879.122996,-0.00134,0.00086,0.00935,-7e-05,-0.00017,-0.00012
1788791879.143806,-0.00228,0.00036,0.01238,0.00014,0.00017,-0.00017
1788791879.163155,-0.002,0.00141,0.01081,0.00019,9e-05,-0.00015
1788791879.183506,0.00277,-0.00069,0.00667,1e-05,-8e-05,-0.00013
1788791879.203914,0.00292,0.0033,0.00151,6e-05,3e-05,-0.0
1788791879.223211,-0.00338,0.00203,0.00731,4e-05,0.00014,-0.0001
1788791879.243519,-0.00201,-0.00394,0.00967,0.00015,7e-05,-0.00016
