index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788793590.964699,1788793590.759999,normal_load,1,,2.0,-0.00113,-0.00134,-0.01186,0.0,2e-05,6e-05,-0.00087,-0.00118,-0.01135,-1e-05,1e-05,7e-05,-0.00022,-0.00191,-0.01183,10,37.9074,362.817,38.9872,178.1304,0.3046,-124.0243,0.0055,26.6749,-0.0929
2,000002.png,False,1788793591.376837,1788793591.172137,normal_load,1,,2.0,-0.00184,0.00057,-0.02073,-3e-05,2e-05,-2e-05,-0.00153,0.00077,-0.0201,-4e-05,2e-05,-1e-05,-0.00174,-0.00076,-0.02073,10,37.9071,362.8166,38.9212,178.1275,0.3073,-124.0243,0.0013,26.6089,-0.0269
3,000003.png,False,1788793591.584784,1788793591.380084,normal_load,1,,2.0,-0.00198,0.00167,-0.04728,1e-05,2e-05,8e-05,-0.00163,0.00189,-0.04659,-0.0,1e-05,8e-05,-0.00222,-0.0003,-0.0473,10,37.9069,362.8248,38.8963,178.1253,0.3096,-124.0245,0.0078,26.5842,-0.0022
4,000004.png,False,1788793591.792804,1788793591.588104,normal_load,1,,2.0,-0.00161,0.00303,-0.07207,-6e-05,0.0,0.0001,-0.00123,0.00327,-0.07133,-8e-05,-1e-05,0.00011,-0.00241,0.00066,-0.07211,10,37.9065,362.8244,38.8734,178.126,0.3089,-124.0245,0.0064,26.5613,0.0207
5,000005.png,False,1788793592.204711,1788793592.000011,normal_load,1,,2.0,-0.00185,0.00319,-0.12767,-3e-05,-3e-05,9e-05,-0.00141,0.00347,-0.12681,-5e-05,-4e-05,0.0001,-0.00231,-0.0002,-0.12771,10,37.9074,362.8227,38.8231,178.1257,0.3092,-124.0245,0.0025,26.511,0.071
6,000006.png,False,1788793592.408839,1788793592.204139,normal_load,1,,2.0,-0.00171,0.00654,-0.15714,-3e-05,1e-05,0.00018,-0.00125,0.00684,-0.15621,-5e-05,-0.0,0.00019,-0.00366,0.00229,-0.15722,11,37.9088,362.8214,38.8056,178.1266,0.3082,-124.0249,0.0051,26.4935,0.0885
7,000007.png,False,1788793592.616743,1788793592.412043,normal_load,1,,2.0,-0.00191,0.00607,-0.19373,-5e-05,-0.0,0.00014,-0.00141,0.00638,-0.19275,-7e-05,-1e-05,0.00015,-0.00334,0.0012,-0.1938,10,37.9086,362.8278,38.7809,178.1252,0.3101,-124.0247,0.0091,26.4689,0.1131
8,000008.png,False,1788793592.824764,1788793592.620064,normal_load,1,,2.0,0.00037,0.01002,-0.221,-0.00016,-5e-05,9e-05,0.0009,0.01035,-0.21995,-0.00019,-7e-05,0.00011,-0.00315,0.00532,-0.22114,10,37.9074,362.8293,38.7552,178.1245,0.3104,-124.0249,0.0024,26.4432,0.1388
9,000009.png,False,1788793593.444914,1788793593.240214,normal_load,1,,2.0,-0.00319,0.01076,-0.29262,-0.00016,-8e-05,-2e-05,-0.00258,0.01115,-0.2914,-0.00018,-9e-05,-1e-05,-0.00611,0.00303,-0.29276,10,37.9071,362.8298,38.7075,178.1245,0.3107,-124.025,0.0084,26.3955,0.1865
10,000010.png,False,1788793593.648855,1788793593.444155,normal_load,1,,2.0,-0.00177,0.01108,-0.32804,-0.0001,-0.00015,2e-05,-0.00113,0.01149,-0.32676,-0.00013,-0.00017,4e-05,-0.00479,0.00345,-0.32817,11,37.9086,362.8291,38.6914,178.1248,0.3104,-124.0249,0.0091,26.3793,0.2027
11,000011.png,False,1788793593.856925,1788793593.652225,normal_load,1,,2.0,-0.00405,0.01007,-0.36562,-0.00011,-0.00021,6e-05,-0.00338,0.0105,-0.36428,-0.00014,-0.00023,7e-05,-0.00601,0.00084,-0.36573,10,37.9084,362.8238,38.6716,178.1253,0.3096,-124.0249,0.0021,26.3595,0.2225
12,000012.png,False,1788793594.060954,1788793593.856254,normal_load,1,,2.0,-0.00661,0.0084,-0.40992,2e-05,-0.00022,0.00012,-0.00591,0.00885,-0.40853,-1e-05,-0.00024,0.00014,-0.00708,-0.00259,-0.40999,10,37.9087,362.822,38.6542,178.1253,0.3096,-124.0249,0.0008,26.3421,0.2399
13,000013.png,False,1788793594.476929,1788793594.272229,normal_load,1,,2.0,-0.00478,0.01349,-0.47345,-0.00014,-0.00029,9e-05,-0.00402,0.01397,-0.47194,-0.00017,-0.00031,0.00011,-0.0076,0.00171,-0.4736,10,37.9079,362.8284,38.624,178.1242,0.3107,-124.0247,0.0045,26.3119,0.2701
14,000014.png,False,1788793594.680964,1788793594.476264,normal_load,1,,2.0,-0.00427,0.0164,-0.51344,-0.00014,-0.00025,0.0002,-0.00348,0.0169,-0.51187,-0.00018,-0.00027,0.00022,-0.00833,0.00384,-0.51364,10,37.908,362.8263,38.6154,178.1247,0.3103,-124.0249,0.001,26.3034,0.2786
15,000015.png,False,1788793594.888885,1788793594.684185,normal_load,1,,2.0,-0.00735,0.01416,-0.54362,-3e-05,-0.00027,0.00023,-0.00653,0.01468,-0.54199,-6e-05,-0.00029,0.00025,-0.00967,-0.00012,-0.54377,11,37.9081,362.8256,38.5973,178.1256,0.3093,-124.0249,0.0063,26.2852,0.2968
16,000016.png,False,1788793595.093005,1788793594.888305,normal_load,1,,2.0,-0.00587,0.01553,-0.58123,-0.0001,-0.00032,0.00026,-0.00502,0.01607,-0.57953,-0.00014,-0.00034,0.00028,-0.00882,0.0012,-0.58139,10,37.9083,362.8258,38.5861,178.1253,0.3096,-124.0249,0.0088,26.2741,0.3079
17,000017.png,False,1788793595.300982,1788793595.096282,normal_load,1,,2.0,-0.00624,0.01961,-0.59785,-0.00017,-0.00029,0.00018,-0.00536,0.02017,-0.5961,-0.00021,-0.00031,0.0002,-0.01106,0.00429,-0.59809,10,37.9073,362.8304,38.5685,178.1241,0.3109,-124.0249,0.0052,26.2566,0.3254
