t,x,y,z,rx,ry,rz
1788788999.494529,37.8607,362.8761,45.0712,178.4575,1.2002,-123.4573
1788788999.514603,37.8617,362.8753,45.0716,178.4575,1.1999,-123.4578
1788788999.534677,37.8624,362.8741,45.0725,178.4577,1.2001,-123.4578
1788788999.554748,37.8619,362.8741,45.0708,178.4575,1.1999,-123.4576
1788788999.574823,37.863,362.8756,45.0729,178.4574,1.2001,-123.458
1788788999.594895,37.8606,362.8765,45.0726,178.4574,1.2004,-123.4574
1788788999.615068,37.8618,362.8776,45.0734,178.4574,1.2004,-123.4576
1788788999.635146,37.8629,362.8743,45.0708,178.4578,1.2002,-123.4576
1788788999.662973,37.8621,362.8759,45.0712,178.4575,1.2002,-123.4578
1788788999.683112,37.8623,362.8749,45.072,178.4578,1.1999,-123.4578
1788788999.703246,37.8624,362.8741,45.0725,178.4577,1.2001,-123.4576
1788788999.723439,37.8631,362.8752,45.0716,178.4575,1.1999,-123.458
1788788999.743547,37.8623,362.8749,45.072,178.4578,1.1999,-123.4576
1788788999.763634,37.8627,362.8755,45.0716,178.4578,1.2002,-123.4578
1788788999.783715,37.8622,362.8754,45.0716,178.4577,1.2001,-123.4576
1788788999.803801,37.8624,362.8741,45.0725,178.4577,1.2001,-123.4576
1788788999.823886,37.8626,362.8731,45.0715,178.458,1.1998,-123.4576
1788788999.843974,37.8622,362.8754,45.0716,178.4577,1.2001,-123.4578
1788788999.864053,37.8647,362.8719,45.0707,178.4581,1.1999,-123.458
1788788999.884115,37.8636,362.8753,45.0716,178.4577,1.2001,-123.4578
1788788999.904181,37.8621,362.8759,45.0712,178.4575,1.2002,-123.4578
1788788999.924246,37.8618,362.8748,45.072,178.4577,1.1998,-123.4576
1788788999.944396,37.8624,362.8741,45.0725,178.4577,1.2001,-123.4576
1788788999.964558,37.8603,362.8755,45.0716,178.4575,1.1999,-123.4573
1788788999.984700,37.8622,362.8754,45.0716,178.4577,1.2001,-123.4576
1788789000.004838,37.8619,362.8772,45.0721,178.4575,1.2002,-123.4576
1788789000.025025,37.8635,362.8757,45.0729,178.4575,1.2002,-123.4578
1788789000.045177,37.8622,362.8754,45.0716,178.4577,1.2001,-123.4573
1788789000.065318,37.8639,362.8734,45.0728,178.4578,1.1999,-123.458
1788789000.085482,37.8634,362.8734,45.0711,178.4577,1.1998,-123.4578
1788789000.105646,37.8619,362.8772,45.0721,178.4575,1.2002,-123.4578
1788789000.125849,37.8631,362.8752,45.0716,178.4575,1.1999,-123.458
1788789000.146084,37.8632,362.8775,45.0717,178.4574,1.2004,-123.4578
1788789000.166156,37.8617,362.8753,45.0716,178.4575,1.1999,-123.4576
1788789000.186264,37.863,362.8756,45.0729,178.4574,1.2001,-123.4578
1788789000.206328,37.8636,362.8753,45.0716,178.4577,1.2001,-123.4578
1788789000.226387,37.8619,362.8772,45.0721,178.4575,1.2002,-123.4576
1788789000.246462,37.8615,362.8793,45.0739,178.4572,1.2005,-123.4576
1788789000.266537,37.8636,362.8753,45.0716,178.4577,1.2001,-123.4578
1788789000.286680,37.8646,362.8769,45.0721,178.4575,1.2002,-123.458
1788789000.306892,37.8619,362.8772,45.0721,178.4575,1.2002,-123.4576
1788789000.327047,37.8633,362.8766,45.0708,178.4577,1.2001,-123.4578
1788789000.347122,37.8633,362.877,45.0721,178.4575,1.2002,-123.458
1788789000.367303,37.8636,362.8752,45.0733,178.4577,1.2001,-123.458
1788789000.387459,37.8635,362.8757,45.0729,178.4575,1.2002,-123.4578
1788789000.407624,37.8633,362.8765,45.0725,178.4577,1.2001,-123.458
1788789000.427844,37.8631,362.8752,45.0716,178.4575,1.1999,-123.4578
1788789000.448024,37.8633,362.877,45.0721,178.4575,1.2002,-123.458
1788789000.468199,37.8628,362.8764,45.0725,178.4575,1.1999,-123.458
1788789000.488347,37.8621,362.8758,45.0729,178.4575,1.2002,-123.4576
1788789000.508547,37.8627,362.8773,45.0734,178.4572,1.2002,-123.4578
1788789000.528703,37.8639,362.8763,45.0726,178.4575,1.2005,-123.4578
1788789000.548854,37.8632,362.8774,45.0734,178.4574,1.2004,-123.458
1788789000.568928,37.8624,362.8741,45.0725,178.4577,1.2001,-123.4578
1788789000.589115,37.8646,362.8773,45.0734,178.4574,1.2004,-123.4582
1788789000.609286,37.8636,362.8752,45.0733,178.4577,1.2001,-123.4578
1788789000.629443,37.8622,362.8754,45.0716,178.4577,1.2001,-123.4578
1788789000.649606,37.8633,362.877,45.0721,178.4575,1.2002,-123.458
1788789000.669677,37.8629,362.8788,45.0726,178.4574,1.2004,-123.4578
1788789000.689697,37.8636,362.8753,45.0716,178.4577,1.2001,-123.458
1788789000.709764,37.8631,362.8752,45.0716,178.4575,1.1999,-123.4578
1788789000.729884,37.8643,362.874,45.0725,178.4578,1.2002,-123.458
1788789000.749953,37.8636,362.878,45.073,178.4574,1.2007,-123.4578
1788789000.770027,37.8637,362.8748,45.072,178.4578,1.1999,-123.4578
1788789000.790174,37.8632,362.8774,45.0734,178.4574,1.2004,-123.458
1788789000.810390,37.8628,362.8797,45.0735,178.4571,1.2007,-123.458
1788789000.830569,37.8646,362.8769,45.0721,178.4575,1.2002,-123.4582
1788789000.850745,37.8628,362.8768,45.0738,178.4574,1.2001,-123.4578
1788789000.870940,37.8644,362.875,45.0716,178.4575,1.1999,-123.458
1788789000.891131,37.8635,362.8758,45.0712,178.4575,1.2002,-123.458
1788789000.911313,37.863,362.8782,45.0729,178.4575,1.2002,-123.4578
1788789000.931469,37.8633,362.877,45.0721,178.4575,1.2002,-123.4578
1788789000.951638,37.8635,362.8757,45.0729,178.4575,1.2002,-123.4576
1788789000.971812,37.864,362.8777,45.0731,178.457,1.2004,-123.458
1788789000.991966,37.8647,362.8765,45.0708,178.4577,1.2001,-123.458
1788789001.012143,37.8632,362.8774,45.0734,178.4574,1.2004,-123.458
1788789001.032322,37.8647,362.8763,45.0725,178.4577,1.2001,-123.458
1788789001.052496,37.8643,362.8786,45.0726,178.4574,1.2004,-123.4582
1788789001.072691,37.864,362.8773,45.0717,178.4572,1.2002,-123.4582
1788789001.092898,37.8614,362.877,45.0738,178.4574,1.2001,-123.4576
1788789001.113052,37.8646,362.8773,45.0734,178.4574,1.2004,-123.458
1788789001.133226,37.8641,362.8752,45.0733,178.4578,1.2002,-123.4578
1788789001.153382,37.8632,362.8774,45.0734,178.4574,1.2004,-123.4578
1788789001.173550,37.8629,362.8793,45.0722,178.4572,1.2005,-123.458
1788789001.193714,37.8635,362.8757,45.0729,178.4575,1.2002,-123.458
1788789001.213915,37.8633,362.8765,45.0725,178.4577,1.2001,-123.458
1788789001.233990,37.8627,362.8769,45.0721,178.4574,1.2001,-123.4578
