step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.10353895970737526,0.1,0.05490380371752224,1.4923770427703857,nan,1664,23.014509567006368,4.150381088256836,1170,19.29825294774206,-4.173093795776367,0,0.0
2,0.18873867085666163,0.2,0.12680604940677825,1.6335656642913818,nan,21065,81.88527188976995,4.926438331604004,20895,81.55418488226283,-4.934516906738281,0,0.0
3,0.3228692212907234,0.30000000000000004,0.2608968247885315,1.858241319656372,1.7633152685529585,42553,116.38316281481117,5.8829240798950195,42439,116.22716231481301,-5.887969493865967,0,0.0
4,0.3591976501955365,0.4,0.2947066791367604,2.0842080116271973,2.397383751753363,58165,136.06797760634274,6.617134094238281,57965,135.8338417061206,-6.625897407531738,0,0.0
5,0.5395117444903228,0.5,0.5463339565691683,2.4505443572998047,1.842516894935929,76216,155.75720299679173,7.66206169128418,75971,155.50665697412688,-7.673708438873291,0,0.0
6,0.5380582053709055,0.6,0.5711359746491468,2.7551300525665283,2.0321202266743694,87560,166.94673891469913,8.383783340454102,87343,166.73973848171536,-8.394637107849121,0,0.0
7,0.7365124322983725,0.7,0.99470041225903,3.262146234512329,1.5383717962110879,104905,182.7355975449517,9.278249740600586,104721,182.5752710282878,-9.287797927856445,248,8.884866446580956
8,0.7269912925375905,0.7999999999999999,0.9763993642097546,3.65286922454834,1.6612126025158167,117485,193.3821009770621,9.90621566772461,117321,193.24708059106226,-9.9147367477417,0,0.0
9,0.9169771486022142,0.8999999999999999,1.4355121455816402,4.328634738922119,1.9071457159470349,133961,206.49724129650446,10.926216125488281,133761,206.34303643648852,-10.936516761779785,1451,21.491106180294217
10,0.9056373530475632,0.9999999999999999,1.4339780805586428,4.816382884979248,2.003743938559892,145694,215.35050628605728,11.587240219116211,145516,215.21891505609,-11.59681510925293,3487,33.315860684107776
11,1.1167605133125527,1.0999999999999999,2.023940584821966,5.735862731933594,1.9728521650205184,166485,230.2038692144604,12.634156227111816,166279,230.0614039006859,-12.644862174987793,15385,69.97997998669062
12,1.0988299833089101,1.2,2.0017110256670207,6.262070178985596,2.0145845788956946,178436,238.32318991464274,13.173794746398926,178139,238.12476732774834,-13.189109802246094,27093,92.86533124033662
13,1.318970830878115,1.3,2.756211441229442,7.210731029510498,1.613104779298556,197216,250.55099783002754,14.106651306152344,196931,250.36989474787114,-14.121203422546387,158534,224.6395768698407
14,1.289154934515885,1.4000000000000001,2.6415857762060226,7.806506156921387,1.649160764482391,209087,257.9815093616406,14.649489402770996,208784,257.7945136673714,-14.664945602416992,198402,251.3032392123835
15,1.5211734543097286,1.5000000000000002,3.563177615965259,8.893120765686035,1.5133835375742173,276794,296.82699782256356,5.152331829071045,228913,269.9356793311882,-15.615142822265625,274386,295.533037798527
