unit,principle,hard,th,px_per_mm,normal_f90,shear_f90,normal_f90_cyc_px,normal_w_nyq_px,shear_f90_cyc_px,shear_w_nyq_px,fov_mm
hard_1mm_r1,9DTact,2,1,97.07236951647629,0.3,0.5,0.00309,11.9,0.00515,19.8,19.78
hard_1mm_r2,9DTact,2,1,100.0,0.2,0.3,0.002,7.7,0.003,11.5,19.2
hard_2mm_r1,9DTact,2,2,89.01120169720986,0.2,0.3,0.00225,8.6,0.00337,12.9,21.57
hard_2mm_r2,9DTact,2,2,92.41536078825044,0.2,0.3,0.00216,8.3,0.00325,12.5,20.78
hard_3mm_r1,9DTact,2,3,77.293439129834,0.2,0.4,0.00259,9.9,0.00518,19.9,24.84
hard_3mm_r2,9DTact,2,3,82.60132022443682,0.2,0.3,0.00242,9.3,0.00363,13.9,23.24
medium_1mm_r1,9DTact,1,1,94.05626905723857,0.2,0.4,0.00213,8.2,0.00425,16.3,20.41
medium_1mm_r2,9DTact,1,1,87.59890852087568,0.2,0.3,0.00228,8.8,0.00342,13.2,21.92
medium_2mm_r2,9DTact,1,2,100.0,0.2,0.3,0.002,7.7,0.003,11.5,19.2
medium_3mm_r1,9DTact,1,3,82.27165028517139,0.2,0.2,0.00243,9.3,0.00243,9.3,23.34
medium_3mm_r2,9DTact,1,3,79.2102836584373,0.2,0.3,0.00252,9.7,0.00379,14.5,24.24
soft_1mm_r1,9DTact,0,1,99.87153374153418,0.3,0.4,0.003,11.5,0.00401,15.4,19.22
soft_1mm_r2,9DTact,0,1,98.94444329998736,0.3,0.4,0.00303,11.6,0.00404,15.5,19.4
soft_2mm_r1,9DTact,0,2,88.66521416832653,0.2,0.3,0.00226,8.7,0.00338,13.0,21.65
soft_2mm_r2,9DTact,0,2,91.3939522077672,0.2,0.3,0.00219,8.4,0.00328,12.6,21.01
soft_3mm_r1,9DTact,0,3,80.26533462794193,0.2,0.2,0.00249,9.6,0.00249,9.6,23.92
soft_3mm_r2,9DTact,0,3,84.0282293785372,0.2,0.3,0.00238,9.1,0.00357,13.7,22.85
