approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3764525882231844,-0.007315684883707804,-0.00715442296925346,0,27.49205969781961,0.4,False
1,0.758832985652159,-0.011729795424914698,-0.011273475697495882,18421,27.49205969781961,0.4,False
1,1.1400707480720236,-0.002361010026858669,-0.0016397497759811585,24293,27.49205969781961,0.4,False
1,1.5217558263688709,0.2335819340955905,0.2347183464698901,32831,27.49205969781961,0.4,False
1,1.5334624536066421,0.21126613405612724,0.21267527489293342,41027,27.49205969781961,0.02,True
1,1.5604310943783872,0.22455854448344167,0.22613860079744938,27113,27.49205969781961,0.02,True
1,1.618507133466597,0.3093895756489266,0.3111578164657459,37733,27.49205969781961,0.02,True
1,1.6263219519108496,0.33560548486080244,0.337827443938869,40698,27.49205969781961,0.02,True
1,1.6346204114838905,0.33589979364046957,0.3382902746134107,40773,27.49205969781961,0.02,True
1,1.6446096455247528,0.342733582295896,0.3452961131407989,42737,27.49205969781961,0.02,True
1,1.6488554130930773,0.3316918297370064,0.3344326479830414,43522,27.49205969781961,0.02,True
1,1.6562230673345475,0.35063098967034984,0.3535745504852855,44984,27.49205969781961,0.02,True
1,1.6726344142872307,0.3652210450401498,0.36834092847323346,44744,27.49205969781961,0.02,True
1,1.737848823912099,0.4345638663659242,0.43787793104186223,49936,27.49205969781961,0.02,True
1,1.7543974139537788,0.4672471380475755,0.47076451636024785,56528,27.49205969781961,0.02,True
1,1.7593168032317017,0.4687530083212271,0.4724727218668818,57659,27.49205969781961,0.02,True
1,1.7669020744290975,0.47942275754275065,0.48335043443004794,58933,27.49205969781961,0.02,True
1,1.7793881245511685,0.4926899923959968,0.49682384916683875,60182,27.49205969781961,0.02,True
1,1.7899348505873292,0.5166157313102634,0.5210133749748224,61397,27.49205969781961,0.02,True
