axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.7663207525473807,-1.491300642815116,0.004739101983914572,22.74746782403659,16,ball4_x-1.50.png,0.0378747888291624,0.03618398066348068,-1.7663207525473807,0.7440285451898399,-2.352897055814768,0.0885452848361723,-1.828912727702617,-0.8958748785581447,0.0
x,-0.75,1.8025647404839418,-0.7463331540877858,0.014632354717101472,22.7471271120786,16,ball4_x-0.75.png,0.004237440767607481,0.06485931738747848,-1.8025647404839418,-0.008903260199308316,-1.9047532802198175,-0.07278400618808689,-1.1111577217248858,-0.8287474952642211,0.0
x,0.0,1.952217755783971,0.0048784594183602014,0.006263325297628552,22.739764087979975,15,ball4_x+0.00.png,0.0072110500651962894,0.047874570917081805,-1.952217755783971,0.5606319968336632,-0.6373277137311173,0.0777485864371652,-0.4120472474227902,-0.8553727722296945,0.0
x,0.75,1.767825778455753,0.755710196011308,0.007214818194815496,22.75944472616772,15,ball4_x+0.75.png,0.010986533660911135,0.052009392177329514,-1.767825778455753,0.3687948188777823,0.9407843750341593,-0.13569649680031937,0.3881768935265941,-0.8902684509789244,0.0
x,1.5,1.812998569399562,1.5038888010467617,0.011729362247048512,22.763195287663308,15,ball4_x+1.50.png,-0.0013093235051620411,0.06134202218318805,-1.812998569399562,0.338194969069755,2.1103188595180566,0.4247701667692283,1.180726557676289,-0.970477537294348,0.0
y,-1.5,1.7497597603502215,0.008680112127531019,-1.491469523149849,22.706303717575285,18,ball4_y-1.50.png,0.029620285356262953,0.04300628130891084,-1.7497597603502215,3.4024320457007957,0.03544174724373628,0.3396762571162615,-0.371967010579932,-2.513989063690597,0.0
y,-0.75,1.8335896610898943,0.002784773382962133,-0.7406509576802369,22.723006629710945,17,ball4_y-0.75.png,0.026722478832805763,0.05744812778861821,-1.8335896610898943,2.0915455839326107,-0.1429838466943556,0.3477903697709728,-0.41565300024242635,-1.8666141658062354,0.0
y,0.0,1.9561372848616485,0.001550653177218355,0.006393948613767854,22.73934002020526,15,ball4_y+0.00.png,0.024546958161161214,0.05777854685243415,-1.9561372848616485,1.031487269718101,-0.3409573184703474,0.2008583239748507,-0.46505132797252563,-1.2116745933082969,0.0
y,0.75,1.8271110168706712,0.001100789673948746,0.7622053293509328,22.778661146420657,14,ball4_y+0.75.png,0.0261367211594159,0.07384434956487099,-1.8271110168706712,-0.6372548164545244,-0.24282504132613347,0.30875903105580527,-0.46434309182267136,-0.5876492514033711,0.0
y,1.5,2.0178703379018343,-0.002937363120217288,1.50078329741272,22.79493364539788,12,ball4_y+1.50.png,0.021816860760435118,0.048767545262943204,-2.0178703379018343,-1.4447810188427168,-0.48268920534224047,0.2804997396263609,-0.48971454293509,0.15603039610992916,0.0
