index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788898331.995194,1788898331.935194,normal_load,1,,2.0,-0.00435,-0.00368,-0.00668,6e-05,0.00014,-1e-05,-0.00329,-0.00363,-0.00547,2e-05,0.0001,-1e-05,-0.00188,-0.00547,-0.0066,3,37.9187,362.8534,36.7303,179.85,0.1666,-104.3463,0.0014,24.4189,-0.068
2,000002.png,False,1788898332.579230,1788898332.519230,normal_load,1,,2.0,-0.01298,-0.02448,-0.03471,0.00058,-3e-05,7e-05,-0.0118,-0.02442,-0.03336,0.00054,-7e-05,7e-05,0.00123,-0.02824,-0.03425,3,37.9332,362.778,36.6734,179.8528,0.16,-104.3465,0.0001,24.3607,-0.0098
3,000003.png,False,1788898332.967243,1788898332.907243,normal_load,1,,2.0,-0.01509,-0.02548,-0.06925,0.0007,0.00012,0.00011,-0.01382,-0.02542,-0.0678,0.00065,8e-05,0.0001,0.00014,-0.03072,-0.06876,3,37.9369,362.7702,36.6309,179.8523,0.1612,-104.3469,0.0194,24.318,0.0328
4,000004.png,False,1788898333.359262,1788898333.299262,normal_load,1,,2.0,-0.00871,-0.02523,-0.23701,0.00067,-7e-05,0.00011,-0.00735,-0.02517,-0.23547,0.00062,-0.00011,0.00011,0.00671,-0.03,-0.23652,3,37.9394,362.7616,36.517,179.8545,0.1574,-104.3465,0.0091,24.204,0.1469
5,000005.png,False,1788898333.555270,1788898333.495270,normal_load,1,,2.0,-0.00752,-0.01055,-0.49712,0.00071,0.00015,-1e-05,-0.00613,-0.01048,-0.49553,0.00066,0.0001,-1e-05,0.0022,-0.02086,-0.49685,3,37.9374,362.7741,36.4269,179.8531,0.1599,-104.3465,0.0042,24.1141,0.2368
6,000006.png,False,1788898333.747375,1788898333.687375,normal_load,1,,2.0,-0.00503,-0.0122,-0.49163,0.00055,4e-05,6e-05,-0.0036,-0.01213,-0.49,0.0005,-1e-05,6e-05,0.00514,-0.02095,-0.49133,3,37.9388,362.7738,36.4303,179.8532,0.1602,-104.3469,0.0081,24.1175,0.2334
7,000007.png,False,1788898333.943389,1788898333.883389,normal_load,1,,2.0,0.0061,0.00596,-0.81995,0.00023,0.00014,7e-05,0.00758,0.00603,-0.81827,0.00018,9e-05,6e-05,0.00799,-0.00492,-0.81994,3,37.9376,362.7862,36.3512,179.8512,0.164,-104.3471,0.0072,24.0386,0.3123
8,000008.png,False,1788898334.139301,1788898334.079301,normal_load,1,,2.0,0.00846,0.00345,-0.79798,0.00033,0.00012,-2e-05,0.00997,0.00353,-0.79625,0.00028,8e-05,-3e-05,0.01113,-0.00557,-0.79793,3,37.9395,362.7836,36.3505,179.8515,0.1634,-104.3474,0.0016,24.0379,0.313
9,000009.png,False,1788898334.335310,1788898334.275310,normal_load,1,,2.0,0.01903,0.02109,-1.08462,2e-05,0.00038,1e-05,0.02059,0.02116,-1.08284,-3e-05,0.00033,0.0,0.01347,0.0104,-1.08486,3,37.9395,362.7949,36.297,179.8499,0.1673,-104.3478,0.0037,23.9845,0.3664
10,000010.png,False,1788898334.531319,1788898334.471319,normal_load,1,,2.0,0.02169,0.00991,-1.16768,0.00015,0.00037,9e-05,0.02329,0.00998,-1.16585,0.0001,0.00032,8e-05,0.02193,0.00071,-1.16771,3,37.9429,362.7914,36.273,179.8503,0.166,-104.348,0.0088,23.9605,0.3904
11,000011.png,False,1788898334.723340,1788898334.663340,normal_load,1,,2.0,0.02967,0.03391,-1.35612,-5e-05,0.0006,-7e-05,0.03131,0.03399,-1.35425,-0.00011,0.00055,-7e-05,0.01816,0.02247,-1.35656,3,37.9418,362.8021,36.2492,179.8489,0.1697,-104.3485,0.0026,23.9369,0.414
12,000012.png,False,1788898334.919407,1788898334.859407,normal_load,1,,2.0,0.02944,0.02433,-1.59342,0.00018,0.00056,0.00023,0.03112,0.02441,-1.5915,0.00012,0.0005,0.00023,0.02439,0.01026,-1.59366,3,37.9449,362.799,36.2102,179.8494,0.1685,-104.3491,0.0025,23.8979,0.453
13,000013.png,False,1788898335.115351,1788898335.055351,normal_load,1,,2.0,0.03416,0.03524,-1.66624,1e-05,0.00064,0.00012,0.03588,0.03532,-1.66428,-6e-05,0.00059,0.00011,0.02353,0.02089,-1.66667,3,37.9438,362.7998,36.2053,179.8491,0.1691,-104.3485,0.008,23.8929,0.458
14,000014.png,False,1788898335.311479,1788898335.251479,normal_load,1,,2.0,0.0402,0.03664,-1.96755,-6e-05,0.00051,0.00015,0.04197,0.03673,-1.96553,-0.00012,0.00045,0.00014,0.03016,0.0203,-1.96796,3,37.9444,362.8009,36.1642,179.8494,0.169,-104.3487,0.007,23.8519,0.499
15,000015.png,False,1788898335.699384,1788898335.639384,normal_unload,1,,0.0,0.04068,0.03556,-1.95457,6e-05,0.00054,8e-05,0.04253,0.03564,-1.95246,-1e-05,0.00048,7e-05,0.03103,0.01981,-1.95497,3,37.9458,362.7993,36.1637,179.8494,0.169,-104.3489,0.0125,23.8513,0.4996
16,000016.png,False,1788898335.895389,1788898335.835389,normal_unload,1,,0.0,0.03805,0.03342,-1.96055,5e-05,0.0006,0.00024,0.03994,0.03351,-1.9584,-2e-05,0.00054,0.00024,0.02985,0.01655,-1.96091,3,37.9455,362.7991,36.164,179.8497,0.1689,-104.3487,0.0073,23.8516,0.4993
17,000017.png,False,1788898336.283451,1788898336.223451,normal_unload,1,,0.0,0.03829,0.03898,-1.93069,-2e-05,0.00068,0.0005,0.04027,0.03908,-1.92844,-9e-05,0.00062,0.00049,0.02708,0.02197,-1.93115,3,37.9458,362.8009,36.1703,179.8496,0.1691,-104.3487,0.0072,23.858,0.4929
18,000018.png,False,1788898336.479423,1788898336.419423,normal_unload,1,,0.0,0.04244,0.03779,-1.83269,0.0001,0.00078,0.00066,0.04446,0.03789,-1.83039,3e-05,0.00071,0.00065,0.03058,0.02458,-1.83315,3,37.9487,362.8012,36.1848,179.8501,0.1681,-104.3493,0.0019,23.8724,0.4785
19,000019.png,False,1788898336.675426,1788898336.615426,normal_unload,1,,0.0,0.0396,0.02364,-1.77599,0.00019,0.0006,0.00046,0.04166,0.02373,-1.77364,0.00012,0.00054,0.00045,0.0348,0.01181,-1.77621,3,37.9492,362.7978,36.1876,179.8505,0.1671,-104.3495,0.0028,23.8751,0.4758
20,000020.png,False,1788898336.871434,1788898336.811434,normal_unload,1,,0.0,0.03295,0.00567,-1.64764,0.00067,0.00064,0.00039,0.03505,0.00577,-1.64525,0.00059,0.00057,0.00039,0.03713,-0.00502,-1.64755,3,37.9522,362.7874,36.2036,179.8521,0.163,-104.3498,0.0077,23.891,0.4599
