approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3624051562029251,-0.028830530427584978,-0.032003964936598094,0,26.46541608640012,0.4,False
1,0.7415637357506171,-0.0006302318990498317,-0.0035209598515393735,12263,26.46541608640012,0.4,False
1,1.1219205256003768,0.2611980077716955,0.2586258715373219,56832,26.46541608640012,0.4,False
1,1.1272951330582615,0.2860480222501865,0.28377049039208374,79913,26.46541608640012,0.02,True
1,1.1479388323821809,0.30867202167444757,0.3066781452678697,79210,26.46541608640012,0.02,True
1,1.192110668530784,0.4243938568638095,0.42268467818747696,86477,26.46541608640012,0.02,True
1,1.2223246774139298,0.47278389624974615,0.4713896144343437,91525,26.46541608640012,0.02,True
1,1.2228307168806225,0.4575913208661976,0.4568500492559394,100374,26.46541608640012,0.02,True
1,1.2499721505834565,0.4872382550353587,0.4868515514108765,101877,26.46541608640012,0.02,True
1,1.2802537895130257,0.5814268488334873,0.5813879826075009,107541,26.46541608640012,0.02,True
1,1.2890238422082803,0.5985951855649293,0.5989026004686536,116976,26.46541608640012,0.02,True
1,1.3081332187297683,0.6443887189164778,0.6450554066751522,118855,26.46541608640012,0.02,True
1,1.3298908070161701,0.694075341513528,0.6951406087011918,126353,26.46541608640012,0.02,True
1,1.3521519236145139,0.7601475766753849,0.7615870867102672,132014,26.46541608640012,0.02,True
1,1.3652867798596233,0.7991919365210356,0.80102387480691,138167,26.46541608640012,0.02,True
1,1.3868411616193015,0.8528295950356782,0.8550619902947517,140329,26.46541608640012,0.02,True
1,1.4060507814859378,0.8986880851278543,0.9013109745320265,147492,26.46541608640012,0.02,True
1,1.4225989017430543,0.9607737940377279,0.9637670499790147,150459,26.46541608640012,0.02,True
