index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788887877.964922,1788887877.904922,normal_load,1,,2.0,-0.00641,-0.01022,-0.05145,0.00041,2e-05,0.00024,-0.00567,-0.00991,-0.05166,0.00038,0.0,0.00025,-9e-05,-0.01288,-0.05125,3,37.9248,362.8067,35.7596,179.4581,0.7589,-100.1352,0.0024,23.4475,-0.0077
2,000002.png,False,1788887878.745121,1788887878.685121,normal_load,1,,2.0,-0.01736,-0.02902,-0.09596,0.00086,0.0,0.00027,-0.01651,-0.02866,-0.09621,0.00082,-2e-05,0.00028,0.00013,-0.03535,-0.09541,3,37.9411,362.7529,35.7179,179.4592,0.7551,-100.1358,0.0084,23.4049,0.0349
3,000003.png,False,1788887878.941020,1788887878.881020,normal_load,1,,2.0,-0.01579,-0.02905,-0.09821,0.00091,4e-05,0.00012,-0.01491,-0.02868,-0.09846,0.00087,2e-05,0.00013,0.00151,-0.03462,-0.09766,3,37.9401,362.7552,35.7147,179.4588,0.7554,-100.136,0.0022,23.4017,0.0381
4,000004.png,False,1788887879.333154,1788887879.273154,normal_load,1,,2.0,-0.00519,-0.01768,-0.57073,0.00077,-0.00021,0.00031,-0.00425,-0.01728,-0.57101,0.00073,-0.00023,0.00032,0.0083,-0.02704,-0.57033,3,37.9452,362.7506,35.6056,179.46,0.7536,-100.136,0.01,23.2925,0.1473
5,000005.png,False,1788887879.525078,1788887879.465078,normal_load,1,,2.0,0.00046,0.00603,-0.96335,0.0006,0.00021,0.00029,0.00143,0.00643,-0.96363,0.00056,0.00019,0.0003,0.00407,-0.00998,-0.96331,3,37.9418,362.7632,35.5618,179.4585,0.7569,-100.1365,0.0004,23.249,0.1909
6,000006.png,False,1788887879.721184,1788887879.661184,normal_load,1,,2.0,0.00135,0.00637,-0.93798,0.00052,4e-05,0.00023,0.00235,0.00679,-0.93826,0.00047,2e-05,0.00024,0.00449,-0.00883,-0.93795,3,37.9441,362.7615,35.5614,179.4584,0.7567,-100.1367,0.0051,23.2485,0.1913
7,000007.png,False,1788887879.917200,1788887879.857200,normal_load,1,,2.0,0.01308,0.03219,-1.07117,-1e-05,0.00019,3e-05,0.0141,0.03262,-1.07147,-5e-05,0.00016,3e-05,0.00268,0.01726,-1.07159,3,37.9406,362.7784,35.5482,179.4565,0.7625,-100.1367,0.0091,23.2356,0.2042
8,000008.png,False,1788887880.113199,1788887880.053199,normal_load,1,,2.0,0.01147,0.04098,-1.18654,-0.00029,0.00025,0.00044,0.01252,0.04142,-1.18685,-0.00034,0.00023,0.00045,-0.00231,0.02222,-1.1871,3,37.939,362.785,35.5358,179.4555,0.7651,-100.1367,0.0032,23.2233,0.2165
9,000009.png,False,1788887880.309262,1788887880.249262,normal_load,1,,2.0,0.0143,0.03807,-1.3495,-2e-05,0.00014,0.00039,0.01538,0.03852,-1.34981,-6e-05,0.00011,0.00039,0.00273,0.0185,-1.34998,3,37.9392,362.7809,35.5257,179.4561,0.7635,-100.1365,0.0094,23.2132,0.2266
10,000010.png,False,1788887880.501295,1788887880.441295,normal_load,1,,2.0,0.01141,0.03409,-1.63488,0.00018,3e-05,0.0003,0.01251,0.03455,-1.6352,0.00013,0.0,0.00031,0.00418,0.00903,-1.63525,3,37.9414,362.7723,35.5004,179.4576,0.7596,-100.1367,0.0001,23.1878,0.2521
