axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.7790642433543353,-1.4968656990051372,0.012113964184411045,24.979215617565632,2,cyl4_x-1.50.png,0.027843005871784853,0.03462769118450666,-1.7790642433543353,2.709453941379969,-2.330334697551595,0.3622588725650022,-1.7079749231494759,-2.0180852126469335,0.0
x,-0.75,1.7456950356286085,-0.7523946636669476,0.012393747529272641,24.978224560582056,2,cyl4_x-0.75.png,0.023944283885316508,0.015317261032951635,-1.7456950356286085,3.0390797301442483,-1.2779503789637325,0.21063481885059687,-1.0809667111679375,-1.964097831328948,0.0
x,0.0,1.6819919407598831,0.005651588946355862,0.007068015019570889,24.9825708770615,2,cyl4_x+0.00.png,0.04042376712273103,-0.0019527261411825592,-1.6819919407598831,3.4109595246972213,0.4073969478893602,0.3110216636537544,-0.36914045713159716,-1.9983963979781165,0.0
x,0.75,1.6368695185757758,0.7494512861270048,0.012551514531268284,24.984150101092542,2,cyl4_x+0.75.png,0.019049237239892138,0.018337864820723127,-1.6368695185757758,2.8100581115072356,0.966486962678248,0.382420406664874,0.29441437498558376,-2.001705959272163,0.0
x,1.5,1.5650036126417404,1.5025583995798375,0.007756430398630406,24.98067114175803,2,cyl4_x+1.50.png,0.024827210769379347,-0.00526529194217904,-1.5650036126417404,3.2743825693171553,2.1772982300289874,0.05707982850529092,0.9876978773033157,-2.006669859455313,0.0
y,-1.5,1.5167935830519212,0.010840152778978358,-1.4976790169022416,24.951746228592757,2,cyl4_y-1.50.png,0.0013924380221968847,0.011183008455343391,-1.5167935830519212,4.963903267203657,-0.6079324606171221,0.03916716939986742,-0.42415323205621025,-3.4601764506317423,0.0
y,-0.75,1.584029739282667,0.008634033546845448,-0.7354322910897434,24.970045588760748,2,cyl4_y-0.75.png,0.021190211635300216,0.07939034653457852,-1.584029739282667,2.3151660801832814,-0.2578014605734258,0.20733826885277473,-0.5030410612435051,-2.736485870323222,0.0
y,0.0,1.7127834473852488,0.003056638527596484,0.006405174026923164,24.980741007219915,2,cyl4_y+0.00.png,0.02656422484613401,0.08140258460081977,-1.7127834473852488,1.5109958814264108,-0.2319601730031151,0.3544220538948206,-0.5299521812403114,-2.091152587097905,0.0
y,0.75,1.7943307118602831,0.001985394188548768,0.7599819970049422,24.99617426112099,2,cyl4_y+0.75.png,0.02612680088961028,0.08140415901226312,-1.7943307118602831,0.403016480368798,-0.23570703639337887,0.3656947506092578,-0.5017542841604243,-1.3786489687531782,0.0
y,1.5,1.855177538771909,0.008090168591436301,1.5062169821608533,25.003250709468322,2,cyl4_y+1.50.png,0.030967420993460948,0.0848408640671126,-1.855177538771909,-0.8373843677625781,-0.11799000109926072,0.00851531575443154,-0.48821763784309624,-0.7119390083319066,0.0
