axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.5571136437401065,-1.496587921630732,0.010968785421872776,23.740913404790177,10,ball4_x-1.50.png,0.037510845943887004,0.03607564464389625,-1.5571136437401065,0.11858029285777005,-1.9344625128471182,0.1222032162490283,-1.830684979466019,-0.6419895080098939,0.0
x,-0.75,1.5055232832094645,-0.7373027449663934,0.010857192960975762,23.750255095507345,10,ball4_x-0.75.png,0.05001286815869754,0.008438024060319904,-1.5055232832094645,0.773342392318499,-0.3733663377396723,0.007690016960282265,-1.059315062677707,-0.6505532412854662,0.0
x,0.0,1.5218564089481732,0.009322526133076114,0.009615176484296183,23.760099744585688,9,ball4_x+0.00.png,0.023388652462660885,0.026878146884503806,-1.5218564089481732,0.3669433526296867,0.22096168165165464,0.12635200258066526,-0.23015052080382903,-0.6724579917431645,0.0
x,0.75,1.5222402615832435,0.7623428757362168,0.010149011574356381,23.77175681282683,9,ball4_x+0.75.png,0.026960691298183903,0.02606786852987124,-1.5222402615832435,0.44941876042348394,1.5710070637923956,0.16957204741672172,0.5994782587970368,-0.7134685810618852,0.0
x,1.5,1.620392729752112,1.5103841525998782,-0.0026107162094914666,23.774266061218544,7,ball4_x+1.50.png,0.03273889232096501,0.0099911260403994,-1.620392729752112,1.2208200175787554,2.7929560376302454,0.15851863347453587,1.2301824726815205,-0.9039980484149556,0.0
y,-1.5,1.4901747021789675,0.0017359900608102984,-1.4897225658530955,23.713885224769726,12,ball4_y-1.50.png,0.01655420614372538,0.02779127243619417,-1.4901747021789675,2.789248638334238,0.059672718055886476,0.25284517926378314,-0.23126704506610685,-2.3272378200799086,0.0
y,-0.75,1.5040249522543718,0.0010819040913580594,-0.7352885776017699,23.72636006440046,11,ball4_y-0.75.png,-0.004624543363848943,0.03405275989743384,-1.5040249522543718,1.7611903291249869,-0.1472732077012484,-0.01380870982012894,-0.02282451761439071,-1.7239448245136568,0.0
y,0.0,1.5252955049088002,0.000560079982694878,0.0183343266560743,23.750869706404494,10,ball4_y+0.00.png,-0.00566121519953775,0.05048460136330011,-1.5252955049088002,0.3484086613287002,0.02167482009792221,0.2318872303872066,0.10485697480309725,-1.0367741086632418,0.0
y,0.75,1.6891471935667084,-0.006346560983802668,0.7571682673569108,23.75939631883764,8,ball4_y+0.75.png,-0.02829485669612275,0.054286371900979444,-1.6891471935667084,-0.8828657362269288,-0.7051421060833951,0.16417267714881056,-0.00834791213156038,-0.26224037304723136,0.0
y,1.5,1.5166850872861062,-0.0006516698499435768,1.513823976828478,23.8070839770142,7,ball4_y+1.50.png,-0.01383416357252365,0.06370064072256784,-1.5166850872861062,-2.0724204525347676,-0.38112274247222855,0.22476578338248565,-0.028518073361270373,0.34065659664601355,0.0
