index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788881287.399529,1788881287.339530,normal_load,1,,2.0,-0.00357,-0.00161,-0.01676,8e-05,0.00014,0.00017,-0.00288,-0.00122,-0.01484,6e-05,0.00011,0.00015,-0.00218,-0.00345,-0.01672,3,37.9134,362.8638,37.9356,-179.776,0.9671,-97.6695,0.0003,25.6242,-0.0355
2,000002.png,False,1788881287.591459,1788881287.531459,normal_load,1,,2.0,-0.00439,-0.00326,0.00711,-0.0,6e-05,2e-05,-0.00367,-0.00287,0.0091,-3e-05,2e-05,0.0,-0.00222,-0.00491,0.00717,3,37.9223,362.8099,37.9203,-179.7741,0.9606,-97.6695,0.0069,25.608,-0.0192
3,000003.png,False,1788881287.983567,1788881287.923567,normal_load,1,,2.0,-0.00221,-0.00044,-0.04126,7e-05,0.00018,0.00021,-0.00143,-1e-05,-0.03911,4e-05,0.00015,0.0002,-0.00141,-0.00215,-0.04124,3,37.9283,362.7992,37.8628,-179.7745,0.9617,-97.6695,0.0092,25.5502,0.0385
4,000004.png,False,1788881288.371613,1788881288.311613,normal_load,1,,2.0,0.00907,0.00363,-0.15983,-0.00012,0.00022,0.00021,0.0099,0.00409,-0.15754,-0.00015,0.00018,0.0002,0.00715,0.00512,-0.15989,3,37.9317,362.7795,37.7207,-179.7731,0.9575,-97.6697,0.0063,25.4078,0.1809
5,000005.png,False,1788881288.567647,1788881288.507647,normal_load,1,,2.0,0.02901,0.01881,-0.41031,-0.00026,0.00067,0.00015,0.02987,0.01928,-0.40793,-0.00029,0.00063,0.00013,0.01857,0.02421,-0.41063,3,37.9306,362.7867,37.5921,-179.7737,0.9594,-97.6697,0.0077,25.2795,0.3093
6,000006.png,False,1788881288.763638,1788881288.703639,normal_load,1,,2.0,0.03675,0.02894,-0.44702,-0.00068,0.00071,9e-05,0.03764,0.02943,-0.44457,-0.00071,0.00067,7e-05,0.02047,0.03627,-0.44752,3,37.9291,362.7938,37.5714,-179.7741,0.9611,-97.6697,0.002,25.2589,0.3299
7,000007.png,False,1788881288.959674,1788881288.899674,normal_load,1,,2.0,0.05852,0.05225,-0.91585,-0.00107,0.00098,0.00013,0.05944,0.05276,-0.91333,-0.0011,0.00093,0.00011,0.03093,0.05983,-0.91674,3,37.9276,362.7989,37.4411,-179.7744,0.9614,-97.6697,0.0053,25.1286,0.4601
8,000008.png,False,1788881289.155697,1788881289.095697,normal_load,1,,2.0,0.06086,0.06251,-0.91835,-0.00121,0.00109,0.00016,0.0618,0.06303,-0.91575,-0.00124,0.00104,0.00014,0.02785,0.06983,-0.91942,3,37.9273,362.8038,37.4384,-179.7751,0.9635,-97.6697,0.0091,25.1261,0.4627
9,000009.png,False,1788881289.347621,1788881289.287621,normal_load,1,,2.0,0.08046,0.09081,-1.18329,-0.00193,0.00137,-0.0001,0.08143,0.09135,-1.18062,-0.00196,0.00132,-0.00012,0.03253,0.0999,-1.18485,3,37.9256,362.8169,37.3725,-179.7764,0.9681,-97.6699,0.0053,25.0603,0.5284
10,000010.png,False,1788881289.543705,1788881289.483705,normal_load,1,,2.0,0.07855,0.09232,-1.20198,-0.00192,0.00138,0.00029,0.07955,0.09287,-1.19923,-0.00195,0.00133,0.00027,0.03025,0.09995,-1.20355,3,37.9258,362.8174,37.3729,-179.7764,0.9683,-97.6697,0.0067,25.0608,0.528
