axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.3751242760796232,-1.504036721503356,0.014798089626575367,25.198413212792385,2,ball8_x-1.50.png,0.01800589919726576,0.027373905653797513,-1.3751242760796232,1.0588840770792363,-2.1940700278295866,-0.19874091203697652,-1.9322537702210478,-1.2819205141399204,0.0
x,-0.75,1.3938585883210295,-0.7376658527934514,0.00353779390821167,25.19260577125362,2,ball8_x-0.75.png,0.023407245538497178,-0.020615063369484866,-1.3938585883210295,2.285147695413786,-1.0492286804687,-0.24306869279442367,-1.1845839721945128,-1.2591193967206251,0.0
x,0.0,1.4361748891496149,0.011843638849137096,-0.0038977013289787314,25.19127702993335,2,ball8_x+0.00.png,0.019573444677613593,-0.036981739113269005,-1.4361748891496149,2.645219750529756,-0.2446502780575177,-0.17938752817658887,-0.5208129757895464,-1.1796890494822205,0.0
x,0.75,1.4670362748108232,0.764470146342601,0.00076766534425937,25.19030033258418,2,ball8_x+0.75.png,0.015536262641539622,-0.032831308174928256,-1.4670362748108232,2.739016326084029,0.8957676876264975,-0.193386342487889,0.3382704275068743,-1.2915591227667713,0.0
x,1.5,1.4514232721854199,1.5164810047368318,-0.0006645657129528675,25.198752711825822,2,ball8_x+1.50.png,0.03156233185038637,-0.034121348731496325,-1.4514232721854199,2.752195070901986,2.289219515495722,-0.3610144561359441,1.0180343947220916,-1.2916767027781586,0.0
y,-1.5,1.1656492421834599,-0.003011706803580284,-1.488603367741514,25.17689579695795,2,ball8_y-1.50.png,-0.0022920085382402535,0.004837622434233779,-1.1656492421834599,3.1748202809684156,-0.68505011851272,-0.1364408202300993,-0.5371353874959864,-2.8303703276746117,0.0
y,-0.75,1.2384919237763938,0.00141655479759547,-0.7399439507910379,25.185573154976346,2,ball8_y-0.75.png,0.006483165084257792,-0.0324486050652407,-1.2384919237763938,3.435610957394428,-0.3659562877710798,-0.23166977108934894,-0.430095594809545,-2.100296190464529,0.0
y,0.0,1.42011201961748,-0.006248137000964217,0.014165133585795521,25.193290051601085,2,ball8_y+0.00.png,-0.02664483723708173,-0.00365063240462149,-1.42011201961748,1.963307004083903,-1.2409484884502664,0.05407919128064265,-0.39136379774054775,-1.3163972313583046,0.0
y,0.75,1.5881780966469505,0.007285050396566665,0.7547078892854993,25.197648094749194,2,ball8_y+0.75.png,-0.0027108221117373432,-0.006576563699685245,-1.5881780966469505,1.0893623360475946,-0.7531876818449801,-0.08430110766428633,-0.4303543116218847,-0.5794356272343978,0.0
y,1.5,1.7601342229094286,0.004897604027111984,1.506362341099013,25.206978399952522,2,ball8_y+1.50.png,-0.0029092859602332767,-0.003140784215906578,-1.7601342229094286,-0.1580838201896445,-0.6719633863818131,-0.014195252901405553,-0.33926476726636523,0.1356990958029634,0.0
