step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.10281055550950313,0.1,0.03338105182718323,6.998456001281738,nan,30262,98.14628763072943,14.933429718017578,30262,98.14628763072943,-14.933429718017578,997,17.81445919822545
2,0.20205410933661128,0.2,0.1255781552447502,7.146543025970459,nan,37362,109.05362886029418,16.17752456665039,37342,109.02443657215161,-16.178577423095703,388,11.11324596323283
3,0.2793629500067283,0.30000000000000004,0.21580613580220814,7.336228847503662,1.8506778362297784,41819,115.37504552683801,17.515716552734375,41179,114.48878898460896,-17.543071746826172,1007,17.903576608797394
4,0.4043314394058122,0.4,0.3834709230887512,7.549882411956787,1.5273798255256767,51521,128.06109341277343,18.233570098876953,49188,125.12804114829056,-18.32616424560547,422,11.589942707777277
5,0.44923521822677515,0.5,0.48148578326319863,7.696859359741211,1.3484284885613127,57553,135.3502452141691,18.592998504638672,52134,128.8206800413107,-18.747591018676758,850,16.448811606198852
6,0.6125588158832613,0.6,0.8933397449621083,8.01136589050293,0.8634687479627325,66896,145.92346674250464,18.976211547851562,49018,124.91162476309822,-19.371253967285156,1790,23.869953838853256
7,0.609820407452144,0.7,0.9071489017012311,8.213659286499023,1.0037135283812362,73216,152.6609859356097,19.10118865966797,52131,128.8169735580183,-19.301795959472656,3821,34.874949105457695
8,0.8163472564585774,0.7999999999999999,1.5410301933260655,8.733409881591797,0.9737255640785569,87422,166.81512782106827,19.458894729614258,61084,139.4404571408552,-18.917207717895508,7518,48.91884835449153
9,0.806705122088669,0.8999999999999999,1.4992124935370215,9.004672050476074,1.04290312512837,97698,176.34692869563673,19.5338191986084,66916,145.94527859398036,-18.574106216430664,14685,68.36944257933486
10,0.9865322129194389,0.9999999999999999,2.1760030642972934,9.509015083312988,0.9530635586893663,112475,189.21391187891513,19.836904525756836,75426,154.94786695949898,-18.187076568603516,18336,76.3971862902423
11,1.2751960562464717,1.4,3.6581906079408326,11.321600914001465,1.0975946758545998,154066,221.4514188818665,22.150371551513672,95224,174.09980069478908,-18.264890670776367,31064,99.43831406662763
