step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.10771359146867354,0.1,0.041135720490458993,6.237812519073486,nan,287,9.557977680176279,13.190356254577637,287,9.557977680176279,-13.190356254577637,0,0.0
2,0.16929252756021285,0.2,0.06445071110736364,6.317468166351318,nan,9347,54.545783578200535,14.859521865844727,9347,54.545783578200535,-14.859521865844727,0,0.0
3,0.3284580104025281,0.30000000000000004,0.27080972324793606,6.730562210083008,2.0888536119701824,30054,97.80841129150214,16.873140335083008,22299,84.24958250348988,-17.272857666015625,1077,18.515392175699183
4,0.3330942599036426,0.4,0.324691878582729,6.985472202301025,2.409824186907794,39528,112.17019738358704,17.997318267822266,24929,89.07944292975634,-17.853168487548828,7304,48.21758401959193
5,0.5179369041754924,0.5,0.8865101129205982,7.821572780609131,1.6559025683772035,56137,133.67483712613776,21.804964065551758,27241,93.11863191398723,-19.006895065307617,20705,81.1825485768671
6,0.49148406624272667,0.6,0.8041710519342586,8.271411895751953,1.8997665121394176,64993,143.8329393176094,23.19380760192871,28888,95.89231456210318,-18.908784866333008,27453,93.48027227925476
7,0.7082686589284215,0.7,1.716431149813232,9.839113235473633,2.0078395745266713,82679,162.2268260177386,27.62028694152832,21715,83.13903522702807,-19.47106170654297,41760,115.29362882239026
8,0.7013497212322584,0.7999999999999999,1.6998493988914618,10.559484481811523,2.121192348684651,92754,171.82699200967036,28.672121047973633,23381,86.26936564542021,-18.809370040893555,47938,123.52788885056911
9,0.8988296088169108,0.8999999999999999,2.806916754351076,12.43752670288086,2.0292513001176373,111457,188.35568742245815,32.52056121826172,13133,64.65573242375129,-14.549660682678223,67277,146.33842356943336
10,1.0191433077713299,1.1514111065674537,3.8358136927977453,14.660526275634766,1.9171694092469755,178694,238.495423020498,30.055015563964844,55065,132.39234827855586,-15.409826278686523,87051,166.46078788166648
11,1.2788830172442474,1.3453591541718657,5.844182967764061,17.236682891845703,1.5392314505480107,249793,281.97798034511067,29.523263931274414,84561,164.06279982246897,-16.38874053955078,102114,180.2883682264932
12,1.3528965136565745,1.4453591541718658,6.280390618767564,18.0449161529541,1.352953878410175,271421,293.9319438541695,29.51845932006836,91721,170.86749565281124,-16.784229278564453,105373,183.1427520729242
13,1.4166093065568646,1.4703591541718657,6.568027443419993,18.572296142578125,1.8457919974854446,289406,303.51407038374043,29.27048110961914,99361,177.84147041988723,-17.011167526245117,107864,185.29483954856485
14,1.4305571864332336,1.4953591541718656,6.400300886749875,18.802059173583984,1.6283665435904022,292149,304.9490366253159,29.458721160888672,148897,217.70481649037507,-16.590721130371094,108032,185.43908332443644
15,1.4728207895575132,1.5203591541718655,6.9866962461022215,19.033849716186523,0.5310337014643113,296411,307.1653490770461,29.558372497558594,103267,181.30335633005117,-17.33156967163086,109793,186.94436962309652
16,1.4872694498755763,1.5453591541718654,7.026000607560635,19.239200592041016,0.5665745726900209,300355,309.2021440170369,29.618228912353516,153182,220.81518286885398,-16.742713928222656,110327,187.39843866211658
17,1.5039299456654938,1.5703591541718653,7.017719565504228,19.39005470275879,nan,303518,310.8259642223149,29.65650749206543,107063,184.60555610407607,-17.434009552001953,110956,187.93188056157123
18,1.536213808819337,1.5953591541718652,7.449951892670725,19.58390235900879,0.6237240983005267,308375,313.30306597913534,29.635784149169922,158245,224.43472979722625,-16.88420867919922,111726,188.58284742725198
19,1.5904558974496084,1.6203591541718652,8.37596143687902,19.87403106689453,0.3495179651261671,308899,313.5691399552685,29.95494270324707,155802,222.69556997660945,-17.039857864379883,113314,189.91831518584524
20,1.5842712783534019,1.645359154171865,8.0439401262061,19.92593765258789,0.34424404606217696,313081,315.6846171043299,29.818906784057617,160427,225.9767689626679,-17.08747673034668,113166,189.79424801577852
21,1.6037119787833518,1.670359154171865,8.257566191896903,20.038619995117188,-0.07445187152150044,315179,316.740574630913,29.885255813598633,161836,226.96695517286201,-17.21534538269043,112752,189.44676372795277
22,1.6547421300174783,1.695359154171865,9.220557447659692,20.233333587646484,0.24317583922989824,2953,30.6589154064643,17.764265060424805,27621,93.76586461118184,-19.11110496520996,114365,190.797039110698
23,1.656583341840868,1.7203591541718648,9.205327512365312,20.226268768310547,0.20016113540027075,2930,30.539285625543155,17.790481567382812,27977,94.36819212936058,-18.98885154724121,113629,190.18210761577427
24,1.6694429431407052,1.7453591541718647,9.466940905850516,20.287412643432617,0.22745570184862754,2882,30.288101491867806,17.7074031829834,48788,124.6182279088207,-15.745308876037598,115049,191.3667528479253
25,1.7082595178913706,1.7703591541718646,10.561983188717505,20.406761169433594,0.1259795634267834,4251,36.784987782617165,13.802907943725586,46146,121.19706270300945,-16.014345169067383,115431,191.68418941603176
