probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,rung_depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,2,1,0.9806645309066219,-0.7736957524534551,960.0,540.0,0.15,0.45520947707716175,0.44999999999999996,0.0,0.0,0.6428409166126613,ball4_x+0.98_y-0.77_d0.15.png,1789056758.6329582,0.010752788864834883,0.00840001502057106,-0.6428409166126613,39.15964889526367,362.5548095703125,35.6850357055664,8477,51.9452876128335,"[159.9294561755338, 115.46679249734576]",12
ball4,2,1,0.9806645309066219,-0.7736957524534551,960.0,540.0,0.3,0.6557517311972347,0.5999999999999999,0.0,0.0,1.5565551135109814,ball4_x+0.98_y-0.77_d0.30.png,1789056759.8010204,0.044526415899184005,0.01863008814424454,-1.5565551135109814,39.1663131713867,362.5475463867187,35.52490234375,8580,52.25991602994521,"[453.94498834498836, 129.34533799533799]",12
ball4,0,0,-5.215801685947527,0.054049638264671795,373.91182013961725,289.91182013961725,0.15,0.43451814426723345,0.44999999999999996,0.0,0.6428409166126613,0.6085192835733466,ball4_x-5.22_y+0.05_d0.15.png,1789056764.0932178,-0.020955600312035826,0.02338557350181052,-0.6085192835733466,33.38200759887695,360.1667175292968,35.68465423583984,7871,50.054141828150605,"[161.38495743869902, 120.67297675009529]",12
ball4,0,0,-5.215801685947527,0.054049638264671795,373.91182013961725,289.91182013961725,0.3,0.6350281906419148,0.5999999999999999,0.0,1.5565551135109814,1.7376053482083478,ball4_x-5.22_y+0.05_d0.30.png,1789056765.2651994,-0.011829529002412542,0.03289742418261987,-1.7376053482083478,33.38453292846679,360.1578369140625,35.53640365600586,10565,57.99089538480803,"[153.129957406531, 116.45092285849503]",12
ball4,1,0,-2.744198697837836,-1.414474411402686,666.9559100698086,289.91182013961725,0.15,0.4851485734631318,0.44999999999999996,0.0,0.6428409166126613,0.5966620695348297,ball4_x-2.74_y-1.41_d0.15.png,1789056768.1934333,0.009762410131481047,0.004491931721914177,-0.5966620695348297,36.26890182495117,360.1253662109375,35.65254592895508,12648,63.450637825419726,"[591.424652118912, 336.30645161290323]",12
ball4,1,0,-2.744198697837836,-1.414474411402686,666.9559100698086,289.91182013961725,0.3,0.6912507346894117,0.5999999999999999,0.0,1.5565551135109814,1.6551103303502885,ball4_x-2.74_y-1.41_d0.30.png,1789056769.3614893,0.043164974176525206,-0.016624703677069873,-1.6551103303502885,36.27353286743164,360.1293640136718,35.50999069213867,22141,83.95057587649598,"[575.6283365701639, 343.77661352242444]",12
ball4,2,0,-0.27259570972814484,-2.882998461070044,960.0,289.91182013961725,0.15,0.539155280235672,0.44999999999999996,0.0,0.6428409166126613,0.5920259875149156,ball4_x-0.27_y-2.88_d0.15.png,1789056772.2896366,0.010038604185001177,-0.0036364714406659005,-0.5920259875149156,39.14430618286133,360.0879821777343,35.61951065063476,9851,55.99705964420384,"[155.21794741650595, 114.51700334991371]",12
ball4,2,0,-0.27259570972814484,-2.882998461070044,960.0,289.91182013961725,0.3,0.7499257670917956,0.5999999999999999,0.0,1.5565551135109814,1.6023646012390913,ball4_x-0.27_y-2.88_d0.30.png,1789056773.4577236,0.04670426356993325,-0.019560949279890317,-1.6023646012390913,39.14899444580078,360.0918579101562,35.48340606689453,13092,64.55472895085369,"[998.9490528567064, 158.17056217537427]",12
ball4,3,0,2.199007278381546,-4.351522510737402,1253.0440899301914,289.91182013961725,0.15,0.5957272333758574,0.44999999999999996,0.0,0.6428409166126613,0.6482543798475973,ball4_x+2.20_y-4.35_d0.15.png,1789056776.385768,0.028023178095418544,-0.03030774965237857,-0.6482543798475973,42.02381134033203,360.0480651855468,35.58542251586914,8690,52.59384860358805,"[1312.7978135788262, 143.7318757192175]",12
ball4,3,0,2.199007278381546,-4.351522510737402,1253.0440899301914,289.91182013961725,0.3,0.8005402329185856,0.5999999999999999,0.0,1.5565551135109814,1.5526781988911182,ball4_x+2.20_y-4.35_d0.30.png,1789056777.557917,0.0615741212884167,-0.019052926815055393,-1.5526781988911182,42.0219268798828,360.052734375,35.4363899230957,10090,56.672274981638495,"[1316.058671952428, 131.87393458870167]",12
