axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.8266179212408815,-1.5021207080133296,0.010818413879083043,24.08545316758502,5,cyl4_x-1.50.png,-0.008678148145339648,0.002297657277158116,-1.8266179212408815,0.9781473303028532,-2.8202166544597396,-0.23016475531174585,-1.4284705004667464,-0.5660726040472441,0.0
x,-0.75,1.8157118178362737,-0.7365400031780335,0.005519882260946574,24.097001749661814,5,cyl4_x-0.75.png,0.07200828588964577,-0.007705599605753654,-1.8157118178362737,1.24933112501609,0.4346666013758549,0.017606676313386416,-0.7246180988654283,-0.5849082482764583,0.0
x,0.0,1.7976307990050544,0.006193851707679939,0.009422851540134048,24.105185340672808,5,cyl4_x+0.00.png,0.07256573308294172,-0.007469407167628716,-1.7976307990050544,1.2541394536582984,1.7064496054479017,-0.029053236841170005,-0.03196705682548441,-0.5966600430857022,0.0
x,0.75,2.00037278737656,0.7542872398041928,0.0023571724299648934,24.099815109078104,4,cyl4_x+0.75.png,0.06636669892666483,-0.01216889155225669,-2.00037278737656,1.5443348264599783,3.0019654123382895,0.18300833318045662,0.6942385132145306,-0.6241514799303477,0.0
x,1.5,1.969057389657138,1.5060756991515365,0.0018028552442584233,24.10628177160114,4,cyl4_x+1.50.png,0.07107262538840722,-0.015868576503248733,-1.969057389657138,1.7275658249708754,4.517960934825443,0.07740455485816256,1.4170945788374416,-0.6814607719918877,0.0
y,-1.5,2.013217992051062,-0.003997615731207197,-1.5003309157273264,24.043212302958338,6,cyl4_y-1.50.png,-0.008635707208130228,0.013125917244984641,-2.013217992051062,4.0920636210482195,-0.056483505126264655,0.2716853172867406,0.07621215749178865,-2.191082155445172,0.0
y,-0.75,2.0200804269273562,0.006495034437797196,-0.7466198258143668,24.065716972499708,5,cyl4_y-0.75.png,0.02866349579894987,0.033045692680970615,-2.0200804269273562,2.1603542226335284,0.6715623004491716,0.05496720320961046,-0.012467184009480516,-1.4670816263109987,0.0
y,0.0,1.7911880055653797,0.003067943011068663,0.013420591502162287,24.102299315936026,5,cyl4_y+0.00.png,-0.0019118403957399722,0.03251045166459292,-1.7911880055653797,0.6293698497179562,-0.04409605223344992,0.006146849216381867,0.0013268370067593628,-0.7925622324012024,0.0
y,0.75,2.0739997588068944,0.005068339999204392,0.7549515275271241,24.10442897173914,4,cyl4_y+0.75.png,0.027239183861840034,0.02748091404360231,-2.0739997588068944,-0.5428891207248182,0.6775491614463863,0.030161961449737262,0.007436867179620218,-0.06032397666013229,0.0
y,1.5,2.077954271213264,0.008607970713071705,1.5151646190464383,24.130465493161715,3,cyl4_y+1.50.png,0.04312447567858228,0.07044243528338737,-2.077954271213264,-3.2145572719750244,0.8680663390243176,-0.13554417959040777,-0.08671775557548324,0.7229492275688131,0.0
