axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,0.2606597511606196,-1.499420167518926,0.007524862935692392,26.69827821520895,15,ball4_x-1.50.png,-0.0031593601420151886,0.004404107179744621,-0.2606597511606196,0.31210137086743195,-0.6177585408501163,-0.12214845549274322,-2.0367589432310003,-1.6618582156912876,0.0
x,-0.75,0.26547879927374823,-0.7527071759129396,0.010299816396638108,26.717242725894906,14,ball4_x-0.75.png,0.002585080586702304,-0.002242730299201412,-0.26547879927374823,0.4544078463011414,-0.22936641372411082,0.09189200060562008,-1.131675004197067,-1.479404268635355,0.0
x,0.0,0.2768744950228864,0.004860286804357001,0.00648960242954213,26.701273154642436,15,ball4_x+0.00.png,0.004970473785099827,-0.0026807659943569816,-0.2768744950228864,0.554773117127394,0.02944252526186908,0.12606387926248352,-0.38720165665759804,-1.7375136566178395,0.0
x,0.75,0.24955549550001593,0.7561204324379557,0.006342160381586753,26.715077166358412,14,ball4_x+0.75.png,0.007662597102018864,-0.0037209778073448163,-0.24955549550001593,0.6542995166977705,0.24419766169788412,-0.12379908247255321,0.13438588337466292,-2.211940883510981,0.0
x,1.5,0.24433671313278751,1.5046029380488406,0.017600513375032698,26.718590000347728,15,ball4_x+1.50.png,0.007433332553384275,0.0036664918917352907,-0.24433671313278751,0.44018656853544447,0.41319714198407853,-0.07822856769945652,0.8547187953152183,-2.2141009534311724,0.0
y,-1.5,0.23558121371849836,0.0014247077992145163,-1.4867164497678456,26.711188097882147,15,ball4_y-1.50.png,-0.0010073459515286486,0.00399810082619112,-0.23558121371849836,0.7859772051579672,-0.24374632516897254,-0.030839033024365747,-0.9171031120880516,-3.8029068604980774,0.0
y,-0.75,0.26338345062264634,0.000670348860857648,-0.7476654904713416,26.682317993404084,15,ball4_y-0.75.png,-0.00192228158281047,0.0011428887645216434,-0.26338345062264634,0.8341662276211609,-0.20944334147758037,0.004012827599630953,-0.5945543409082212,-3.2864124293809933,0.0
y,0.0,0.2566945632998426,0.002343207031783322,0.0053804264705566325,26.7373522164339,14,ball4_y+0.00.png,-0.0011177428788347044,0.005330052678199771,-0.2566945632998426,0.5870817864691458,-0.17239634299903717,0.18325856612269043,-0.551890294501483,-2.8579341386612023,0.0
y,0.75,0.2497200336288529,0.006972412587619458,0.7607724672089043,26.74121589030838,14,ball4_y+0.75.png,0.0026713943930463556,0.00805645881491035,-0.2497200336288529,0.4358020422143727,-0.11050316873148225,0.015336847015179346,-0.7366065984568941,-2.632111834641394,0.0
y,1.5,0.28298870678719085,0.0032197973797909304,1.5010357656301458,26.76561118404666,11,ball4_y+1.50.png,0.0002998893464681629,0.0077638515537644896,-0.28298870678719085,0.42060482485500594,-0.0673688064624256,0.20125883919401844,-0.2671958071968391,-2.240546826343548,0.0
