axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,0.6182602665847498,-1.501295538981725,0.006029672351036861,25.687197388081785,7,ball4_x-1.50.png,-0.005393525872800708,0.007297619402416444,-0.6182602665847498,-0.10381611477130459,-1.285112235183461,0.12656048522639018,-1.8489320285285626,-0.14282407958008578,0.0
x,-0.75,0.6094571742512954,-0.7444049244660489,0.0037475605662002087,25.6635382145062,8,ball4_x-0.75.png,0.025305700811925645,-0.005357259986474183,-0.6094571742512954,0.39581560810056926,-0.15820194762303785,-0.0819130762961695,-1.3526870387552294,-0.418043031430935,0.0
x,0.0,0.5846207646040085,0.005409726268299799,0.013233997106839885,25.670916133690092,9,ball4_x+0.00.png,0.030000380457303067,0.008948157097947985,-0.5846207646040085,0.18744884452824018,0.448842905996899,0.030645912380622416,-0.5832037621044311,-0.7235798306676199,0.0
x,0.75,0.6110905488256975,0.7524478283500479,-0.004080381795728033,25.65557255953205,9,ball4_x+0.75.png,0.02100539477659318,-0.006881164041752719,-0.6110905488256975,0.6553244894938248,0.9696411393084081,0.11966675965155993,0.6818121678186878,-0.7759400110405584,0.0
x,1.5,0.5824832458822641,1.5070216157772416,0.008924487423497881,25.637458481901724,10,ball4_x+1.50.png,0.027698395702545398,0.009786070217086973,-0.5824832458822641,0.25489937986832856,1.6699042892808658,-0.08394678626761909,1.615000715424715,-0.8799040983994186,0.0
y,-1.5,0.613574550509631,-0.00040790004970202407,-1.4893833638312848,25.58466813867566,12,ball4_y-1.50.png,-0.006051292362520044,0.013464696039303092,-0.613574550509631,1.1142468916088584,-0.35970544291830664,0.23822488192561941,-0.3266072982178902,-2.3937126059901312,0.0
y,-0.75,0.5866320681501633,0.00047733946873277484,-0.7403607575610545,25.622226362603442,11,ball4_y-0.75.png,0.0034689241642464454,0.01959890969051461,-0.5866320681501633,0.7173636841129399,-0.21473850178354015,0.1359911694323479,-0.5217275024749994,-2.1023883873093516,0.0
y,0.0,0.630770387762351,0.0008377741777202093,0.003706581446190644,25.656393569653673,8,ball4_y+0.00.png,0.0011286418999016945,0.01858926820600786,-0.630770387762351,0.4029235554165872,0.0571728121010362,0.6104528616035054,0.04353400743555933,-1.4146325118986107,0.0
y,0.75,0.5839398531984841,0.0026681048790446393,0.7532231768328866,25.6855011919937,7,ball4_y+0.75.png,-0.009548235352295365,0.027668161200045026,-0.5839398531984841,-0.2618659670392598,0.2452593245739043,0.3318140750892429,0.8504780924066784,-0.7989375984273571,0.0
y,1.5,0.5964679587973507,0.0017545857309860524,1.5137310029965778,25.723929159081422,6,ball4_y+1.50.png,0.001069944695672831,0.039919213691513813,-0.5964679587973507,-1.0422695700793099,0.22769801834972014,0.5668463285612546,0.334519969156588,-0.014504594803903252,0.0
