approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.38582276127493387,-0.020880856750637465,-0.012689778371611737,0,28.566019533625578,0.4,False
1,0.7666163868930447,-0.005103244196948563,0.0022694203172250126,0,28.566019533625578,0.4,False
1,1.1748802635175792,0.015712971425916284,0.02226447620003853,0,28.566019533625578,0.4,False
1,1.551248109114372,0.21197433022355397,0.21767826247052824,19353,28.566019533625578,0.4,False
2,0.3840355517745664,-0.00955064227119235,-0.008338068035365609,0,28.57789505729895,0.4,False
2,0.760807905508031,-0.018673591496869812,-0.022210155193559445,0,28.57789505729895,0.4,False
2,1.1820322921582331,0.014558373441846215,0.0062813033768378546,0,28.57789505729895,0.4,False
2,1.5427165804022955,0.2084539858843971,0.19537852118193655,16838,28.57789505729895,0.4,False
3,0.38278550488881535,-0.0227963886723282,-0.011257144219973725,0,28.57656515166028,0.4,False
3,0.7656884052613542,-0.012686465288095156,-0.003436421828237712,0,28.57656515166028,0.4,False
3,1.1744146750242983,0.016490836700252684,0.023449031208247106,0,28.57656515166028,0.4,False
3,1.5519285630030666,0.2242585884436997,0.2288906225130347,17458,28.57656515166028,0.4,False
4,0.3803846622480087,-0.015967790895701436,-0.020082461453765178,0,28.570628823268027,0.4,False
4,0.7643417887548623,-0.0073168076107837056,-0.01150103129836566,0,28.570628823268027,0.4,False
4,1.1788704235965355,0.0507769714323032,0.04652278653789495,0,28.570628823268027,0.4,False
4,1.1810706614129671,0.03320519785133956,0.028881223847548654,0,28.570628823268027,0.02,True
4,1.2057328012049204,0.03742772489720559,0.03303421234910786,0,28.570628823268027,0.02,True
4,1.2262248245748246,0.044942585721350826,0.04047924069735416,0,28.570628823268027,0.02,True
4,1.258240414333951,0.06552281158989384,0.06098993675661575,0,28.570628823268027,0.02,True
4,1.2502875965273716,0.06068243965023242,0.056079711583629434,0,28.570628823268027,0.02,True
4,1.268761358718649,0.06414820158084097,0.05948752087415414,0,28.570628823268027,0.02,True
4,1.2788964679842678,0.0555992606916473,0.05088044971927559,0,28.570628823268027,0.02,True
4,1.3441704198892594,0.10607435477891201,0.10128580176700268,0,28.570628823268027,0.02,True
5,0.37595921671182,0.009221189656201341,-0.0066682573227865305,0,28.572646369156548,0.4,False
5,0.7688044642101879,0.02626176197071346,0.00819836037078403,0,28.572646369156548,0.4,False
5,1.175073559258351,0.07436939031622326,0.05413742761278968,0,28.572646369156548,0.4,False
5,1.1882577310990605,0.06532449696629204,0.042919455147770694,0,28.572646369156548,0.02,True
5,1.2111470055324958,0.06936707160810426,0.04515043466570319,0,28.572646369156548,0.02,True
5,1.2234254838799217,0.06379757635082606,0.037408617894391226,0,28.572646369156548,0.02,True
5,1.2581240240494438,0.07073012705499994,0.04217186494568352,0,28.572646369156548,0.02,True
5,1.2616504309471743,0.09210925807391618,0.06137827976215817,0,28.572646369156548,0.02,True
5,1.2865719045709305,0.11540699752347164,0.08249816118931505,0,28.572646369156548,0.02,True
5,1.2913902971200386,0.0833795452358347,0.048302267375382256,0,28.572646369156548,0.02,True
5,1.3261121612401645,0.12350488905337098,0.08625319540533098,0,28.572646369156548,0.02,True
