step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.09805520654684585,0.1,0.004137112930743569,1.801662564277649,nan,288,9.574614729634384,3.842827796936035,255,9.009385160867895,-3.9219515323638916,0,0.0
2,0.20057568223881006,0.2,0.0035376952703529696,1.8126590251922607,nan,453,12.008096370418468,4.190699100494385,430,11.699284211396439,-4.166587829589844,0,0.0
3,0.28900273227058193,0.30000000000000004,-0.01632485722035142,1.819689154624939,nan,333,10.295493776366547,4.306118488311768,316,10.02925341359355,-3.923964023590088,0,0.0
4,0.41062003612233156,0.4,0.004956503115488431,1.8886440992355347,nan,13988,66.72719601436032,4.47853422164917,13611,65.82184941831683,-4.492330074310303,0,0.0
5,0.46594061774391804,0.5,0.0926894795696029,2.0164542198181152,1.7036370678620512,30104,97.88973804069983,5.454409122467041,29537,96.9634936881434,-5.482558250427246,0,0.0
6,0.6147161612436882,0.6,0.21404498927901444,2.2746763229370117,1.8636313081203402,56112,133.64506849691412,6.538436412811279,55597,133.03035271004964,-6.56052827835083,0,0.0
7,0.6553212634930219,0.7,0.25866072425741893,2.539673328399658,2.9368903892407596,72901,152.33223234983635,7.545881748199463,72260,151.66104435760923,-7.57719612121582,0,0.0
8,0.796225505028314,0.7999999999999999,0.4575148148530673,2.941805839538574,2.521693701200591,91206,170.38712239860973,8.907974243164062,90824,170.0299300204426,-8.928054809570312,0,0.0
9,0.8484812865178171,0.8999999999999999,0.5492214521002324,3.258270025253296,2.400565926867024,103079,181.13824763958317,9.821745872497559,102790,180.88414303313556,-9.83813190460205,0,0.0
10,0.9987371341442923,0.9999999999999999,0.8192240402693244,3.785017251968384,2.244889926551162,119395,194.94770801656963,11.088069915771484,119128,194.72960771619353,-11.103943824768066,0,0.0
11,1.037069159316939,1.0999999999999999,0.9264502915619772,4.202671527862549,2.396387242970394,131489,204.58310933315207,11.917693138122559,131193,204.3527070975818,-11.935087203979492,0,0.0
12,1.2024069500911878,1.2,1.3221382613141457,4.845149993896484,1.9766788054534457,147311,216.54225371418943,13.037501335144043,147160,216.43124277887108,-13.046948432922363,260,9.09728368293446
13,1.237781944240794,1.3,1.4760445593318594,5.4642791748046875,2.162263399935014,161431,226.68278107640975,13.94919490814209,161218,226.53318350912383,-13.962470054626465,276,9.373021315815206
14,1.3816370128473956,1.4000000000000001,1.8953404120894988,6.263901710510254,2.355424023112667,175945,236.65382507917985,15.098637580871582,175826,236.57378140476848,-15.106195449829102,372,10.881694613449236
15,1.426110917374256,1.5000000000000002,2.081338498749221,6.954145908355713,2.367380723977777,189325,245.48730965519619,15.875321388244629,188957,245.2486109310928,-15.898286819458008,996,17.805522925178455
16,1.587100008351623,1.6000000000000003,2.5709882338460774,7.952377796173096,2.405388444374193,204951,255.4171675578094,17.041690826416016,204735,255.28253866615788,-17.055517196655273,7599,49.181671638026145
17,1.6146448659727355,1.7000000000000004,2.7417215050497985,8.684317588806152,2.4911992478237064,216615,262.5846453921132,17.76555824279785,216498,262.51372104904976,-17.773000717163086,16713,72.93773459458207
18,1.786322781711121,1.8000000000000005,3.4067577474385784,9.864362716674805,2.143470085646508,233664,272.7224986048076,18.854536056518555,233512,272.6337802667698,-18.864208221435547,63251,141.89227819374437
