t,x,y,z,rx,ry,rz
1788791874.673209,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791874.693421,37.8845,362.8392,42.9141,178.5438,0.7499,-123.6629
1788791874.713502,37.882,362.8427,42.9151,178.5433,0.75,-123.6625
1788791874.733653,37.8833,362.843,42.9164,178.5432,0.7502,-123.6629
1788791874.753885,37.8825,362.8427,42.9168,178.5435,0.7502,-123.6625
1788791874.773962,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791874.794070,37.8841,362.8413,42.9159,178.5435,0.7502,-123.6627
1788791874.814224,37.8836,362.8412,42.9159,178.5433,0.75,-123.6631
1788791874.837257,37.8832,362.8392,42.9158,178.5438,0.7499,-123.6627
1788791874.857431,37.8822,362.8415,42.9142,178.5433,0.75,-123.6627
1788791874.877576,37.8822,362.8419,42.9156,178.5432,0.7502,-123.6627
1788791874.897721,37.8823,362.841,42.9146,178.5435,0.7499,-123.6625
1788791874.917835,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791874.957979,37.8818,362.8408,42.9163,178.5433,0.7497,-123.6627
1788791874.978153,37.8823,362.841,42.9146,178.5435,0.7499,-123.6627
1788791874.998338,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791875.018502,37.8823,362.8409,42.9163,178.5435,0.7499,-123.6627
1788791875.038583,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6627
1788791875.058787,37.8834,362.8426,42.9151,178.5433,0.75,-123.6629
1788791875.078831,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6627
1788791875.098912,37.8836,362.8412,42.9159,178.5433,0.75,-123.6627
1788791875.118983,37.8822,362.8419,42.9156,178.5432,0.7502,-123.6627
1788791875.139174,37.8818,362.8408,42.9163,178.5433,0.7497,-123.6624
1788791875.159305,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791875.179467,37.8823,362.841,42.9146,178.5435,0.7499,-123.6627
1788791875.199601,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791875.219676,37.8823,362.841,42.9146,178.5435,0.7499,-123.6625
1788791875.239707,37.8831,362.8412,42.9159,178.5432,0.7499,-123.6629
1788791875.259787,37.8817,362.8413,42.9159,178.5432,0.7499,-123.6629
1788791875.279866,37.8823,362.8409,42.9163,178.5435,0.7499,-123.6627
1788791875.300028,37.8819,362.8431,42.9164,178.5432,0.7502,-123.6629
1788791875.320212,37.8828,362.8415,42.9159,178.5435,0.7502,-123.6627
1788791875.340371,37.8834,362.8394,42.9155,178.5433,0.7497,-123.6629
1788791875.360535,37.8825,362.8401,42.9151,178.5433,0.75,-123.6625
1788791875.380667,37.8836,362.8412,42.9159,178.5433,0.75,-123.6627
1788791875.421081,37.8818,362.8409,42.9146,178.5433,0.7497,-123.6624
1788791875.441242,37.8817,362.8413,42.9159,178.5432,0.7499,-123.6625
1788791875.461442,37.8826,362.8396,42.9155,178.5435,0.7499,-123.6625
1788791875.481594,37.8823,362.8409,42.9163,178.5435,0.7499,-123.6627
1788791875.501794,37.8816,362.8418,42.9156,178.543,0.75,-123.6625
1788791875.521873,37.8833,362.843,42.9164,178.5432,0.7502,-123.6629
1788791875.542070,37.8823,362.8409,42.9163,178.5435,0.7499,-123.6625
1788791875.562214,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6627
1788791875.582355,37.8829,362.8425,42.9151,178.5432,0.7499,-123.6629
1788791875.602520,37.8823,362.841,42.9146,178.5435,0.7499,-123.6627
1788791875.622652,37.8829,362.8424,42.9168,178.5432,0.7499,-123.6629
1788791875.642847,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791875.663021,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791875.683245,37.8831,362.8412,42.9159,178.5432,0.7499,-123.6629
1788791875.703378,37.8817,362.8413,42.9159,178.5432,0.7499,-123.6627
1788791875.723512,37.8854,362.839,42.9141,178.5436,0.7497,-123.6631
1788791875.743707,37.8822,362.8415,42.9142,178.5433,0.75,-123.6627
1788791875.763776,37.8829,362.8425,42.9151,178.5432,0.7499,-123.6629
1788791875.783835,37.8838,362.8403,42.915,178.5436,0.7497,-123.6629
1788791875.803893,37.8806,362.8433,42.9164,178.5432,0.7502,-123.6625
1788791875.823966,37.8821,362.839,42.9158,178.5435,0.7496,-123.6624
1788791875.844025,37.8833,362.8402,42.915,178.5435,0.7496,-123.6627
1788791875.864096,37.8817,362.8413,42.9159,178.5432,0.7499,-123.6627
1788791875.884166,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791875.904246,37.8823,362.8409,42.9163,178.5435,0.7499,-123.6627
1788791875.924321,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791875.944390,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791875.964451,37.8842,362.8409,42.9146,178.5436,0.75,-123.6629
1788791875.984592,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791876.004741,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791876.024838,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791876.045027,37.8823,362.8414,42.9159,178.5433,0.75,-123.6629
1788791876.065197,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791876.085372,37.8833,362.8403,42.9133,178.5435,0.7496,-123.6629
1788791876.105549,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791876.125715,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791876.186285,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791876.206443,37.8824,362.8405,42.915,178.5436,0.7497,-123.6627
1788791876.226604,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791876.246735,37.8823,362.841,42.9146,178.5435,0.7499,-123.6625
1788791876.266931,37.884,362.8391,42.9141,178.5436,0.7497,-123.6627
1788791876.287101,37.8829,362.841,42.9163,178.5436,0.75,-123.6627
1788791876.307283,37.882,362.8396,42.9155,178.5433,0.7497,-123.6624
1788791876.327469,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791876.347706,37.8819,362.8437,42.916,178.543,0.7503,-123.6627
1788791876.367897,37.8844,362.8396,42.9155,178.5436,0.75,-123.6629
1788791876.388055,37.8818,362.8409,42.9146,178.5433,0.7497,-123.6624
1788791876.408186,37.8841,362.8413,42.9159,178.5435,0.7502,-123.6629
1788791876.428362,37.8823,362.841,42.9146,178.5435,0.7499,-123.6627
1788791876.448542,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791876.468647,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791876.488737,37.8836,362.8411,42.9176,178.5433,0.75,-123.6627
1788791876.508846,37.8829,362.8425,42.9151,178.5432,0.7499,-123.6629
1788791876.528932,37.8826,362.8392,42.9141,178.5436,0.7497,-123.6627
1788791876.549010,37.8839,362.8395,42.9155,178.5435,0.7499,-123.6629
1788791876.569208,37.8837,362.8407,42.9163,178.5435,0.7499,-123.6629
1788791876.589428,37.8814,362.8432,42.9147,178.543,0.75,-123.6627
1788791876.609608,37.8835,362.8418,42.9156,178.5432,0.7502,-123.6627
1788791876.629831,37.8822,362.8415,42.9142,178.5433,0.75,-123.6627
1788791876.650006,37.8812,362.8412,42.9159,178.543,0.7497,-123.6624
1788791876.670166,37.8831,362.8412,42.9159,178.5432,0.7499,-123.6627
1788791876.690350,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791876.710518,37.8827,362.8433,42.9177,178.5429,0.7502,-123.6629
1788791876.730685,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791876.771009,37.8823,362.841,42.9146,178.5435,0.7499,-123.6627
1788791876.791081,37.8823,362.8409,42.9163,178.5435,0.7499,-123.6627
1788791876.811145,37.884,362.8391,42.9141,178.5436,0.7497,-123.6627
1788791876.831306,37.8839,362.8395,42.9155,178.5435,0.7499,-123.6629
1788791876.851503,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791876.871661,37.8826,362.8397,42.9155,178.5435,0.7499,-123.6627
1788791876.891845,37.8822,362.8418,42.9173,178.5432,0.7502,-123.6627
1788791876.912037,37.8841,362.8386,42.9145,178.5438,0.7495,-123.6629
1788791876.932208,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791876.952361,37.8845,362.8392,42.9141,178.5438,0.7499,-123.6629
1788791876.972526,37.8825,362.8432,42.9164,178.5433,0.7503,-123.6627
1788791876.992712,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791877.012903,37.8826,362.8392,42.9141,178.5436,0.7497,-123.6627
1788791877.033109,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791877.053887,37.8825,362.8398,42.9138,178.5435,0.7499,-123.6627
1788791877.074062,37.8828,362.8415,42.9159,178.5435,0.7502,-123.6627
1788791877.094225,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791877.134541,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791877.154696,37.8834,362.8426,42.9151,178.5433,0.75,-123.6627
1788791877.174891,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6627
1788791877.195042,37.8827,362.8419,42.9173,178.5434,0.7503,-123.6625
1788791877.215220,37.8836,362.8412,42.9159,178.5433,0.75,-123.6627
1788791877.235463,37.8823,362.841,42.9146,178.5435,0.7499,-123.6625
1788791877.255625,37.8819,362.8435,42.9177,178.543,0.7503,-123.6627
1788791877.275825,37.8842,362.8409,42.9146,178.5436,0.75,-123.6627
1788791877.295983,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791877.336295,37.8826,362.8397,42.9155,178.5435,0.7499,-123.6627
1788791877.356454,37.8858,362.8394,42.9155,178.5436,0.75,-123.6631
1788791877.376621,37.8836,362.8412,42.9159,178.5433,0.75,-123.6631
1788791877.396832,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791877.416994,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791877.437158,37.8832,362.8406,42.9163,178.5433,0.7497,-123.6629
1788791877.457230,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791877.477426,37.8837,362.8407,42.9163,178.5435,0.7499,-123.6629
1788791877.497590,37.8823,362.8414,42.9159,178.5433,0.75,-123.6625
1788791877.517727,37.8837,362.8409,42.9146,178.5435,0.7499,-123.6629
1788791877.537868,37.8817,362.8413,42.9159,178.5432,0.7499,-123.6627
1788791877.557938,37.8818,362.8409,42.9146,178.5433,0.7497,-123.6627
1788791877.578086,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791877.598246,37.8823,362.841,42.9146,178.5435,0.7499,-123.6627
1788791877.618407,37.8823,362.8409,42.9163,178.5435,0.7499,-123.6625
1788791877.638558,37.8821,362.8396,42.9155,178.5433,0.7497,-123.6627
1788791877.658792,37.8828,362.8415,42.9159,178.5435,0.7502,-123.6627
1788791877.678970,37.8822,362.8415,42.9142,178.5433,0.75,-123.6627
1788791877.699148,37.8835,362.8418,42.9156,178.5432,0.7502,-123.6629
1788791877.719296,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791877.739474,37.8831,362.8412,42.9159,178.5432,0.7499,-123.6627
1788791877.759623,37.8823,362.841,42.9146,178.5435,0.7499,-123.6625
1788791877.779833,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791877.800010,37.8833,362.843,42.9164,178.5432,0.7502,-123.6629
1788791877.820095,37.8823,362.841,42.9146,178.5435,0.7499,-123.6627
1788791877.840201,37.8823,362.8414,42.9159,178.5433,0.75,-123.6627
1788791877.860361,37.8816,362.8418,42.9156,178.543,0.75,-123.6625
1788791877.880509,37.8832,362.8408,42.9146,178.5433,0.7497,-123.6629
1788791877.900671,37.8834,362.8394,42.9155,178.5433,0.7497,-123.6629
1788791877.920881,37.8815,362.8427,42.9151,178.5432,0.7499,-123.6629
1788791877.940975,37.8836,362.8412,42.9159,178.5433,0.75,-123.6629
1788791877.961145,37.8823,362.8413,42.9176,178.5433,0.75,-123.6627
1788791877.981324,37.8835,362.8418,42.9156,178.5432,0.7502,-123.6631
1788791878.001478,37.8839,362.8395,42.9155,178.5435,0.7499,-123.6629
1788791878.021629,37.8828,362.8429,42.9164,178.543,0.75,-123.6629
1788791878.065234,37.8827,362.842,42.9156,178.5433,0.7503,-123.6627
1788791878.085305,37.8824,362.8405,42.915,178.5436,0.7497,-123.6625
1788791878.105437,37.8832,362.8363,42.9128,178.5438,0.7495,-123.6627
1788791878.125597,37.8869,362.815,42.8335,178.5502,0.7428,-123.6626
