index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788794207.137391,1788794206.932691,normal_load,1,,2.0,-0.00022,0.0039,-0.01369,-1e-05,5e-05,-0.0,-0.00029,0.00376,-0.01412,-2e-05,6e-05,1e-05,-0.00205,0.00304,-0.01375,10,37.9177,362.8354,38.9927,178.1897,0.3099,-124.2138,0.0001,26.6807,-0.0407
2,000002.png,False,1788794207.549438,1788794207.344738,normal_load,1,,2.0,-0.00041,0.00282,-0.04022,-2e-05,1e-05,0.00014,-0.00049,0.00266,-0.04073,-3e-05,2e-05,0.00015,-0.00148,0.0016,-0.04026,11,37.9205,362.8269,38.9553,178.1895,0.3101,-124.2138,0.0078,26.6431,-0.0031
3,000003.png,False,1788794207.757460,1788794207.552760,normal_load,1,,2.0,-9e-05,0.00282,-0.06351,-6e-05,-3e-05,0.00016,-0.00018,0.00265,-0.06406,-7e-05,-2e-05,0.00018,-0.00105,0.00138,-0.06354,10,37.9219,362.8257,38.9348,178.1892,0.3104,-124.214,0.0058,26.6225,0.0175
4,000004.png,False,1788794208.373488,1788794208.168788,normal_load,1,,2.0,0.00081,0.00598,-0.13225,-2e-05,-5e-05,7e-05,0.0007,0.00577,-0.13294,-4e-05,-4e-05,9e-05,-0.00137,0.00347,-0.13233,11,37.9215,362.823,38.8688,178.1895,0.3101,-124.2138,0.0065,26.5566,0.0834
5,000005.png,False,1788794208.581500,1788794208.376800,normal_load,1,,2.0,0.00094,0.00659,-0.17304,-6e-05,-7e-05,5e-05,0.00082,0.00636,-0.17377,-7e-05,-6e-05,7e-05,-0.00127,0.0034,-0.17313,10,37.9217,362.8261,38.8278,178.1888,0.3105,-124.214,0.0069,26.5156,0.1244
6,000006.png,False,1788794208.789508,1788794208.584808,normal_load,1,,2.0,0.00064,0.01037,-0.20707,-0.00017,-8e-05,-1e-05,0.00052,0.01013,-0.20785,-0.00018,-7e-05,1e-05,-0.00319,0.00599,-0.20722,11,37.9222,362.8252,38.8006,178.1894,0.3102,-124.214,0.0003,26.4884,0.1516
7,000007.png,False,1788794208.993515,1788794208.788815,normal_load,1,,2.0,0.00257,0.01385,-0.24263,-0.00024,-0.00011,-2e-05,0.00243,0.0136,-0.24346,-0.00026,-0.0001,0.0,-0.00302,0.00939,-0.24284,11,37.9214,362.8291,38.7706,178.1888,0.3109,-124.214,0.0027,26.4584,0.1816
8,000008.png,False,1788794209.201569,1788794208.996869,normal_load,1,,2.0,0.00103,0.01356,-0.27505,-0.00023,-0.00014,2e-05,0.00089,0.01329,-0.27592,-0.00025,-0.00013,4e-05,-0.00397,0.00785,-0.27524,10,37.9202,362.8284,38.7654,178.1891,0.3105,-124.2138,0.0025,26.4532,0.1868
9,000009.png,False,1788794209.405560,1788794209.200860,normal_load,1,,2.0,0.0021,0.01751,-0.30276,-0.00033,-0.0001,5e-05,0.00195,0.01723,-0.30367,-0.00036,-8e-05,7e-05,-0.00483,0.01137,-0.30302,10,37.9198,362.8332,38.7481,178.1874,0.3123,-124.2138,0.0054,26.436,0.204
10,000010.png,False,1788794209.613590,1788794209.408890,normal_load,1,,2.0,0.00011,0.0166,-0.33633,-0.00022,-0.00013,0.0,-5e-05,0.0163,-0.33728,-0.00024,-0.00011,3e-05,-0.00587,0.00904,-0.33656,11,37.9206,362.8311,38.7243,178.1886,0.3113,-124.2138,0.008,26.4122,0.2278
11,000011.png,False,1788794209.821560,1788794209.616860,normal_load,1,,2.0,0.00103,0.01665,-0.3843,-0.00023,-0.0002,8e-05,0.00087,0.01634,-0.3853,-0.00025,-0.00018,0.0001,-0.00476,0.00878,-0.38454,10,37.9215,362.829,38.7076,178.1886,0.311,-124.214,0.001,26.3955,0.2445
12,000012.png,False,1788794210.025573,1788794209.820873,normal_load,1,,2.0,-0.00039,0.01789,-0.40669,-0.00027,-0.00025,3e-05,-0.00056,0.01756,-0.40774,-0.0003,-0.00023,6e-05,-0.00646,0.00878,-0.40694,10,37.921,362.8312,38.6909,178.1882,0.3115,-124.214,0.0017,26.3789,0.2611
13,000013.png,False,1788794210.233589,1788794210.028889,normal_load,1,,2.0,0.00065,0.01822,-0.43211,-0.0003,-0.00028,-9e-05,0.00047,0.01788,-0.43319,-0.00033,-0.00026,-6e-05,-0.00554,0.00918,-0.43236,10,37.9206,362.8309,38.6744,178.1882,0.3115,-124.2143,0.0086,26.3623,0.2777
14,000014.png,False,1788794210.437649,1788794210.232949,normal_load,1,,2.0,0.00108,0.02046,-0.50899,-0.00024,-0.00027,0.00022,0.0009,0.02011,-0.51012,-0.00027,-0.00025,0.00025,-0.00576,0.01011,-0.50927,10,37.9203,362.8319,38.6505,178.188,0.3116,-124.2136,0.0091,26.3384,0.3016
15,000015.png,False,1788794210.645621,1788794210.440921,normal_load,1,,2.0,0.00011,0.01948,-0.55003,-0.00024,-0.00031,0.00024,-8e-05,0.01912,-0.5512,-0.00026,-0.00029,0.00027,-0.00582,0.00812,-0.55028,10,37.9213,362.8289,38.6403,178.1886,0.311,-124.2143,0.0026,26.3282,0.3118
16,000016.png,False,1788794211.057658,1788794210.852958,normal_load,1,,2.0,-0.00102,0.02061,-0.57974,-0.00019,-0.00027,0.0001,-0.00123,0.02021,-0.581,-0.00022,-0.00025,0.00013,-0.00716,0.00805,-0.58001,10,37.9206,362.8277,38.6159,178.1883,0.3113,-124.214,0.0063,26.3038,0.3362
17,000017.png,False,1788794211.265692,1788794211.060992,normal_load,1,,2.0,-5e-05,0.02239,-0.61167,-0.00026,-0.00035,9e-05,-0.00026,0.02199,-0.61298,-0.00029,-0.00033,0.00012,-0.00699,0.00957,-0.61197,10,37.9211,362.8313,38.5975,178.1877,0.3119,-124.214,0.007,26.2854,0.3546
18,000018.png,False,1788794211.469711,1788794211.265011,normal_load,1,,2.0,-0.00103,0.02203,-0.64723,-0.00028,-0.00036,0.00013,-0.00125,0.02161,-0.64858,-0.00031,-0.00034,0.00016,-0.00741,0.0082,-0.64751,11,37.9221,362.8278,38.5856,178.1889,0.311,-124.214,0.0041,26.2735,0.3665
19,000019.png,False,1788794211.677680,1788794211.472980,normal_load,1,,2.0,0.00055,0.02506,-0.6765,-0.00033,-0.00037,5e-05,0.00032,0.02462,-0.67789,-0.00036,-0.00035,8e-05,-0.00736,0.01114,-0.67683,10,37.921,362.8312,38.5696,178.188,0.3116,-124.214,0.0027,26.2576,0.3824
20,000020.png,False,1788794211.885689,1788794211.680989,normal_load,1,,2.0,0.00077,0.02747,-0.70957,-0.00033,-0.00035,3e-05,0.00054,0.02702,-0.71102,-0.00037,-0.00033,6e-05,-0.00814,0.01281,-0.70994,10,37.9196,362.8346,38.5535,178.1874,0.3123,-124.214,0.0097,26.2415,0.3985
21,000021.png,False,1788794212.297724,1788794212.093024,normal_load,1,,2.0,0.00021,0.02979,-0.79548,-0.00041,-0.00047,3e-05,-4e-05,0.02931,-0.797,-0.00045,-0.00045,7e-05,-0.00919,0.01316,-0.79587,10,37.9205,362.8298,38.5185,178.1888,0.3112,-124.2136,0.0013,26.2065,0.4335
22,000022.png,False,1788794212.709757,1788794212.505057,normal_load,1,,2.0,0.00022,0.032,-0.84434,-0.00046,-0.00046,5e-05,-4e-05,0.03149,-0.84596,-0.0005,-0.00043,9e-05,-0.00994,0.01429,-0.84477,11,37.9201,362.8346,38.4994,178.1879,0.3115,-124.2142,0.0044,26.1874,0.4526
23,000023.png,False,1788794212.917739,1788794212.713039,normal_load,1,,2.0,0.00126,0.03779,-0.85729,-0.00058,-0.00045,-0.00014,0.00099,0.03727,-0.85895,-0.00062,-0.00043,-0.0001,-0.01184,0.01963,-0.85781,10,37.9199,362.837,38.4876,178.1873,0.3124,-124.214,0.0091,26.1756,0.4644
24,000024.png,False,1788794213.329767,1788794213.125067,normal_load,1,,2.0,0.00059,0.03545,-0.91365,-0.00052,-0.00052,-0.00037,0.00031,0.0349,-0.9154,-0.00056,-0.00049,-0.00033,-0.01086,0.01636,-0.91413,11,37.9213,362.8331,38.4551,178.1883,0.3116,-124.2143,0.0004,26.1431,0.4969
25,000025.png,False,1788794213.537735,1788794213.333035,normal_load,1,,2.0,0.00203,0.03706,-0.9603,-0.00051,-0.00057,-0.00031,0.00174,0.0365,-0.96209,-0.00056,-0.00054,-0.00027,-0.0101,0.01773,-0.9608,10,37.9194,362.8332,38.4387,178.1882,0.3115,-124.214,0.0069,26.1267,0.5133
26,000026.png,False,1788794213.741801,1788794213.537101,normal_load,1,,2.0,5e-05,0.03566,-0.99538,-0.00045,-0.00058,-0.00036,-0.00025,0.03509,-0.99722,-0.0005,-0.00055,-0.00032,-0.01087,0.01496,-0.99585,10,37.9202,362.8324,38.4245,178.1882,0.3115,-124.2136,0.0097,26.1125,0.5275
27,000027.png,False,1788794214.153749,1788794213.949049,normal_load,1,,2.0,0.00014,0.03977,-1.08285,-0.00052,-0.00059,-0.00023,-0.00017,0.03917,-1.08477,-0.00057,-0.00056,-0.00019,-0.01224,0.01717,-1.08337,11,37.9188,362.8347,38.4029,178.1876,0.3118,-124.2143,0.0043,26.0909,0.5491
28,000028.png,False,1788794214.361862,1788794214.157162,normal_load,1,,2.0,-0.00251,0.03016,-1.11327,-0.00025,-0.00073,-0.00026,-0.00283,0.02955,-1.11524,-0.0003,-0.0007,-0.00022,-0.00952,0.00704,-1.11362,10,37.9208,362.8263,38.386,178.1888,0.3108,-124.2142,0.0024,26.0739,0.5661
29,000029.png,False,1788794214.569914,1788794214.365214,normal_load,1,,2.0,-0.00277,0.03244,-1.1695,-0.00031,-0.00077,-0.00012,-0.0031,0.03181,-1.17152,-0.00036,-0.00074,-8e-05,-0.0105,0.00798,-1.16988,11,37.9217,362.828,38.3708,178.1882,0.3115,-124.2143,0.0087,26.0587,0.5813
30,000030.png,False,1788794214.773888,1788794214.569188,normal_load,1,,2.0,-0.00308,0.03377,-1.2263,-0.00032,-0.00079,6e-05,-0.00342,0.03313,-1.22836,-0.00037,-0.00076,0.0001,-0.01104,0.00806,-1.22669,10,37.9224,362.827,38.3589,178.1892,0.3107,-124.214,0.0088,26.0468,0.5932
31,000031.png,False,1788794214.981865,1788794214.777165,normal_load,1,,2.0,0.00043,0.04524,-1.24968,-0.00062,-0.00074,-8e-05,8e-05,0.04458,-1.25178,-0.00067,-0.00071,-4e-05,-0.01357,0.01937,-1.25028,10,37.9206,362.8344,38.3489,178.1868,0.3129,-124.2143,0.002,26.0369,0.6031
32,000032.png,False,1788794215.185836,1788794214.981136,normal_load,1,,2.0,0.00198,0.04605,-1.27715,-0.00062,-0.00073,-0.00011,0.00163,0.04538,-1.27929,-0.00068,-0.00069,-6e-05,-0.01244,0.02041,-1.27775,10,37.9209,362.8322,38.3357,178.1877,0.3119,-124.2143,0.0008,26.0236,0.6164
33,000033.png,False,1788794215.393913,1788794215.189213,normal_load,1,,2.0,0.00085,0.04765,-1.34227,-0.00061,-0.00084,-6e-05,0.0005,0.04697,-1.34446,-0.00066,-0.0008,-1e-05,-0.01376,0.02019,-1.34289,10,37.9209,362.8323,38.3076,178.1883,0.3113,-124.214,0.0077,25.9956,0.6444
34,000034.png,False,1788794215.601896,1788794215.397196,normal_load,1,,2.0,1e-05,0.04632,-1.41902,-0.00052,-0.00088,-0.0001,-0.00035,0.04562,-1.42125,-0.00057,-0.00084,-6e-05,-0.01329,0.01739,-1.41961,10,37.921,362.8318,38.2918,178.1888,0.3108,-124.2142,0.0059,25.9798,0.6602
