t,Fx,Fy,Fz,Tx,Ty,Tz
1788794205.149333,-0.00048,-0.00024,-0.01292,0.00013,5e-05,7e-05
1788794205.168974,0.00281,-0.00038,-0.03795,0.00013,2e-05,0.00023
1788794205.189436,-0.00135,0.00266,-0.01515,0.00012,0.00011,9e-05
1788794205.208716,-0.00461,-0.00451,-0.00418,-0.0001,-7e-05,3e-05
1788794205.229093,0.00181,0.0002,-0.00011,-0.0001,4e-05,3e-05
1788794205.249437,0.00349,0.00437,-0.02161,0.0,8e-05,0.00023
1788794205.268867,0.00014,-0.0007,-0.01484,1e-05,4e-05,7e-05
1788794205.289428,-0.00113,0.00013,-0.02355,0.00014,4e-05,0.00014
1788794205.309231,0.0004,-0.00534,-0.03543,0.00014,9e-05,0.00016
1788794205.328837,0.00011,0.00481,-0.02125,6e-05,5e-05,0.00014
1788794205.349217,0.00058,0.00312,-0.0364,-6e-05,-3e-05,0.00039
1788794205.369519,-0.00011,-0.00256,-0.00504,-0.00026,-0.00018,0.00015
1788794205.388832,-0.00012,-0.00134,-0.01731,0.00014,-9e-05,0.00015
1788794205.409170,0.00313,0.0002,-0.00178,-0.00026,-0.00027,0.0001
1788794205.429547,-0.00107,0.00481,-0.00833,-7e-05,-0.0,0.00012
1788794205.448816,-0.00026,0.00047,-0.01444,3e-05,8e-05,0.00018
1788794205.469185,0.00133,-7e-05,-0.00545,-0.00016,-0.00012,0.00013
1788794205.489548,0.00153,0.00295,-0.00807,-1e-05,0.00011,0.00014
1788794205.508864,0.0011,0.00462,-0.01541,-3e-05,-5e-05,0.00013
1788794205.529476,0.00166,0.0038,0.00687,-0.00026,-0.00013,1e-05
1788794205.549212,-0.00313,0.00231,-0.015,3e-05,3e-05,0.00017
1788794205.568661,-0.00193,0.00039,-0.003,1e-05,0.0,4e-05
1788794205.589033,0.0006,0.00157,0.00051,-0.00011,-7e-05,0.00013
1788794205.609420,0.00626,-0.00165,0.00389,6e-05,-0.0001,-0.00016
1788794205.629544,-0.00319,-0.00112,0.01,-3e-05,-7e-05,-0.00014
1788794205.649042,-0.00099,0.00277,-0.00078,-0.00011,-2e-05,5e-05
1788794205.668999,0.00097,-0.00173,-0.00755,-0.0002,-5e-05,0.00012
1788794205.688936,-0.00082,0.00558,-0.00655,0.00015,0.00016,-1e-05
1788794205.709382,-0.00173,-0.0002,-0.01807,0.00014,7e-05,0.0001
1788794205.728707,-0.00048,-0.00238,-0.00736,6e-05,-1e-05,-0.0
1788794205.749044,0.00296,0.00098,0.0136,-0.0001,-0.00015,-1e-05
1788794205.769368,0.00192,0.00348,-0.00163,-0.0001,-7e-05,-3e-05
1788794205.788762,0.00136,0.0004,-0.01794,-7e-05,-0.00014,0.00017
1788794205.808582,0.00226,-0.00113,0.00469,-0.00017,-5e-05,-0.0
1788794205.829019,0.00228,0.00334,-0.02504,0.00014,4e-05,0.0001
1788794205.849604,0.00392,-0.00255,0.00022,-1e-05,-5e-05,-0.00014
1788794205.869287,-0.00252,0.00023,-0.02449,9e-05,3e-05,0.00016
1788794205.888909,0.00104,0.00313,-0.02744,2e-05,3e-05,0.00034
1788794205.909049,-0.00095,0.00427,-0.00325,8e-05,0.00014,0.0
1788794205.929054,-0.001,0.00631,0.00155,-3e-05,1e-05,-3e-05
1788794205.949461,0.00071,0.00452,0.00148,2e-05,-1e-05,-2e-05
1788794205.968755,-0.00265,0.00472,0.01812,-0.00017,0.0001,-2e-05
1788794205.989103,-0.00334,-0.00098,0.01475,-4e-05,-4e-05,-0.0002
1788794206.009477,0.00148,-0.00087,0.00591,-0.00011,-9e-05,-3e-05
1788794206.028733,0.00143,0.00132,0.00044,-0.00018,-9e-05,7e-05
1788794206.049129,0.00208,-0.00013,-0.01885,-4e-05,0.0002,0.00013
1788794206.069503,-0.00334,0.00187,-0.01504,6e-05,0.00017,0.00015
1788794206.088798,-0.00177,0.00247,-0.02128,-7e-05,-1e-05,0.0002
1788794206.109176,-0.00348,-0.00174,-0.04027,0.00011,0.00017,0.00034
1788794206.129579,0.00101,-0.00083,-0.0292,-0.00011,-0.00013,0.00019
1788794206.148948,-0.00217,0.0014,-0.02255,-8e-05,0.00013,0.00033
1788794206.169628,-0.00305,0.00132,-0.02728,0.00017,0.00022,0.00013
1788794206.189298,0.00195,0.00069,-0.0213,-0.00012,-9e-05,0.00025
1788794206.208662,0.00148,-0.0004,-0.0477,7e-05,-3e-05,0.0004
