index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788785501.279895,1788785501.075195,normal_load,1,,0.14583141771073543,0.02543,0.01136,-0.024,-0.0003,-0.00032,0.00018,0.01957,0.00769,-0.03093,-0.0003,-0.00031,5e-05,0.01651,0.02216,-0.02424,11,37.9149,362.7974,38.0135,179.1089,-0.3977,-123.1765,0.0001,25.701,-0.019
2,000002.png,False,1788785501.483809,1788785501.279109,normal_load,1,,0.14583141771073543,0.02507,0.01264,-0.04916,-0.00031,-0.00037,0.00028,0.01915,0.00893,-0.05617,-0.00031,-0.00036,0.00015,0.01574,0.02269,-0.04942,10,37.9161,362.7868,38.0074,179.1096,-0.3988,-123.1765,0.0026,25.6948,-0.0128
3,000003.png,False,1788785501.691921,1788785501.487221,normal_load,1,,0.14583141771073543,0.02535,0.01067,-0.06643,-0.00024,-0.00028,0.0002,0.01936,0.00691,-0.07351,-0.00024,-0.00027,7e-05,0.01709,0.02084,-0.06665,10,37.9284,362.7818,37.9456,179.1111,-0.4001,-123.1798,0.0012,25.6328,0.0492
4,000004.png,False,1788785502.927934,1788785502.723234,normal_load,1,,0.20948686824950186,0.02773,0.01077,-0.10597,-0.00023,-0.0003,0.00022,0.02135,0.00677,-0.11351,-0.00023,-0.00029,8e-05,0.01937,0.02148,-0.10619,10,37.9248,362.7964,37.9239,179.1084,-0.3975,-123.1813,0.0078,25.6113,0.0707
5,000005.png,False,1788785503.343934,1788785503.139234,normal_load,1,,0.26410532712282586,0.03077,0.01877,-0.16827,-0.0004,-0.00034,0.00042,0.02427,0.01469,-0.17597,-0.0004,-0.00033,0.00028,0.01844,0.02894,-0.16863,10,37.9235,362.8027,37.8773,179.1059,-0.3946,-123.1824,0.0031,25.5649,0.1171
6,000006.png,False,1788785503.547956,1788785503.343256,normal_load,1,,0.26410532712282586,0.02574,0.00418,-0.21418,-0.0,-0.00051,0.00049,0.01917,6e-05,-0.22195,-1e-05,-0.0005,0.00034,0.02169,0.01305,-0.21427,10,37.9265,362.7822,37.8317,179.1083,-0.3974,-123.1828,0.0005,25.5189,0.1631
7,000007.png,False,1788785503.755950,1788785503.551250,normal_load,1,,0.26410532712282586,0.02659,0.00931,-0.22188,-0.0002,-0.00044,0.00041,0.01995,0.00515,-0.22973,-0.00021,-0.00042,0.00026,0.01992,0.0178,-0.22206,10,37.9249,362.7841,37.8266,179.1081,-0.3973,-123.1828,0.0061,25.5139,0.1681
8,000008.png,False,1788785504.375951,1788785504.171251,normal_load,1,,0.3136612769877701,0.02951,0.01904,-0.22694,-0.00033,-0.00038,0.00043,0.02268,0.01476,-0.23502,-0.00033,-0.00037,0.00028,0.01762,0.0276,-0.2273,10,37.9217,362.7946,37.8234,179.1056,-0.3946,-123.1835,0.0007,25.5109,0.1711
9,000009.png,False,1788785505.407967,1788785505.203267,normal_load,1,,0.3842381572692204,0.02727,0.02254,-0.26279,-0.00034,-0.00042,0.0003,0.02011,0.01806,-0.27125,-0.00035,-0.0004,0.00014,0.01418,0.02893,-0.26319,10,37.9199,362.7968,37.7841,179.1038,-0.3927,-123.1848,0.0038,25.4716,0.2104
10,000010.png,False,1788785505.819879,1788785505.615179,normal_load,1,,0.43902752168346526,0.02233,0.00537,-0.34209,-0.0,-0.00068,0.00042,0.01504,0.0008,-0.3507,-0.0,-0.00067,0.00026,0.01903,0.01032,-0.34217,11,37.9226,362.7737,37.7323,179.108,-0.3972,-123.1857,0.0099,25.4194,0.2626
11,000011.png,False,1788785506.023962,1788785505.819262,normal_load,1,,0.43902752168346526,0.03111,0.03477,-0.38246,-0.00062,-0.00044,0.00029,0.02377,0.03017,-0.39115,-0.00063,-0.00043,0.00013,0.01223,0.03953,-0.38307,10,37.9142,362.8164,37.6881,179.1052,-0.3938,-123.1859,0.008,25.376,0.306
12,000012.png,False,1788785506.644017,1788785506.439317,normal_load,1,,0.4860028850533127,0.02906,0.02853,-0.41043,-0.00049,-0.00056,0.0004,0.02152,0.0238,-0.41935,-0.00049,-0.00055,0.00023,0.01376,0.03265,-0.41092,10,37.9154,362.7993,37.6827,179.1064,-0.3951,-123.1861,0.0069,25.3703,0.3117
13,000013.png,False,1788785506.851999,1788785506.647299,normal_load,1,,0.4860028850533127,0.01837,0.00538,-0.42038,0.0001,-0.00077,0.0004,0.01077,0.00061,-0.42938,0.0001,-0.00076,0.00023,0.01614,0.0071,-0.42044,10,37.9195,362.7743,37.6773,179.1082,-0.3976,-123.1863,0.0078,25.3645,0.3175
14,000014.png,False,1788785507.055993,1788785506.851293,normal_load,1,,0.5636794818189401,0.01916,0.00709,-0.46285,0.0001,-0.00081,0.00053,0.01149,0.00228,-0.47192,0.0001,-0.00079,0.00036,0.01626,0.0083,-0.46294,10,37.9191,362.7734,37.6507,179.11,-0.3989,-123.1866,0.0095,25.3379,0.3441
15,000015.png,False,1788785507.264004,1788785507.059304,normal_load,1,,0.5636794818189401,0.02042,0.0107,-0.47094,-2e-05,-0.00084,0.00042,0.01269,0.00585,-0.48009,-3e-05,-0.00082,0.00025,0.01561,0.01192,-0.47109,10,37.9172,362.776,37.6506,179.11,-0.3992,-123.1859,0.0044,25.3378,0.3442
16,000016.png,False,1788785507.471986,1788785507.267286,normal_load,1,,0.5636794818189401,0.02496,0.02269,-0.52668,-0.00031,-0.00083,0.00047,0.01716,0.0178,-0.53591,-0.00032,-0.00082,0.0003,0.01393,0.02369,-0.52704,10,37.9123,362.7945,37.6047,179.1074,-0.3965,-123.1861,0.0019,25.2923,0.3897
17,000017.png,False,1788785507.675936,1788785507.471236,normal_load,1,,0.5636794818189401,0.02702,0.03058,-0.54737,-0.00054,-0.00077,0.00044,0.01915,0.02566,-0.55668,-0.00055,-0.00075,0.00026,0.01192,0.03122,-0.54787,10,37.9135,362.7952,37.6085,179.1074,-0.3965,-123.1861,0.0044,25.2961,0.3859
18,000018.png,False,1788785508.295926,1788785508.091226,normal_load,1,,0.6443394318539845,0.02714,0.02864,-0.53411,-0.00045,-0.00078,0.00042,0.01908,0.02359,-0.54364,-0.00045,-0.00077,0.00024,0.0129,0.02981,-0.53458,10,37.9124,362.7939,37.6096,179.1082,-0.3973,-123.1861,0.0002,25.2972,0.3848
19,000019.png,False,1788785508.504028,1788785508.299328,normal_load,1,,0.6443394318539845,0.01892,0.01111,-0.60791,0.00011,-0.00095,0.00043,0.01079,0.00602,-0.61752,0.0001,-0.00094,0.00025,0.01505,0.00934,-0.60805,10,37.9166,362.7694,37.553,179.1138,-0.4034,-123.1859,0.007,25.2401,0.4419
20,000020.png,False,1788785509.328056,1788785509.123356,normal_load,1,,0.7443661892222252,0.02828,0.03151,-0.63325,-0.00041,-0.00079,0.00045,0.0199,0.02626,-0.64317,-0.00041,-0.00078,0.00027,0.01314,0.03128,-0.63376,10,37.9139,362.7912,37.5569,179.1079,-0.397,-123.1863,0.0034,25.2444,0.4376
