t,x,y,z,rx,ry,rz
1788786653.261603,37.5344,363.652,93.3734,177.6027,-0.3499,-123.2797
1788786653.281827,37.533,363.6524,93.3717,177.6027,-0.3499,-123.2797
1788786653.302023,37.5344,363.652,93.3734,177.6027,-0.3499,-123.28
1788786653.322100,37.5339,363.6519,93.3735,177.6025,-0.35,-123.28
1788786653.342278,37.5344,363.6517,93.3721,177.6028,-0.35,-123.28
1788786653.362426,37.5329,363.6526,93.3731,177.6025,-0.3497,-123.2797
1788786653.382602,37.5344,363.652,93.3734,177.6027,-0.3499,-123.28
1788786653.428574,37.5344,363.652,93.3734,177.6027,-0.3499,-123.2802
1788786653.449694,37.5347,363.6503,93.3728,177.6028,-0.35,-123.28
1788786653.469836,37.5345,363.6511,93.3738,177.6025,-0.3497,-123.28
1788786653.489911,37.5341,363.6536,93.374,177.6025,-0.3497,-123.28
1788786653.509995,37.5338,363.6508,93.3741,177.6028,-0.3497,-123.2798
1788786653.530105,37.5345,363.6542,93.3736,177.6025,-0.3494,-123.2802
1788786653.550193,37.5352,363.6504,93.3728,177.603,-0.3499,-123.28
1788786653.570275,37.5348,363.6526,93.373,177.6027,-0.3496,-123.28
1788786653.590369,37.5345,363.6512,93.3725,177.603,-0.3502,-123.2797
1788786653.610451,37.5364,363.6514,93.3738,177.603,-0.3499,-123.2804
1788786653.630532,37.5346,363.6506,93.3711,177.6028,-0.35,-123.28
1788786653.650615,37.5343,363.6527,93.3744,177.6024,-0.3495,-123.28
1788786653.670753,37.533,363.6521,93.3734,177.6027,-0.3499,-123.2797
1788786653.690864,37.5344,363.652,93.3734,177.6027,-0.3499,-123.28
1788786653.710957,37.5347,363.6501,93.3715,177.603,-0.3502,-123.28
1788786653.731046,37.5333,363.6505,93.3728,177.6028,-0.35,-123.2797
1788786653.751133,37.5331,363.6519,93.3721,177.6028,-0.35,-123.2797
1788786653.771210,37.5333,363.6505,93.3728,177.6028,-0.35,-123.2797
1788786653.811597,37.5344,363.6517,93.3721,177.6028,-0.35,-123.28
1788786653.831837,37.5347,363.6503,93.3728,177.6028,-0.35,-123.28
1788786653.851916,37.5358,363.6516,93.3721,177.6028,-0.35,-123.2802
1788786653.871994,37.5344,363.652,93.3734,177.6027,-0.3499,-123.2797
1788786653.892193,37.5344,363.652,93.3734,177.6027,-0.3499,-123.28
