step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.10860876638559347,0.1,-0.023954876694816107,2.0663037300109863,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
2,0.16593256753510133,0.2,-0.011789917775018921,2.067054271697998,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
3,0.3852165207607925,0.30000000000000004,-0.014745633511148526,2.08211350440979,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
4,0.3549471121695582,0.4,0.026120673553015193,2.066795587539673,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
5,0.5604125664844837,0.5,0.1034601008263479,2.062333106994629,-0.15303658052672664,0,0.0,0.0,0,0.0,0.0,0,0.0
6,0.526126595968087,0.6,0.0620279180502763,2.0941531658172607,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
7,0.7514474485861946,0.7,0.25476676127076703,2.206568717956543,0.6828568395641224,0,0.0,0.0,0,0.0,0.0,0,0.0
8,0.7202373650822835,0.7999999999999999,0.2172070759799823,2.3580188751220703,0.9087688253382155,0,0.0,0.0,0,0.0,0.0,0,0.0
9,0.9417316148165611,0.8999999999999999,0.4231711326574583,2.645399332046509,1.7647758445867803,14101,66.99617679448308,8.743673324584961,14101,66.99617679448308,-8.743673324584961,0,0.0
10,0.9083109100005302,0.9999999999999999,0.409255812328621,2.9144415855407715,2.0416543947369465,27289,93.20063564198189,9.874109268188477,27289,93.20063564198189,-9.874109268188477,0,0.0
11,1.1085873928972951,1.0999999999999999,0.6691336479777391,3.3209972381591797,2.090677650614473,40910,114.11422980408217,11.10888957977295,40910,114.11422980408217,-11.10888957977295,0,0.0
12,1.0863471021763509,1.2,0.6557027646613932,3.6991543769836426,2.288509758436621,54521,131.73675760632054,11.734335899353027,54521,131.73675760632054,-11.734335899353027,0,0.0
13,1.2939354119051778,1.3,0.9992859856020203,4.344428539276123,2.4403190121094696,78532,158.10601500823884,12.84577751159668,78532,158.10601500823884,-12.84577751159668,0,0.0
14,1.288109082287093,1.4000000000000001,0.9835086883141969,4.88621711730957,2.6678629921804684,94911,173.81343333468146,13.849104881286621,94910,173.8125176668918,-13.849160194396973,0,0.0
15,1.4782449879286688,1.5000000000000002,1.323693378887819,5.727977275848389,3.2847698945966486,113925,190.42965573536165,15.57993221282959,113924,190.42881996589216,-15.57999038696289,270,9.27058084855655
16,1.4729234417378727,1.6000000000000003,1.325039917551274,6.5618977546691895,3.700005718016667,129960,203.3901492414159,17.118759155273438,129960,203.3901492414159,-17.118757247924805,297,9.72306722164286
17,1.6474318801691652,1.7000000000000004,1.6901792677851546,7.633678436279297,4.075933702810683,147621,216.76997879858123,19.014575958251953,147614,216.76483925935514,-19.015119552612305,354,10.61516366850092
18,1.6528577053320994,1.8000000000000005,1.7159827794355293,8.528799057006836,4.1257789314195294,160467,226.00493911915805,20.487712860107422,160462,226.00141804162075,-20.488067626953125,333,10.295493776366547
19,1.8499723640753238,1.9000000000000006,2.1776258664780928,9.965417861938477,4.038467122587266,179945,239.3287957378765,22.63747787475586,179945,239.3287957378765,-22.637470245361328,420,11.562445770562215
20,1.8539666532965668,2.0000000000000004,2.2194706132121382,11.113207817077637,4.296758099330077,192946,247.8237666157499,24.3466796875,192938,247.81862888114003,-24.347349166870117,415,11.493415626621754
21,2.030383514924388,2.1000000000000005,2.665037055805797,12.810916900634766,5.004907437887522,209307,258.11719692316257,26.836124420166016,209305,258.1159637211506,-26.836278915405273,412,11.451797811161432
22,2.0610963882783295,2.2000000000000006,2.751142673068719,14.292479515075684,5.268612123023198,220995,265.2261172984041,29.003570556640625,220987,265.22131667363647,-29.004329681396484,486,12.437789380968077
23,2.1997842678118182,2.3000000000000007,3.169476701313428,16.144012451171875,5.913509451954563,236085,274.1317009754622,31.35847282409668,236084,274.13112039645193,-31.35856056213379,417,11.521077316754745
