index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788781618.757111,1788781618.552411,normal_load,1,,0.0,0.00242,0.00863,-0.03673,7e-05,-0.00011,0.00022,-0.00228,0.00279,-0.04871,1e-05,0.00013,0.00017,-0.00196,0.00809,-0.03688,10,37.9122,362.7854,37.843,179.0462,0.3499,-122.7999,0.0036,25.5304,-0.0054
2,000002.png,False,1788781618.961117,1788781618.756417,normal_load,1,,0.19611806713947433,0.0024,0.0122,-0.08589,0.0001,-6e-05,0.00028,-0.00235,0.0063,-0.098,3e-05,0.00019,0.00023,-0.00342,0.01038,-0.08609,11,37.9119,362.7866,37.8523,179.045,0.3512,-122.7999,0.0059,25.5397,-0.0147
3,000003.png,False,1788781619.169114,1788781618.964414,normal_load,1,,0.19611806713947433,0.00412,0.01093,-0.09822,5e-05,-9e-05,0.00038,-0.00068,0.00497,-0.11046,-1e-05,0.00015,0.00033,-0.00121,0.00995,-0.0984,10,37.9088,362.8354,37.7919,179.0401,0.3564,-122.8008,0.0076,25.4801,0.0449
4,000004.png,False,1788781620.405187,1788781620.200487,normal_load,1,,0.2284263476063387,0.00019,0.00697,-0.12515,0.00017,-0.00016,0.00017,-0.00491,0.00062,-0.13818,0.0001,0.0001,0.00012,-0.00245,0.00413,-0.12525,10,37.9181,362.7824,37.7664,179.0468,0.3486,-122.8012,0.0059,25.4537,0.0713
5,000005.png,False,1788781621.437264,1788781621.232564,normal_load,1,,0.2804763739751735,1e-05,0.013,-0.17999,0.00017,-0.00011,0.00025,-0.00536,0.00633,-0.19368,0.0001,0.00016,0.00019,-0.00524,0.00838,-0.18019,10,37.9157,362.7867,37.7206,179.0465,0.3486,-122.8012,0.0003,25.408,0.117
6,000006.png,False,1788781621.853276,1788781621.648576,normal_load,1,,0.36594941338806,0.0008,0.01868,-0.26079,6e-05,-0.00015,0.00034,-0.00467,0.01188,-0.27475,-2e-05,0.00013,0.00028,-0.00683,0.0124,-0.26108,10,37.9144,362.7938,37.6631,179.0445,0.3507,-122.8027,0.0067,25.3506,0.1744
7,000007.png,False,1788781622.057286,1788781621.852586,normal_load,1,,0.36594941338806,-0.00509,0.00202,-0.31008,0.00045,-0.00038,0.00043,-0.01061,-0.00484,-0.32417,0.00038,-0.0001,0.00037,-0.00327,-0.00576,-0.31005,10,37.9198,362.7665,37.6181,179.0472,0.3481,-122.804,0.0083,25.3052,0.2198
8,000008.png,False,1788781622.885340,1788781622.680640,normal_load,1,,0.4173758011213409,0.0004,0.01675,-0.32197,8e-05,-0.0002,0.00043,-0.00532,0.00963,-0.3366,1e-05,9e-05,0.00037,-0.00579,0.00955,-0.32222,10,37.9164,362.7873,37.6155,179.0432,0.3521,-122.8036,0.0085,25.3029,0.2221
9,000009.png,False,1788781623.089335,1788781622.884635,normal_load,1,,0.4173758011213409,0.00055,0.02243,-0.37373,3e-05,-0.00018,0.00043,-0.00523,0.01525,-0.38849,-5e-05,0.00012,0.00038,-0.00814,0.01372,-0.37407,10,37.9134,362.8008,37.5576,179.039,0.3566,-122.8036,0.009,25.2453,0.2797
10,000010.png,False,1788781623.917391,1788781623.712691,normal_load,1,,0.4860990825181404,0.00048,0.01563,-0.37517,0.00011,-0.00031,0.00031,-0.00551,0.00819,-0.39045,3e-05,-0.0,0.00025,-0.0048,0.00777,-0.37538,10,37.9152,362.7895,37.5677,179.0426,0.3527,-122.804,0.0072,25.2552,0.2698
11,000011.png,False,1788781624.329427,1788781624.124727,normal_load,1,,0.5361375006675047,-0.00376,0.01015,-0.44104,0.00035,-0.00043,0.00024,-0.00985,0.00258,-0.45659,0.00027,-0.00011,0.00018,-0.00527,-0.00015,-0.44114,10,37.9182,362.7758,37.5214,179.0453,0.3502,-122.8049,0.0007,25.2086,0.3164
12,000012.png,False,1788781625.361473,1788781625.156773,normal_load,1,,0.613129338931688,-0.0014,0.01508,-0.50615,0.00027,-0.00044,0.00025,-0.00775,0.00719,-0.52236,0.00018,-0.00012,0.00019,-0.00524,0.00426,-0.50633,11,37.9164,362.7828,37.4803,179.0451,0.35,-122.8049,0.0056,25.1677,0.3573
