step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.11373041776991855,0.1,0.0024971099266679177,1.6005816459655762,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
2,0.18324069954950772,0.2,0.0014957622260197922,1.6067816019058228,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
3,0.37744734989168194,0.30000000000000004,0.0014243733581423613,1.6075100898742676,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
4,0.3401690755909108,0.4,-0.0015729288795995444,1.6497085094451904,nan,0,0.0,0.0,0,0.0,0.0,0,0.0
5,0.5640728356116078,0.5,0.11020236502386353,1.7339110374450684,0.9465621240850034,17520,74.67790306335611,4.286444187164307,17236,74.07016402212038,-4.293272018432617,0,0.0
6,0.5345740158834502,0.6,0.10140938671483753,1.8821161985397339,1.3825483333208353,34751,105.17407881589888,5.223952293395996,34398,104.63853718850446,-5.23825740814209,0,0.0
7,0.746666818303293,0.7,0.34023334056767285,2.146665096282959,1.4253011099527595,59445,137.55701066901474,6.331242561340332,59217,137.2929587784659,-6.33986759185791,0,0.0
8,0.7397973269397689,0.7999999999999999,0.3474562095970356,2.375448226928711,1.5830900835778314,75027,154.53749004921514,7.0522780418396,74762,154.26433064993526,-7.062826156616211,0,0.0
9,0.938998637482257,0.8999999999999999,0.6423739881572231,2.7899177074432373,1.7846784824101205,96540,175.2987062478875,8.281907081604004,96350,175.12611893663444,-8.290589332580566,0,0.0
10,0.9441234360808686,0.9999999999999999,0.6696906720962517,3.1886134147644043,2.062852159503695,110345,187.4137251936218,9.339800834655762,110137,187.23700471494453,-9.349876403808594,0,0.0
11,1.1259160466835603,1.0999999999999999,1.0477741367243738,3.7309370040893555,1.9394201073119575,127047,201.09777748645573,10.464752197265625,126883,200.96794094745042,-10.473103523254395,0,0.0
12,1.1279290155290482,1.2,1.1017713905888997,4.222383499145508,2.0395101206417507,140230,211.27374503130522,11.3429536819458,139964,211.07326905562456,-11.356802940368652,237,8.685588237163813
13,1.3293986264950775,1.3,1.6083493412849577,5.003758430480957,1.9796320318442122,157999,224.26021427607873,12.532843589782715,157698,224.04649613732283,-12.549023628234863,326,10.186708148166206
14,1.3284552594760584,1.4000000000000001,1.6270786778786175,5.541039943695068,2.0614549727583933,170837,233.19328040486124,13.17638874053955,170643,233.06083735381324,-13.186869621276855,502,12.640868754332628
15,1.535616716409951,1.5000000000000002,2.282680382563666,6.475376129150391,1.8250616161289446,189971,245.90576932683157,14.17463493347168,189823,245.80996221688352,-14.182464599609375,1184,19.413369239820483
16,1.541335663123462,1.6000000000000003,2.346245382681289,7.1251726150512695,1.8853930200209077,203972,254.80640514845805,14.736906051635742,203681,254.62457840475784,-14.75234603881836,7898,50.13991903742545
17,1.7066090652784283,1.7000000000000004,2.9239663953578914,8.005867004394531,2.0447002349646732,221191,265.3437054743882,15.48568058013916,220875,265.154098800763,-15.501973152160645,33029,102.53515119589196
