sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_soft_2mm_r2,1,2026-09-07T19:41:36.220420,0001.png,N0.10,0.02035,0.0221,-0.05367,-0.000894,-0.000559,0.000263,0.00696,0.02845,-0.05409,0.06151,37.8859,362.8328,38.8547,-0.0,0.0324,-10.416,16.661,0.4884,2.832
9DTact_soft_2mm_r2,2,2026-09-07T19:41:37.655070,0002.png,N0.20,0.02189,0.02289,-0.13739,-0.000896,-0.000485,0.000265,0.00847,0.02856,-0.13781,0.14099,37.8865,362.8403,38.7355,0.1191,0.1514,-3.527,6.524,0.2246,2.832
9DTact_soft_2mm_r2,3,2026-09-07T19:41:39.099047,0003.png,N0.30,0.02559,0.03087,-0.2391,-0.001068,-0.000522,0.000285,0.0084,0.0357,-0.23965,0.24244,37.886,362.8429,38.6043,0.2502,0.2825,-2.182,4.468,0.1654,2.832
9DTact_soft_2mm_r2,4,2026-09-07T19:41:40.125257,0004.png,N0.40,0.02466,0.02839,-0.28135,-0.000971,-0.000568,0.000235,0.00913,0.03241,-0.28185,0.28386,37.8875,362.8344,38.5508,0.3038,0.3362,-2.019,3.45,0.1325,2.832
9DTact_soft_2mm_r2,5,2026-09-07T19:41:41.983759,0005.png,N0.50,0.02354,0.02868,-0.41494,-0.00089,-0.000641,9.8e-05,0.00894,0.02995,-0.41542,0.4166,37.8886,362.8311,38.4296,0.4251,0.4574,-1.544,2.145,0.0891,2.832
9DTact_soft_2mm_r2,6,2026-09-07T19:41:43.434459,0006.png,N0.60,0.02965,0.0358,-0.53804,-0.001143,-0.000683,9.1e-05,0.01153,0.0372,-0.53863,0.54004,37.8872,362.8389,38.3302,0.5243,0.5567,-1.269,2.125,0.0861,2.832
9DTact_soft_2mm_r2,7,2026-09-07T19:41:44.444525,0007.png,N0.70,0.02617,0.0308,-0.60451,-0.001033,-0.000822,7.6e-05,0.01147,0.03007,-0.605,0.60586,37.8884,362.8319,38.2789,0.5758,0.6081,-1.36,1.708,0.0667,2.832
9DTact_soft_2mm_r2,8,2026-09-07T19:41:45.921493,0008.png,N0.80,0.0259,0.03461,-0.74763,-0.000958,-0.000835,0.00012,0.01032,0.03093,-0.74816,0.74888,37.8879,362.8351,38.1978,0.6568,0.6892,-1.116,1.281,0.0577,2.832
9DTact_soft_2mm_r2,9,2026-09-07T19:41:46.945014,0009.png,N0.90,0.02588,0.03352,-0.83622,-0.000788,-0.000848,0.000168,0.01147,0.02857,-0.83672,0.83729,37.8915,362.8223,38.1439,0.7109,0.7433,-1.014,0.942,0.0506,2.832
9DTact_soft_2mm_r2,10,2026-09-07T19:41:48.396773,0010.png,N1.00,0.02921,0.04326,-0.96439,-0.001027,-0.000832,0.00011,0.01037,0.03662,-0.96506,0.96581,37.8878,362.8357,38.0698,0.7847,0.8171,-0.863,1.065,0.0541,2.832
9DTact_soft_2mm_r2,11,2026-09-07T19:41:49.403379,0011.png,N1.10,0.02807,0.04164,-1.03005,-0.000989,-0.000959,-6e-06,0.01065,0.03359,-1.03068,1.03128,37.8895,362.8289,38.0168,0.8379,0.8703,-0.931,0.96,0.0487,2.832
9DTact_soft_2mm_r2,12,2026-09-07T19:41:50.860453,0012.png,N1.20,0.02935,0.04553,-1.16333,-0.000974,-0.000923,1.2e-05,0.01074,0.03546,-1.164,1.16459,37.8886,362.8339,37.9556,0.8989,0.9313,-0.794,0.838,0.0465,2.832
9DTact_soft_2mm_r2,13,2026-09-07T19:41:51.895498,0013.png,N1.30,0.02838,0.04129,-1.25468,-0.000825,-0.001042,0.000102,0.01265,0.02984,-1.25526,1.25568,37.8915,362.8205,37.9089,0.9459,0.9782,-0.831,0.658,0.0399,2.832
9DTact_soft_2mm_r2,14,2026-09-07T19:41:52.942997,0014.png,N1.40,0.03043,0.04863,-1.33758,-0.000901,-0.000873,0.000158,0.01134,0.0359,-1.33828,1.33881,37.8894,362.8328,37.8787,0.9759,1.0083,-0.653,0.674,0.0429,2.832
9DTact_soft_2mm_r2,15,2026-09-07T19:41:53.960925,0015.png,N1.50,0.03015,0.04811,-1.46537,-0.000925,-0.000977,0.000185,0.01223,0.03326,-1.46605,1.46647,37.8912,362.8219,37.8189,1.0359,1.0682,-0.666,0.631,0.0387,2.832
9DTact_soft_2mm_r2,16,2026-09-07T19:41:54.986730,0016.png,N1.60,0.0313,0.05435,-1.53804,-0.001066,-0.001008,0.00029,0.01062,0.03807,-1.53881,1.53932,37.8891,362.8343,37.795,1.0595,1.0919,-0.656,0.693,0.0407,2.832
9DTact_soft_2mm_r2,17,2026-09-07T19:41:56.020404,0017.png,N1.70,0.02717,0.04713,-1.66679,-0.000714,-0.001135,0.000206,0.01154,0.02769,-1.66741,1.66768,37.8927,362.8162,37.7318,1.123,1.1554,-0.681,0.428,0.0326,2.832
9DTact_soft_2mm_r2,18,2026-09-07T19:41:57.056815,0018.png,N1.80,0.03074,0.05396,-1.72381,-0.000862,-0.001082,3.2e-05,0.01162,0.03448,-1.72454,1.72492,37.8906,362.8287,37.7032,1.1514,1.1838,-0.627,0.5,0.036,2.832
9DTact_soft_2mm_r2,19,2026-09-07T19:41:58.096552,0019.png,N1.90,0.03064,0.05278,-1.86888,-0.000812,-0.001249,6.3e-05,0.01313,0.03108,-1.86957,1.86987,37.892,362.8236,37.6444,1.2103,1.2427,-0.669,0.434,0.0326,2.832
9DTact_soft_2mm_r2,20,2026-09-07T19:41:59.101977,0020.png,N2.00,0.03197,0.05614,-1.90231,-0.00074,-0.00118,1.8e-05,0.01283,0.03412,-1.90306,1.90341,37.8907,362.8279,37.6311,1.2235,1.2559,-0.62,0.389,0.0339,2.832
9DTact_soft_2mm_r2,21,2026-09-07T19:42:12.336440,0021.png,N0.10,0.01504,0.02328,-0.03358,-0.000751,-0.000331,9.4e-05,0.00163,0.02714,-0.03401,0.04354,37.8835,362.845,38.8285,0.026,0.0583,-9.843,22.378,0.6365,2.832
9DTact_soft_2mm_r2,22,2026-09-07T19:42:13.776662,0022.png,N0.20,0.01613,0.02512,-0.11485,-0.000759,-0.000466,0.000109,0.00221,0.02797,-0.1153,0.11866,37.8829,362.8432,38.7138,0.1407,0.173,-4.06,6.611,0.2516,2.832
9DTact_soft_2mm_r2,23,2026-09-07T19:42:15.635044,0023.png,N0.30,0.01817,0.02822,-0.25276,-0.000847,-0.000448,0.000221,0.00339,0.02947,-0.25325,0.25498,37.8842,362.8423,38.567,0.2875,0.3198,-1.772,3.35,0.1316,2.832
9DTact_soft_2mm_r2,24,2026-09-07T19:42:16.677679,0024.png,N0.40,0.02009,0.0282,-0.30716,-0.000819,-0.000507,0.000271,0.00544,0.02954,-0.30764,0.30911,37.8849,362.8351,38.516,0.3386,0.371,-1.651,2.666,0.112,2.832
9DTact_soft_2mm_r2,25,2026-09-07T19:42:18.118332,0025.png,N0.50,0.01945,0.03213,-0.40345,-0.000898,-0.000493,0.000436,0.00359,0.03108,-0.40398,0.40519,37.8851,362.8368,38.4435,0.4111,0.4434,-1.222,2.226,0.0927,2.832
9DTact_soft_2mm_r2,26,2026-09-07T19:42:19.557631,0026.png,N0.60,0.02181,0.03498,-0.54164,-0.000896,-0.000571,0.000251,0.00517,0.03251,-0.5422,0.5432,37.8845,362.8373,38.3278,0.5267,0.5591,-1.054,1.654,0.0759,2.832
9DTact_soft_2mm_r2,27,2026-09-07T19:42:20.584532,0027.png,N0.70,0.01776,0.02967,-0.60994,-0.000555,-0.00052,0.000213,0.00479,0.02479,-0.6104,0.61092,37.8845,362.8294,38.2789,0.5757,0.6081,-0.853,0.91,0.0566,2.832
9DTact_soft_2mm_r2,28,2026-09-07T19:42:22.037139,0028.png,N0.80,0.02373,0.03978,-0.72874,-0.00086,-0.000621,0.000111,0.00574,0.03463,-0.72936,0.73021,37.8844,362.8376,38.1961,0.6584,0.6907,-0.853,1.18,0.0634,2.832
9DTact_soft_2mm_r2,29,2026-09-07T19:42:23.065790,0029.png,N0.90,0.02385,0.03506,-0.81358,-0.000803,-0.000751,0.000156,0.00879,0.02925,-0.81411,0.81468,37.8876,362.8268,38.1442,0.7105,0.7429,-0.924,0.987,0.052,2.832
9DTact_soft_2mm_r2,30,2026-09-07T19:42:24.079819,0030.png,N1.00,0.02344,0.03945,-0.87825,-0.000775,-0.000697,3.3e-05,0.00668,0.03181,-0.87885,0.87945,37.8864,362.8343,38.0995,0.7551,0.7874,-0.793,0.882,0.0522,2.832
9DTact_soft_2mm_r2,31,2026-09-07T19:42:25.543146,0031.png,N1.10,0.02559,0.04231,-1.05925,-0.000747,-0.000871,0.000182,0.00837,0.03246,-1.05987,1.0604,37.8875,362.8309,38.0118,0.8428,0.8752,-0.822,0.705,0.0466,2.832
9DTact_soft_2mm_r2,32,2026-09-07T19:42:26.562297,0032.png,N1.20,0.02419,0.03847,-1.14944,-0.000571,-0.000854,2.5e-05,0.0097,0.02699,-1.14998,1.15034,37.8871,362.8254,37.9596,0.8951,0.9275,-0.743,0.497,0.0395,2.832
9DTact_soft_2mm_r2,33,2026-09-07T19:42:27.618549,0033.png,N1.30,0.02639,0.04424,-1.24691,-0.000755,-0.000892,0.000226,0.0094,0.03153,-1.24754,1.24798,37.8864,362.8291,37.9192,0.9354,0.9678,-0.715,0.605,0.0413,2.832
