sensor_id,index,at,image,label,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_base,Fy_base,Fz_base,Fmag,tcp_x,tcp_y,tcp_z,descent_mm,depth_corrected_mm,contact_x_sensor_mm,contact_y_sensor_mm,lateral_fraction,probe_tilt_deg
9DTact_soft_3mm_r1,1,2026-09-07T21:13:25.152089,0001.png,N0.10,0.02736,0.0477,-0.07706,-0.001099,-0.000905,0.00012,0.00041,0.05375,-0.07793,0.09467,37.9146,362.8492,39.7833,-0.0,0.0815,-11.745,14.257,0.5809,1.952
9DTact_soft_3mm_r1,2,2026-09-07T21:13:26.995478,0002.png,N0.20,0.03158,0.05044,-0.17454,-0.001245,-0.001085,0.000217,0.00336,0.05667,-0.17546,0.18441,37.9117,362.8486,39.6293,0.154,0.2355,-6.214,7.135,0.3227,1.952
9DTact_soft_3mm_r1,3,2026-09-07T21:13:28.836459,0003.png,N0.30,0.01805,0.05926,-0.27816,-0.001513,-0.001476,0.000146,-0.01204,0.05589,-0.27918,0.28498,37.8871,362.8451,39.4846,0.2985,0.38,-5.307,5.438,0.2174,1.952
9DTact_soft_3mm_r1,4,2026-09-07T21:13:30.297116,0004.png,N0.40,0.03124,0.04879,-0.38442,-0.001166,-0.001159,0.000212,0.00535,0.05171,-0.38527,0.38877,37.9125,362.8345,39.3825,0.401,0.4825,-3.014,3.033,0.149,1.952
9DTact_soft_3mm_r1,5,2026-09-07T21:13:31.748370,0005.png,N0.50,0.03513,0.05493,-0.5117,-0.00123,-0.001169,0.000207,0.00654,0.05693,-0.51264,0.51583,37.9162,362.8395,39.2633,0.5201,0.6016,-2.284,2.405,0.1264,1.952
9DTact_soft_3mm_r1,6,2026-09-07T21:13:32.752101,0006.png,N0.60,0.03474,0.05431,-0.56726,-0.001191,-0.00118,0.000276,0.00689,0.0553,-0.56818,0.57091,37.9161,362.8401,39.2214,0.562,0.6435,-2.08,2.1,0.1129,1.952
9DTact_soft_3mm_r1,7,2026-09-07T21:13:33.810529,0007.png,N0.70,0.03256,0.04762,-0.60914,-0.001104,-0.001384,0.000214,0.00864,0.04776,-0.60993,0.61186,37.9181,362.8244,39.1697,0.6139,0.6954,-2.273,1.813,0.0943,1.952
9DTact_soft_3mm_r1,8,2026-09-07T21:13:35.655383,0008.png,N0.80,0.03651,0.05646,-0.77834,-0.001216,-0.001363,0.000224,0.00882,0.05467,-0.77927,0.78124,37.9152,362.8388,39.0617,0.7217,0.8032,-1.751,1.563,0.0861,1.952
9DTact_soft_3mm_r1,9,2026-09-07T21:13:37.105564,0009.png,N0.90,0.03686,0.05804,-0.9015,-0.001169,-0.001454,0.000314,0.00918,0.05424,-0.90244,0.90412,37.9157,362.8373,38.9857,0.7977,0.8792,-1.612,1.297,0.076,1.952
9DTact_soft_3mm_r1,10,2026-09-07T21:13:38.135615,0010.png,N1.00,0.03509,0.05664,-0.99042,-0.001076,-0.001484,0.00036,0.00896,0.05073,-0.99132,0.99266,37.9135,362.8298,38.9319,0.8516,0.9331,-1.499,1.086,0.0671,1.952
