sensor,width_px,height_px,split,seed,fz_mae,fz_rmse,fz_mae_baseline,fz_r2,lat_mae,lat_mae_baseline,lat_r2,lat_mae_shear,fz_mae_normal,n_test_shear,n_test_normal,norm,rep,n_train,n_val,n_test,fz_range,tx_mae,ty_mae,tz_mae,epochs,epochs_run,best_epoch,train_loss,val_loss,batch,micro_batch,accum,seconds
hard_1mm_r1,1920,1080,cycle,0,0.04784403368830681,0.06302343308925629,0.19014030694961548,0.9580646753311157,0.022200696170330048,0.1309737265110016,0.9661726951599121,0.023003995418548584,0.03873664140701294,119,53,none,grey,581,228,172,1.9442499876022339,0.0005355834728106856,0.0004087104753125459,0.00012116641300963238,30,30,28,0.12728600909295468,0.2370196529909184,64,4,16,226.9
hard_1mm_r1,1280,720,cycle,0,0.024831993505358696,0.03203961253166199,0.19014030694961548,0.9891619682312012,0.024228578433394432,0.1309737265110016,0.9621514081954956,0.025661524385213852,0.031389374285936356,119,53,none,grey,581,228,172,1.9442499876022339,0.00043150843703188,0.0005150692886672914,0.00011197785352123901,30,30,28,0.15282517189413258,0.22922661586811668,64,11,6,100.1
hard_1mm_r1,854,480,cycle,0,0.02306208945810795,0.028553122654557228,0.19014030694961548,0.9913923740386963,0.023917442187666893,0.1309737265110016,0.9641218781471252,0.02447783760726452,0.029845932498574257,119,53,none,grey,581,228,172,1.9442499876022339,0.000526586954947561,0.0004701470606960356,0.00011051970068365335,30,30,28,0.15677177680338927,0.21169237504925645,64,24,3,46.8
hard_1mm_r1,640,360,cycle,0,0.03553004562854767,0.04320330172777176,0.19014030694961548,0.9802935123443604,0.027469420805573463,0.1309737265110016,0.951615571975708,0.02981659211218357,0.046716589480638504,119,53,none,grey,581,228,172,1.9442499876022339,0.0006251547019928694,0.0005238497979007661,0.00010148471483262256,30,30,30,0.13144661104002014,0.23968141539055005,64,44,1,26.3
hard_1mm_r1,426,240,cycle,0,0.037446435540914536,0.049095284193754196,0.19014030694961548,0.9745519161224365,0.027658378705382347,0.1309737265110016,0.9506606459617615,0.029993854463100433,0.05832095071673393,119,53,none,grey,581,228,172,1.9442499876022339,0.0006889880751259625,0.0006222265074029565,0.0001101769958040677,30,30,26,0.16835310660212874,0.24511226018269858,64,64,1,13.5
hard_1mm_r1,320,180,cycle,0,0.06643645465373993,0.07217303663492203,0.19014030694961548,0.9450047016143799,0.022180218249559402,0.1309737265110016,0.9668475389480591,0.024587595835328102,0.04938264936208725,119,53,none,grey,581,228,172,1.9442499876022339,0.0010278740664944053,0.0003998520551249385,0.00011576076212804765,30,30,30,0.14638416923056782,0.25633545507464495,64,64,1,8.3
hard_1mm_r1,160,90,cycle,0,0.042285092175006866,0.05043431371450424,0.19014030694961548,0.9731448292732239,0.026570497080683708,0.1309737265110016,0.9554195404052734,0.022854575887322426,0.039515454322099686,119,53,none,grey,581,228,172,1.9442499876022339,0.0005711396224796772,0.00038731357199139893,0.00011772401194320992,30,30,30,0.17169817138251667,0.2514534038409852,64,64,1,3.6
hard_1mm_r1,80,45,cycle,0,0.053505025804042816,0.07489901781082153,0.19014030694961548,0.9407718777656555,0.024531330913305283,0.1309737265110016,0.9636615514755249,0.022171320393681526,0.08921317011117935,119,53,none,grey,581,228,172,1.9442499876022339,0.000589258735999465,0.0005010297754779458,0.00011876438657054678,30,30,27,0.23540419186249043,0.26370628256546824,64,64,1,2.7
hard_1mm_r1,48,27,cycle,0,0.049497079104185104,0.05937258526682854,0.19014030694961548,0.9627825021743774,0.023716680705547333,0.1309737265110016,0.9639090299606323,0.02479945495724678,0.020835695788264275,119,53,none,grey,581,228,172,1.9442499876022339,0.0006571587291546166,0.0004304691101424396,0.00013227018644101918,30,30,29,0.25706191891852426,0.26505241059420404,64,64,1,2.7
hard_1mm_r1,32,18,cycle,0,0.04610135033726692,0.058061085641384125,0.19014030694961548,0.9644085168838501,0.030043214559555054,0.1309737265110016,0.9390041828155518,0.03330601006746292,0.029465265572071075,119,53,none,grey,581,228,172,1.9442499876022339,0.0007287962362170219,0.000569845549762249,0.00010687724716262892,30,30,23,0.37407165960682853,0.25133280586778073,64,64,1,3.1
