sensor,th,hard,ramp,frames,grabbed,accept,cycles,total_min,collect_min,ceiling,depth,stopped
hard_1mm_r1,1,hard,continuous,1000,3689,0.27107617240444565,5+5,15.621666666666666,13.135833333333332,3.4067577474385784,1.786322781711121,force cap
hard_1mm_r2,1,hard,continuous,1000,2002,0.4995004995004995,5+8,9.610000000000001,7.2405,2.917946235551514,1.544673110869983,force cap
hard_2mm_r1,2,hard,continuous,1000,1887,0.5299417064122947,5+7,9.22,6.838666666666667,2.963338914623435,1.4605285558899332,force cap
hard_2mm_r2,2,hard,continuous,1000,1885,0.5305039787798409,5+7,9.228333333333333,6.832333333333334,3.1932223483248436,1.559974988433325,force cap
hard_3mm_r1,3,hard,stepped,1000,2827,0.3537318712415989,7+9,10.431666666666667,10.125666666666666,3.117100211568496,1.169649971730749,force cap
hard_3mm_r2,3,hard,continuous,1000,2266,0.44130626654898497,5+10,10.511666666666667,8.159833333333333,3.2323783976810008,1.4780358753266043,force cap
medium_1mm_r1,1,medium,stepped,1000,3369,0.2968239833778569,8+10,14.533333333333333,12.054833333333333,3.308800294108252,1.738566616772058,force cap
medium_1mm_r2,1,medium,stepped,1000,3161,0.3163555836760519,7+9,13.725,11.293000000000001,3.3106883390153796,1.6597672728633697,force cap
medium_2mm_r2,2,medium,stepped,1000,3561,0.2808199943836001,8+10,15.216666666666667,12.695,3.064669978436882,1.8860617278320504,force cap
medium_3mm_r1,3,medium,stepped,1000,3391,0.29489826010026543,10+12,14.671666666666665,12.094666666666665,3.169476701313428,2.1997842678118182,force cap
medium_3mm_r2,3,medium,stepped,1000,3327,0.30057108506161706,7+10,14.428333333333335,11.875666666666666,2.894960056941778,2.0768680337141916,force cap
soft_1mm_r1,1,soft,stepped,1000,3453,0.2896032435563278,8+10,12.633333333333333,12.320166666666667,3.563177615965259,1.5211734543097286,force cap
soft_1mm_r2,1,soft,stepped,1000,3845,0.26007802340702213,8+11,16.086666666666666,13.689666666666666,2.9239663953578914,1.7066090652784283,force cap
soft_2mm_r1,2,soft,stepped,1000,3678,0.27188689505165853,7+13,16.465,13.100333333333333,2.9192265136023794,1.7018429273685953,force cap
soft_2mm_r2,2,soft,stepped,1000,3687,0.27122321670735017,7+13,16.46333333333333,13.135833333333332,3.1953610685132845,1.8957554255648006,force cap
soft_3mm_r1,3,soft,stepped,1000,4155,0.24067388688327315,7+12,17.926666666666666,14.791333333333334,2.978887824430589,2.371538159515424,force cap
soft_3mm_r2,3,soft,stepped,1000,4143,0.24137098720733768,7+11,17.675,14.738666666666667,3.0424168340453606,2.418852681725884,force cap
