axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.3443585764151949,-1.4952899205829489,0.018397448510479752,24.838958984795514,9,ball8_x-1.50.png,0.042394028869628286,0.050540234470039636,-1.3443585764151949,0.6632937757492241,-1.409330174722262,0.004765621665159259,-1.8521724399535369,-1.451696052402449,0.0
x,-0.75,1.428319499087752,-0.7396628619741444,-0.0009531854765394421,24.823750257563514,8,ball8_x-0.75.png,0.02581075767897829,-0.03167592271555719,-1.428319499087752,2.712637370819082,-0.8923743623710734,-0.12344000715569514,-1.0854075725649153,-1.333872243522793,0.0
x,0.0,1.4100723697746758,0.009213723212905664,-0.00034464341731555055,24.82349593356797,8,ball8_x+0.00.png,-0.006289264201887334,-0.013182472887869955,-1.4100723697746758,2.2784739345117018,-0.6725095220321164,-0.15010304814664366,-0.3632379072962012,-1.377548723179936,0.0
x,0.75,1.4297973036967506,0.7620477758984511,-0.00027637147733522785,24.822765820226035,8,ball8_x+0.75.png,-0.015214856311726876,-0.012937839450205501,-1.4297973036967506,2.1969450700869255,0.11354188357074468,0.17978605010808835,0.3506646101048561,-1.305884688956708,0.0
x,1.5,1.358961818463817,1.5092088202217624,0.004979581762864315,24.820780251587053,9,ball8_x+1.50.png,-0.018983762389866498,-0.0022769946098453175,-1.358961818463817,1.8738929599198428,0.9419287147313993,-0.0953765402412099,1.0492113928003346,-1.3362043987388368,0.0
y,-1.5,1.3414285256875615,-6.922137879981937e-05,-1.4868728576229306,24.766696706869077,12,ball8_y-1.50.png,-0.014135777844276377,0.04559267110497558,-1.3414285256875615,2.797187010437424,-0.912009633493921,-0.20568014888442399,-0.4112620721368745,-2.9516118925893906,0.0
y,-0.75,1.3789135607586274,-0.0027308833499316543,-0.7421116299413214,24.794747937886257,10,ball8_y-0.75.png,-0.007436588974548996,-0.00014143494267528922,-1.3789135607586274,3.0875918270150238,-0.956826044956266,-0.26408928925372166,-0.5564251182389816,-2.2365336292461975,0.0
y,0.0,1.3318591042412975,-0.0009227071403503677,0.01754697595251088,24.838120516183707,9,ball8_y+0.00.png,-0.005829214876242617,0.010784727231627933,-1.3318591042412975,1.657374775266962,-0.9168531992169382,-0.15844514581555558,-0.5768345867958676,-1.4508179440653002,0.0
y,0.75,1.347007820545977,-0.0033761735671900325,0.767844173041483,24.86515325679988,7,ball8_y+0.75.png,-0.022261770403834192,0.01512110776099167,-1.347007820545977,0.657013263597167,-1.2765660911550236,-0.1570125481142881,-0.5264244452850406,-0.773908630226388,0.0
y,1.5,1.2918833794528097,-0.004975895992049301,1.5172253895319088,24.905410634314897,5,ball8_y+1.50.png,-0.042753818988708045,0.02058984318381043,-1.2918833794528097,-0.4821013672616087,-1.8007920863605587,-0.2025241990587734,-0.5503337712670741,-0.03308988603508683,0.0
