index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788893393.976054,1788893393.916054,normal_load,1,,2.0,-0.00074,-0.00181,-0.02848,0.0002,9e-05,4e-05,-0.00035,-0.00194,-0.02955,0.00016,9e-05,5e-05,0.00046,-0.00239,-0.02844,3,37.9218,362.8321,37.0647,179.7989,0.5054,-102.5443,0.003,24.7529,-0.0207
2,000002.png,False,1788893394.756104,1788893394.696104,normal_load,1,,2.0,-0.01188,-0.03014,-0.04955,0.00082,-0.00012,-8e-05,-0.01144,-0.03029,-0.05079,0.00079,-0.00013,-6e-05,0.00511,-0.03283,-0.04899,3,37.9399,362.7562,36.9894,179.8003,0.5022,-102.5449,0.0083,24.6762,0.056
3,000003.png,False,1788893394.948122,1788893394.888122,normal_load,1,,2.0,-0.01413,-0.03593,-0.21941,0.00085,-0.00029,-2e-05,-0.01367,-0.03609,-0.2207,0.00081,-0.0003,-1e-05,0.00723,-0.04169,-0.21873,3,37.9425,362.7408,36.8687,179.8022,0.4976,-102.5449,0.0013,24.5553,0.1769
4,000004.png,False,1788893395.144121,1788893395.084121,normal_load,1,,2.0,-0.01333,-0.04133,-0.28806,0.00109,-0.00036,7e-05,-0.01286,-0.0415,-0.28938,0.00105,-0.00037,8e-05,0.0111,-0.04707,-0.28727,3,37.9443,362.7341,36.8325,179.8026,0.4966,-102.5451,0.0091,24.519,0.2132
5,000005.png,False,1788893395.536144,1788893395.476144,normal_load,1,,2.0,0.00272,-0.0141,-0.58655,0.00066,-0.00025,-0.00012,0.00322,-0.01428,-0.58796,0.00061,-0.00026,-0.0001,0.01347,-0.02025,-0.58622,3,37.9419,362.7542,36.7172,179.801,0.5011,-102.5453,0.0058,24.4041,0.3282
6,000006.png,False,1788893395.732145,1788893395.672145,normal_load,1,,2.0,0.01195,0.00096,-0.85177,0.00033,-6e-05,1e-05,0.01247,0.00078,-0.85322,0.00028,-7e-05,3e-05,0.01577,-0.00684,-0.85168,3,37.9381,362.7662,36.649,179.7997,0.5036,-102.5451,0.0087,24.3361,0.3962
7,000007.png,False,1788893395.924173,1788893395.864173,normal_load,1,,2.0,0.01843,0.00479,-0.95253,0.00027,-4e-05,3e-05,0.01896,0.0046,-0.95402,0.00022,-4e-05,4e-05,0.02018,-0.0019,-0.9525,3,37.9385,362.7704,36.6072,179.799,0.5052,-102.5451,0.0032,24.2943,0.4379
8,000008.png,False,1788893396.120174,1788893396.060174,normal_load,1,,2.0,0.03073,0.01376,-1.06053,0.00027,0.0004,0.00011,0.03128,0.01357,-1.06207,0.00022,0.0004,0.00013,0.0271,0.01029,-1.06067,3,37.9386,362.7725,36.5805,179.7987,0.5065,-102.5452,0.0082,24.2677,0.4646
9,000009.png,False,1788893396.316088,1788893396.256088,normal_load,1,,2.0,0.04769,0.01934,-1.40145,0.00052,0.00074,0.0001,0.04825,0.01914,-1.40303,0.00047,0.00073,0.00012,0.04136,0.01813,-1.40167,3,37.9368,362.7777,36.5059,179.7982,0.507,-102.5452,0.0069,24.1932,0.539
10,000010.png,False,1788893396.512094,1788893396.452094,normal_load,1,,2.0,0.04787,0.01873,-1.35517,0.00017,0.00049,-1e-05,0.04844,0.01853,-1.35679,0.00012,0.00048,1e-05,0.0415,0.01843,-1.35538,3,37.9374,362.7796,36.5078,179.7983,0.5075,-102.5454,0.0011,24.1951,0.5372
11,000011.png,False,1788893396.900195,1788893396.840195,normal_load,1,,2.0,0.06501,0.01236,-1.72753,0.00057,0.00071,0.00015,0.06562,0.01214,-1.72923,0.00052,0.00071,0.00017,0.06212,0.01551,-1.72761,3,37.9418,362.7769,36.4395,179.7986,0.5062,-102.546,0.0066,24.1267,0.6055
12,000012.png,False,1788893397.096244,1788893397.036244,normal_load,1,,2.0,0.07594,0.03459,-1.90796,0.00015,0.00107,-0.00011,0.07656,0.03437,-1.90971,0.0001,0.00107,-9e-05,0.06172,0.03733,-1.90842,2,37.9426,362.7852,36.4074,179.797,0.5101,-102.5465,0.001,24.0947,0.6375
13,000013.png,False,1788893397.292229,1788893397.232229,normal_load,1,,2.0,0.07638,0.03598,-1.89838,0.0002,0.00104,-2e-05,0.07701,0.03575,-1.90017,0.00015,0.00104,0.0,0.06135,0.03891,-1.89887,3,37.944,362.7868,36.4079,179.7971,0.5103,-102.5467,0.0044,24.0953,0.6369
14,000014.png,False,1788893397.488258,1788893397.428258,normal_load,1,,2.0,0.08257,0.03551,-1.90686,8e-05,0.0011,-9e-05,0.08322,0.03529,-1.9087,2e-05,0.00109,-7e-05,0.067,0.04147,-1.90735,3,37.9453,362.7904,36.4047,179.7965,0.5117,-102.5471,0.0099,24.0921,0.6401
15,000015.png,False,1788893398.656317,1788893398.596318,normal_unload,1,,0.0,0.08337,0.03375,-2.01468,0.00019,0.00121,7e-05,0.08411,0.03349,-2.01677,0.00013,0.00121,0.0001,0.06932,0.03862,-2.01513,3,37.9474,362.7884,36.3861,179.7965,0.5113,-102.5476,0.0013,24.0735,0.6587
16,000016.png,False,1788893398.852288,1788893398.792289,normal_unload,1,,0.0,0.09199,0.02774,-1.94533,0.00034,0.00127,-0.00018,0.09274,0.02747,-1.94746,0.00028,0.00127,-0.00016,0.07931,0.03882,-1.9457,3,37.953,362.7881,36.3914,179.7971,0.5103,-102.5482,0.0044,24.0788,0.6535
17,000017.png,False,1788893399.240365,1788893399.180365,normal_unload,1,,0.0,0.08454,0.02068,-1.91992,0.00064,0.00141,-3e-05,0.08533,0.0204,-1.92213,0.00057,0.0014,-1e-05,0.07621,0.0294,-1.92016,3,37.9531,362.7847,36.3981,179.7976,0.5087,-102.5484,0.0062,24.0854,0.6468
18,000018.png,False,1788893399.436345,1788893399.376345,normal_unload,1,,0.0,0.07813,-0.00046,-1.83777,0.00102,0.00112,0.0001,0.07893,-0.00074,-1.84003,0.00095,0.00112,0.00013,0.08065,0.0092,-1.83764,3,37.9551,362.7758,36.4084,179.7988,0.5056,-102.5484,0.0083,24.0956,0.6367
19,000019.png,False,1788893399.828364,1788893399.768364,normal_unload,1,,0.0,0.07787,-0.0051,-1.75379,0.00114,0.00109,5e-05,0.0787,-0.00539,-1.75613,0.00107,0.00108,8e-05,0.08216,0.0064,-1.75359,3,37.9557,362.7752,36.4206,179.7995,0.5047,-102.5482,0.0055,24.1078,0.6245
20,000020.png,False,1788893400.216408,1788893400.156409,normal_unload,1,,0.0,0.07971,0.0054,-1.59522,0.00089,0.00153,0.00021,0.08057,0.0051,-1.59765,0.00082,0.00152,0.00024,0.07741,0.01895,-1.59523,4,37.9549,362.7842,36.4538,179.7982,0.507,-102.5489,0.0006,24.141,0.5912
21,000021.png,False,1788893400.412385,1788893400.352385,normal_unload,1,,0.0,0.07667,-0.0027,-1.45597,0.00102,0.00139,0.00032,0.07755,-0.00301,-1.45843,0.00094,0.00138,0.00035,0.07786,0.01265,-1.45585,3,37.9572,362.7795,36.4703,179.7987,0.5065,-102.5491,0.0046,24.1575,0.5748
22,000022.png,False,1788893400.608428,1788893400.548429,normal_unload,1,,0.0,0.07951,-0.00296,-1.37324,0.00098,0.00158,0.00015,0.0804,-0.00328,-1.37575,0.0009,0.00157,0.00018,0.07987,0.01516,-1.37314,3,37.9581,362.7806,36.4844,179.7987,0.5065,-102.5493,0.0096,24.1716,0.5607
23,000023.png,False,1788893400.804405,1788893400.744406,normal_unload,1,,0.0,0.07448,-0.00808,-1.27077,0.0009,0.00147,0.00016,0.07539,-0.00839,-1.27332,0.00082,0.00146,0.00019,0.07736,0.00986,-1.27059,3,37.9575,362.778,36.4978,179.7988,0.5058,-102.5491,0.0056,24.185,0.5473
24,000024.png,False,1788893400.996418,1788893400.936418,normal_unload,1,,0.0,0.07042,-0.01847,-1.16958,0.00111,0.00136,0.0002,0.07134,-0.01879,-1.17217,0.00103,0.00135,0.00023,0.07833,0.00045,-1.16922,3,37.9599,362.7731,36.5176,179.7991,0.505,-102.5495,0.0097,24.2047,0.5276
25,000025.png,False,1788893401.192494,1788893401.132494,normal_unload,1,,0.0,0.06631,-0.02503,-1.09895,0.00137,0.00146,2e-05,0.06725,-0.02536,-1.10159,0.00128,0.00145,5e-05,0.07756,-0.00615,-1.09849,3,37.9584,362.7716,36.5289,179.7993,0.5044,-102.5495,0.0029,24.216,0.5163
26,000026.png,False,1788893401.388350,1788893401.328351,normal_unload,1,,0.0,0.0658,-0.02281,-0.94802,0.00115,0.0015,2e-05,0.06675,-0.02314,-0.95069,0.00107,0.00149,6e-05,0.07496,-0.00206,-0.94761,3,37.9588,362.7716,36.56,179.7993,0.5044,-102.5493,0.0033,24.2471,0.4852
27,000027.png,False,1788893401.584456,1788893401.524457,normal_unload,1,,0.0,0.06709,-0.02357,-0.93895,0.00133,0.00153,0.0002,0.06806,-0.02391,-0.94167,0.00125,0.00152,0.00023,0.0764,-0.00193,-0.93854,3,37.9592,362.772,36.5658,179.7995,0.5045,-102.5495,0.0095,24.2528,0.4794
28,000028.png,False,1788893401.780457,1788893401.720458,normal_unload,1,,0.0,0.06014,-0.0215,-0.76093,0.00122,0.00154,0.00012,0.06112,-0.02184,-0.76369,0.00114,0.00153,0.00015,0.06811,-0.00076,-0.76056,3,37.9602,362.7725,36.6059,179.7992,0.5053,-102.5499,0.0012,24.2929,0.4394
29,000029.png,False,1788893401.972475,1788893401.912475,normal_unload,1,,0.0,0.05886,-0.02056,-0.75779,0.00117,0.00153,6e-05,0.05986,-0.02091,-0.76059,0.00108,0.00152,9e-05,0.06651,-0.00054,-0.75744,3,37.9587,362.7725,36.6077,179.7992,0.5053,-102.5497,0.0035,24.2947,0.4375
30,000030.png,False,1788893402.364507,1788893402.304507,normal_unload,1,,0.0,0.05214,-0.01938,-0.59635,0.00105,0.00149,0.00012,0.05317,-0.01974,-0.59924,0.00096,0.00148,0.00015,0.05898,-0.00029,-0.59603,3,37.9586,362.7744,36.657,179.7992,0.5053,-102.5499,0.0094,24.344,0.3882
31,000031.png,False,1788893402.752512,1788893402.692512,normal_unload,1,,0.0,0.04786,-0.01963,-0.4191,0.00099,0.00134,-0.0,0.04892,-0.02,-0.42207,0.00089,0.00133,4e-05,0.05418,0.0002,-0.41879,3,37.9606,362.776,36.7121,179.7992,0.5053,-102.5501,0.0061,24.3992,0.3331
32,000032.png,False,1788893402.948528,1788893402.888528,normal_unload,1,,0.0,0.03392,-0.01459,-0.29431,0.0009,0.00109,-5e-05,0.03499,-0.01497,-0.29732,0.00081,0.00108,-2e-05,0.03871,-0.00041,-0.29408,3,37.9602,362.7787,36.7773,179.7993,0.5061,-102.5502,0.0008,24.4644,0.2678
33,000033.png,False,1788893403.144558,1788893403.084558,normal_unload,1,,0.0,0.02835,-0.01371,-0.28465,0.00079,0.001,-0.00012,0.02944,-0.01409,-0.28771,0.00069,0.00099,-8e-05,0.03338,-0.00227,-0.28443,3,37.9593,362.781,36.801,179.7983,0.508,-102.5502,0.0046,24.4881,0.2441
34,000034.png,False,1788893403.532536,1788893403.472536,normal_unload,1,,0.0,0.01449,-0.01424,-0.14367,0.0005,0.00042,-0.00013,0.01561,-0.01463,-0.14681,0.0004,0.00041,-0.0001,0.02066,-0.0074,-0.14343,3,37.9618,362.7794,36.897,179.799,0.5076,-102.5506,0.0015,24.5841,0.1482
35,000035.png,False,1788893404.508603,1788893404.448603,normal_unload,1,,0.0,-0.00145,-0.02836,-0.01571,0.00098,0.00026,4e-05,-0.00026,-0.02878,-0.01906,0.00087,0.00025,8e-05,0.01302,-0.02554,-0.01521,3,37.9666,362.7609,37.0241,179.8033,0.4972,-102.5508,0.0009,24.7108,0.0214
36,000036.png,False,1788893406.068717,1788893406.008718,normal_load,2,,2.0,-0.00441,-0.0055,-0.00549,0.00023,3e-05,-2e-05,-0.00309,-0.00596,-0.00918,0.00011,2e-05,3e-05,-0.00103,-0.00705,-0.00539,3,37.9473,362.8007,37.064,179.8023,0.5012,-102.5543,0.0029,24.7515,-0.0192
37,000037.png,False,1788893406.656725,1788893406.596725,normal_load,2,,2.0,-0.01603,0.00421,-0.03263,0.00024,-0.0,2e-05,-0.01467,0.00374,-0.03645,0.00012,-2e-05,7e-05,-0.01576,-0.00488,-0.03267,3,37.9105,362.8086,37.0364,179.8024,0.501,-102.5493,0.0072,24.7243,0.008
38,000038.png,False,1788893407.044765,1788893406.984766,normal_load,2,,2.0,-0.01871,0.00573,-0.13615,0.00014,-0.00022,-0.0001,-0.01732,0.00524,-0.14005,2e-05,-0.00023,-5e-05,-0.01812,-0.00657,-0.13619,3,37.9044,362.8028,36.9015,179.8055,0.4936,-102.5479,0.0078,24.5893,0.1429
39,000039.png,False,1788893407.240742,1788893407.180743,normal_load,2,,2.0,-0.01468,0.00931,-0.35471,9e-05,-0.00026,0.00018,-0.01327,0.00882,-0.35865,-3e-05,-0.00027,0.00023,-0.01491,-0.00495,-0.35479,3,37.9039,362.8085,36.817,179.8041,0.4975,-102.5479,0.0072,24.5049,0.2273
