index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788890461.848572,1788890461.788572,normal_load,1,,2.0,-0.00072,0.00145,-0.04146,0.00011,0.00011,-5e-05,0.00015,0.00182,-0.04091,8e-05,7e-05,-5e-05,-0.00106,0.00023,-0.04148,3,37.9094,362.8468,37.4905,179.8041,0.5592,-101.139,0.0029,25.1789,-0.0013
2,000002.png,False,1788890462.436608,1788890462.376608,normal_load,1,,2.0,0.00222,-0.02185,-0.06759,0.00066,8e-05,9e-05,0.00319,-0.02144,-0.06697,0.00062,5e-05,0.0001,0.01331,-0.0189,-0.0672,3,37.9258,362.8005,37.4679,179.8036,0.5604,-101.1399,0.0032,25.1555,0.022
3,000003.png,False,1788890462.632618,1788890462.572618,normal_load,1,,2.0,-0.00602,-0.05295,-0.16598,0.00132,-0.00032,0.00014,-0.00501,-0.05252,-0.16534,0.00128,-0.00035,0.00015,0.02239,-0.05152,-0.16503,3,37.9387,362.7543,37.3542,179.8077,0.5506,-101.1405,0.0025,25.041,0.1365
4,000004.png,False,1788890462.824623,1788890462.764623,normal_load,1,,2.0,-0.00132,-0.03537,-0.21004,0.00093,-0.00013,-2e-05,-0.00028,-0.03492,-0.20938,0.00089,-0.00017,-1e-05,0.01798,-0.03466,-0.2094,3,37.9363,362.7718,37.3327,179.8057,0.555,-101.1408,0.0069,25.0197,0.1578
5,000005.png,False,1788890463.020674,1788890462.960675,normal_load,1,,2.0,-0.00139,-0.03955,-0.45792,0.00115,-0.00011,3e-05,-0.00032,-0.03909,-0.45724,0.0011,-0.00015,4e-05,0.02173,-0.04229,-0.45716,3,37.9376,362.7666,37.2095,179.8068,0.5521,-101.1407,0.0029,24.8965,0.281
6,000006.png,False,1788890463.216598,1788890463.156598,normal_load,1,,2.0,0.00378,-0.01716,-0.51747,0.00075,9e-05,-1e-05,0.00489,-0.01668,-0.51676,0.00071,5e-05,-0.0,0.01544,-0.02126,-0.5171,3,37.9353,362.7812,37.1882,179.8053,0.5562,-101.141,0.0086,24.8755,0.3021
7,000007.png,False,1788890463.412704,1788890463.352704,normal_load,1,,2.0,0.01436,-0.00741,-0.81987,0.00052,7e-05,0.00022,0.0155,-0.00692,-0.81915,0.00048,2e-05,0.00023,0.02182,-0.01238,-0.81965,3,37.9358,362.7904,37.0807,179.8048,0.5574,-101.1412,0.0026,24.7681,0.4095
8,000008.png,False,1788890463.604702,1788890463.544703,normal_load,1,,2.0,0.0155,0.0006,-0.87245,0.00019,1e-05,0.00033,0.01668,0.0011,-0.87171,0.00014,-4e-05,0.00034,0.01917,-0.00572,-0.87236,3,37.9368,362.7905,37.0739,179.8044,0.5589,-101.1414,0.0071,24.7613,0.4163
9,000009.png,False,1788890463.800612,1788890463.740613,normal_load,1,,2.0,0.02725,0.0185,-1.15207,9e-05,0.00025,0.00021,0.02847,0.01902,-1.1513,4e-05,0.0002,0.00022,0.02235,0.01119,-1.15227,2,37.9355,362.8068,37.0054,179.8025,0.5633,-101.1417,0.0008,24.693,0.4845
10,000010.png,False,1788890463.996705,1788890463.936705,normal_load,1,,2.0,0.02696,0.01985,-1.13839,-2e-05,0.00016,0.00025,0.02821,0.02038,-1.1376,-7e-05,0.00011,0.00026,0.02133,0.01242,-1.13862,3,37.9355,362.8022,36.9987,179.8029,0.5621,-101.1414,0.005,24.6863,0.4912
