probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,rung_depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,2,1,0.6868560171617821,-0.5298351201258331,960.0,540.0,0.15,0.4625223810002268,0.44999999999999996,0.0,0.0,0.4615562086326463,ball4_x+0.69_y-0.53_d0.15.png,1789086987.8069756,-0.005067612782026743,-0.0032666799391543933,-0.4615562086326463,38.78730392456054,362.6273498535156,36.6431198120117,87698,167.07824633550015,"[871.3864512303587, 566.9611165591006]",12
ball4,2,1,0.6868560171617821,-0.5298351201258331,960.0,540.0,0.3,0.6346494532548306,0.5999999999999999,0.0,0.0,0.7739187975837354,ball4_x+0.69_y-0.53_d0.30.png,1789086989.3670726,-0.00441301439320334,0.012997621045694352,-0.7739187975837354,38.7921028137207,362.5966796875,36.47920608520508,118927,194.56525854884697,"[872.8425084295408, 568.7274714740976]",12
ball4,0,0,-6.544536875631713,0.030832271250887278,363.62017057933883,279.6201705793388,0.15,0.3985009368535053,0.44999999999999996,0.0,0.4615562086326463,0.45961486917779554,ball4_x-6.54_y+0.03_d0.15.png,1789086994.2432573,-0.015085636850292872,0.006770684028383656,-0.45961486917779554,32.24038696289062,359.501983642578,36.68692779541015,14594,68.157277520205,"[310.2670960668768, 215.69261340276827]",12
ball4,0,0,-6.544536875631713,0.030832271250887278,363.62017057933883,279.6201705793388,0.3,0.601625490815092,0.5999999999999999,0.0,0.7739187975837354,0.7897205348419675,ball4_x-6.54_y+0.03_d0.30.png,1789086995.4153044,-0.020035717833633983,0.0022652265634979683,-0.7897205348419675,32.23915100097656,359.4960327148437,36.53684997558593,28255,94.83588895625435,"[319.08476375862676, 214.87152716333392]",12
ball4,1,0,-3.6105174916084026,-1.5304962351959668,661.8100852896694,279.6201705793388,0.15,0.45797344139336715,0.44999999999999996,0.0,0.4615562086326463,0.441757938908421,ball4_x-3.61_y-1.53_d0.15.png,1789086998.5354514,0.005208072724188639,-0.012549655181250863,-0.441757938908421,35.57120513916015,359.6080017089843,36.64360046386718,27998,94.40360265039557,"[668.5422530180728, 238.15622544467462]",12
ball4,1,0,-3.6105174916084026,-1.5304962351959668,661.8100852896694,279.6201705793388,0.3,0.6660287406140775,0.5999999999999999,0.0,0.7739187975837354,0.7951321071345034,ball4_x-3.61_y-1.53_d0.30.png,1789086999.7075014,0.010216461199041404,-0.02469595063862968,-0.7951321071345034,35.5708656311035,359.60986328125,36.49627685546875,75163,154.67749020213722,"[600.4227079813206, 265.79084123837526]",12
ball4,2,0,-0.6764981075850918,-3.0918247416428217,960.0,279.6201705793388,0.15,0.525787290019764,0.44999999999999996,0.0,0.4615562086326463,0.4387828428063131,ball4_x-0.68_y-3.09_d0.15.png,1789087003.0236661,-0.004167877685162224,-0.0007580868579617928,-0.4387828428063131,38.88143920898437,359.7203063964843,36.59865951538086,77588,157.1528792266561,"[902.0744573903181, 304.8830875908646]",12
ball4,2,0,-0.6764981075850918,-3.0918247416428217,960.0,279.6201705793388,0.3,0.7264813580744693,0.5999999999999999,0.0,0.7739187975837354,0.7542292972730508,ball4_x-0.68_y-3.09_d0.30.png,1789087004.583645,-0.00849378525373794,-0.024236315339832615,-0.7542292972730508,38.88858032226562,359.722442626953,36.45513916015625,109657,186.82855025197819,"[900.0639174881677, 306.89772654732485]",12
ball4,3,0,2.257521276438217,-4.653153248089676,1258.1899147103304,279.6201705793388,0.15,0.5921860184600156,0.44999999999999996,0.0,0.4615562086326463,0.36848016257890776,ball4_x+2.26_y-4.65_d0.15.png,1789087007.8997986,0.015037819100376737,-0.020888498313190597,-0.36848016257890776,42.21449661254883,359.837921142578,36.56802368164062,72668,152.08860183854574,"[1242.88353883415, 288.86560797049594]",12
ball4,3,0,2.257521276438217,-4.653153248089676,1258.1899147103304,279.6201705793388,0.3,0.7917744894213392,0.5999999999999999,0.0,0.7739187975837354,0.7456043210632032,ball4_x+2.26_y-4.65_d0.30.png,1789087009.0719836,0.010838269518446709,-0.03873768431525519,-0.7456043210632032,42.21554565429687,359.834747314453,36.41080093383789,119815,195.2902942112354,"[1225.6205650377665, 299.72315653298836]",12
