probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,0,0,-6.334260920042357,0.05546838916652108,367.1779373843766,283.17793738437655,0.15,0.15990924968989972,0.0,0.14068783142435007,0.17585948548930333,ball4_x-6.33_y+0.06_d0.15.png,1789047592.55916,-0.007107837424894114,0.005084381404964766,-0.17585948548930333,32.4122200012207,359.628936767578,36.63380432128906,7039,47.334799976842646,"[294.30956101718994, 218.60889330870862]",12
ball4,0,0,-6.334260920042357,0.05546838916652108,367.1779373843766,283.17793738437655,0.3,0.3347765745385871,0.0,0.3271577734411971,0.43866145169068604,ball4_x-6.33_y+0.06_d0.30.png,1789047593.9232402,-0.016071126498233213,0.009298266243715858,-0.43866145169068604,32.40950393676758,359.623779296875,36.48134613037109,20687,81.14725266750611,"[309.67573838642625, 219.86754966887418]",12
ball4,1,0,-3.595197933450445,-1.5108961188668852,663.5889686921882,283.17793738437655,0.15,0.1913412910644503,0.0,0.14068783142435007,0.15329860743853488,ball4_x-3.60_y-1.51_d0.15.png,1789047597.0473356,-0.01076726468817384,0.0032827298119729063,-0.15329860743853488,35.5635643005371,359.6390686035156,36.63050460815429,9487,54.95276053325822,"[638.2919784968905, 232.06788236534206]",12
ball4,1,0,-3.595197933450445,-1.5108961188668852,663.5889686921882,283.17793738437655,0.3,0.35998655806513824,0.0,0.3271577734411971,0.37364261241984875,ball4_x-3.60_y-1.51_d0.30.png,1789047598.4115407,-0.006916830485035419,0.005663703217725491,-0.37364261241984875,35.5662155151367,359.6364135742187,36.47603225708008,42196,115.8939340837614,"[598.0658830220874, 257.5551000094796]",12
ball4,2,0,-0.8561349468585321,-3.0772606269002925,960.0,283.17793738437655,0.15,0.21391035137475,0.0,0.14068783142435007,0.1434821273541445,ball4_x-0.86_y-3.08_d0.15.png,1789047601.5316,0.004210165178888658,-0.00879912050452134,-0.1434821273541445,38.73053741455078,359.6469421386718,36.62435150146484,27377,93.3507887168268,"[899.0866055448004, 283.7633049640209]",12
ball4,2,0,-0.8561349468585321,-3.0772606269002925,960.0,283.17793738437655,0.3,0.38827434732355925,0.0,0.3271577734411971,0.33290747498880646,ball4_x-0.86_y-3.08_d0.30.png,1789047602.8997943,0.0009937778926239816,0.0016696754121053204,-0.33290747498880646,38.7324638366699,359.6465759277343,36.46992874145508,61601,140.02930871359644,"[903.3212447849872, 288.56559146767097]",12
ball4,3,0,1.8829280397333807,-4.6436251349337,1256.4110313078118,283.17793738437655,0.15,0.24413051583809064,0.0,0.14068783142435007,0.13671271909560404,ball4_x+1.88_y-4.64_d0.15.png,1789047606.0199513,0.0036599911173684774,0.0014892026458381835,-0.13671271909560404,41.88568878173828,359.6438598632812,36.61382675170898,30940,99.23964872230495,"[1245.7022947640594, 256.72546864899806]",12
ball4,3,0,1.8829280397333807,-4.6436251349337,1256.4110313078118,283.17793738437655,0.3,0.41592483141800685,0.0,0.3271577734411971,0.26419407587820276,ball4_x+1.88_y-4.64_d0.30.png,1789047607.3879426,0.003590930809041737,-0.0009728754500926585,-0.26419407587820276,41.88570404052734,359.6564025878906,36.46504974365234,65817,144.74184529346914,"[1240.5245301365908, 262.6825744108665]",12
ball4,4,0,4.6219910263252935,-6.209989642967106,1552.8220626156235,283.17793738437655,0.15,0.27123400884350346,0.0,0.14068783142435007,0.114114656385172,ball4_x+4.62_y-6.21_d0.15.png,1789047610.5081332,-0.005145802052883041,-0.00674552273901714,-0.114114656385172,45.04137802124023,359.6720275878906,36.6155548095703,4119,36.20936924597049,"[1647.4804564214614, 182.8334547220199]",12
ball4,4,0,4.6219910263252935,-6.209989642967106,1552.8220626156235,283.17793738437655,0.3,0.4492332504758636,0.0,0.3271577734411971,0.2554378456916936,ball4_x+4.62_y-6.21_d0.30.png,1789047611.8723152,0.0015077394696270119,-0.007245671828191469,-0.2554378456916936,45.04411697387695,359.671630859375,36.4704360961914,20345,80.47368908164471,"[1562.468616367658, 297.7238633570902]",12
ball4,0,1,-4.977101701014181,2.428699246152193,367.1779373843766,540.0,0.15,0.10398845174297122,0.0,0.14068783142435007,0.20288602145379855,ball4_x-4.98_y+2.43_d0.15.png,1789047618.1166542,-0.01779333483547596,0.00432175303731519,-0.20288602145379855,32.4096221923828,362.3559265136718,36.65601348876953,4903,39.50535877522346,"[310.6226799918417, 521.2908423414236]",12
