probe,ix,iy,x_mm,y_mm,img_x_px,img_y_px,target_depth_mm,depth_mm,rung_depth_mm,surface_offset_mm,force_wanted_N,force_N,file,t_img,Fx,Fy,Fz,tcp_x,tcp_y,tcp_z,area_px,radius_px,centroid_px,diff_level
ball4,2,1,0.810984589988193,-0.6737567229798556,960.0,540.0,0.15,0.3242871052238101,0.3,0.0,0.0,0.16553934486758237,ball4_x+0.81_y-0.67_d0.15.png,1789049339.7123706,0.002676746255146867,0.004902144578835177,-0.16553934486758237,38.96381378173828,362.5762939453125,37.33715438842773,59301,137.39030009642227,"[892.5260788182325, 557.1347194819649]",12
ball4,2,1,0.810984589988193,-0.6737567229798556,960.0,540.0,0.3,0.31939358692824626,0.3,0.0,0.0,0.207758605404797,ball4_x+0.81_y-0.67_d0.30.png,1789049341.0764413,0.0014593540698552231,0.007686756048114774,-0.207758605404797,38.95969772338867,362.581298828125,37.33713912963867,58710,136.7039626998806,"[895.0867654573326, 558.1733946516778]",12
ball4,0,0,-7.262869870807464,-0.2275507047119003,356.7703906082885,272.77039060828844,0.15,0.3036333083638283,0.3,0.0,0.16553934486758237,0.2590895181744884,ball4_x-7.26_y-0.23_d0.15.png,1789049346.1487982,-0.01168334099674837,0.007936895299653912,-0.2590895181744884,31.74123954772949,358.923614501953,37.32849884033203,3540,33.568094927931476,"[285.4014124293785, 197.559604519774]",12
ball4,0,0,-7.262869870807464,-0.2275507047119003,356.7703906082885,272.77039060828844,0.3,0.33243613347781675,0.3,0.0,0.207758605404797,0.27478424356044967,ball4_x-7.26_y-0.23_d0.30.png,1789049347.5128033,-0.017495166860540222,0.0027341426927668167,-0.27478424356044967,31.74105262756347,358.924560546875,37.3294334411621,4301,37.00068675682228,"[282.8770053475936, 196.35224366426414]",12
ball4,1,0,-3.9708308703079895,-1.909020946669318,658.3851953041442,272.77039060828844,0.15,0.3414322555839213,0.3,0.0,0.16553934486758237,0.20126241166964576,ball4_x-3.97_y-1.91_d0.15.png,1789049350.8329144,0.006053067448051763,0.004828764379950279,-0.20126241166964576,35.44305419921875,359.1039733886718,37.31246948242187,10705,58.373858289455896,"[655.4957496496964, 218.81765530126108]",12
ball4,1,0,-3.9708308703079895,-1.909020946669318,658.3851953041442,272.77039060828844,0.3,0.3721598118263927,0.3,0.0,0.207758605404797,0.20644008888916118,ball4_x-3.97_y-1.91_d0.30.png,1789049352.3930664,0.008752640687121982,-0.009369540210962235,-0.20644008888916118,35.44109725952148,359.1171569824218,37.31497573852539,11823,61.34637547851509,"[656.3952465533282, 215.75843694493784]",12
ball4,2,0,-0.6787918698085149,-3.590491188626736,960.0,272.77039060828844,0.15,0.38095820816329606,0.3,0.0,0.16553934486758237,0.18445262838066015,ball4_x-0.68_y-3.59_d0.15.png,1789049355.7092776,0.014528336392945106,0.0004676824152454628,-0.18445262838066015,39.13594436645508,359.3006896972656,37.29824829101562,17610,74.86946704562918,"[893.7001703577513, 327.6455990914253]",12
ball4,2,0,-0.6787918698085149,-3.590491188626736,960.0,272.77039060828844,0.3,0.4114988356146725,0.3,0.0,0.207758605404797,0.17514316020285037,ball4_x-0.68_y-3.59_d0.30.png,1789049357.0732284,0.009987835526703038,-0.00857219086066543,-0.17514316020285037,39.13354873657226,359.299102783203,37.2963752746582,20293,80.3707815087527,"[893.979648154536, 327.17488789237666]",12
ball4,3,0,2.613247130690957,-5.2719614305841525,1261.6148046958556,272.77039060828844,0.15,0.41696884948213864,0.3,0.0,0.16553934486758237,0.18040440675418665,ball4_x+2.61_y-5.27_d0.15.png,1789049360.3894494,0.017798287126121082,0.002434103859317105,-0.18040440675418665,42.83179473876953,359.4893493652343,37.2871742248535,8594,52.30253494682162,"[1272.5735396788457, 308.31801256690716]",12
ball4,3,0,2.613247130690957,-5.2719614305841525,1261.6148046958556,272.77039060828844,0.3,0.4491318673756908,0.3,0.0,0.207758605404797,0.1786318411674131,ball4_x+2.61_y-5.27_d0.30.png,1789049361.9534626,0.015639973065994895,-0.007845510536646217,-0.1786318411674131,42.82882690429687,359.4848022460937,37.28065490722656,10142,56.81812092700713,"[1273.6725497929403, 308.77795306645635]",12
