step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.1141816444931294,0.1,0.03423768313629694,6.184814453125,nan,17665,74.98629301036732,15.40623950958252,17293,74.19253912474146,-15.429617881774902,0,0.0
2,0.171400481143408,0.2,0.11557298012441208,6.405956745147705,nan,30053,97.80678406675818,16.53227996826172,22941,85.45377170694306,-16.8626766204834,0,0.0
3,0.3445514453862586,0.30000000000000004,0.3712015542757257,7.17466926574707,2.954280317610225,50500,126.78584010953837,19.47003173828125,29854,97.48242581168611,-17.976749420166016,11306,59.99009562581091
4,0.3318809784210721,0.4,0.3732715826270464,7.614873886108398,3.8627574917874075,60670,138.9671212725175,20.55210304260254,34632,104.99384733553218,-17.818523406982422,16642,72.78264302614082
5,0.5598180394393673,0.5,1.1607992918339847,8.882241249084473,1.887394130221607,86429,165.86502088438914,23.022245407104492,44159,118.55904125788979,-17.461036682128906,29261,96.50940668983463
6,0.5733439474016961,0.6,1.330729068281522,10.017539978027344,2.229822899584332,108056,185.45968041996537,24.562910079956055,52141,128.8293280876254,-17.069244384765625,39777,112.52294140633119
7,0.6561767060701982,0.7,1.806848818578149,10.768917083740234,2.6295604850720453,120433,195.793295397908,25.642810821533203,53730,130.77763640873417,-17.131528854370117,45879,120.8459319473607
8,0.8292387506834125,0.7999999999999999,3.2002192995515886,12.19587516784668,1.1333597142033005,152705,220.4711118711378,26.205917358398438,42215,115.92002348709529,-14.996655464172363,58618,136.5968114866575
9,0.8478899785063163,0.8999999999999999,3.4503326265953094,12.7642822265625,1.1497787931864976,175340,236.24659879766705,25.77434730529785,41596,115.06701536800612,-15.244379997253418,63431,142.09403362043048
10,1.0193688214615513,0.9999999999999999,5.615954108653395,13.807826042175293,0.5946340766443643,183593,241.74256334816317,27.084474563598633,43697,117.93721675778643,-15.452187538146973,74698,154.19828753315258
11,1.0548350301776992,1.0999999999999999,6.2681513168246825,14.40871524810791,0.5580483598915619,199156,251.78030838971307,27.03473472595215,51326,127.81851672691731,-15.430947303771973,79975,159.5519763197832
12,1.1716026180060624,1.1249999999999998,8.468353444083665,14.878532409667969,0.3342432867464328,211155,259.25416875556374,26.933876037597656,54857,132.14206531753698,-15.651042938232422,83557,163.08592569519604
13,1.1229614406298083,1.1499999999999997,7.134232148204598,14.766426086425781,0.2025627445070526,210557,258.8867990168684,26.806821823120117,62675,141.24472420791184,-15.422882080078125,82729,162.2758718174049
14,1.1784510929103753,1.1749999999999996,8.598884649810879,15.062227249145508,0.15392390104996742,217010,262.82394944286267,26.920915603637695,58566,136.53621056056846,-15.723414421081543,84989,164.47747236893625
15,1.1699002218072572,1.1999999999999995,8.142643796986892,14.996438980102539,0.20627772544165532,216319,262.40517576715484,26.822895050048828,58479,136.43476035872197,-15.693683624267578,84621,164.12099463127365
16,1.219619778806937,1.2249999999999994,9.791434790944342,15.255956649780273,0.1584186114752736,222620,266.1994494025776,26.84109878540039,67111,146.15777355885103,-15.733052253723145,86748,166.17083380266067
17,1.2147918305844634,1.2499999999999993,9.291629030743062,15.184174537658691,0.15844125731901268,223056,266.4599969462801,26.71198272705078,67787,146.89204285712898,-15.64828109741211,86236,165.67972520784
18,1.2936993392605523,1.2749999999999992,12.344173108390356,15.351424217224121,0.0491235335045438,228416,269.64248730969075,26.52983283996582,70134,149.41333795084685,-15.791482925415039,86847,166.26562689083894
