step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.1074039436476788,0.1,0.057480676591629275,5.935206413269043,nan,4945,39.67420304402906,14.802562713623047,4927,39.6019293624381,-14.79977798461914,0,0.0
2,0.18027189244366681,0.2,0.07479372641277279,6.170202255249023,nan,19904,79.59673344178246,16.302473068237305,18128,75.96263302927142,-16.508630752563477,0,0.0
3,0.3319911270684486,0.30000000000000004,0.18630605648721996,6.628046989440918,4.922459403698687,36167,107.2954502931469,18.458213806152344,27852,94.15713966551309,-19.15048599243164,380,10.998079684646791
4,0.3710904552383454,0.4,0.21942215650556135,6.966671943664551,5.151415994615408,49640,125.70164179581494,18.969327926635742,35664,106.54672111735167,-19.53831672668457,2407,27.679810260267036
5,0.5300256980544944,0.5,0.42263366978991146,7.498289585113525,3.3072006636750504,66896,145.92346674250464,19.48125457763672,45453,120.28357849977627,-19.626331329345703,8942,53.35097939359179
6,0.5436166698671805,0.6,0.4350332650002343,7.931223392486572,3.6545219554190624,80002,159.5789068595083,19.861629486083984,51616,128.1791054940802,-19.641605377197266,13850,66.39722828285456
7,0.7629929035302041,0.7,0.8331946497401106,8.596718788146973,2.204194140097095,102027,180.21155001185028,20.31924057006836,63743,142.443066082605,-19.177921295166016,22661,84.93067956169243
8,0.7427697698780271,0.7999999999999999,0.8279181915782232,9.114426612854004,2.3236232357512074,118701,194.3803019853147,20.55555534362793,73245,152.69121655659094,-18.67336654663086,29237,96.46981985240508
9,0.943796724877199,0.8999999999999999,1.2669203620746317,9.854372024536133,2.277904254757823,133987,206.51727947101077,21.327144622802734,75430,154.9519755112639,-18.41046905517578,37414,109.12949226345894
10,0.9546454617255797,0.9999999999999999,1.342169854280573,10.397789001464844,2.2161013984954065,145570,215.25884449140392,21.90728759765625,75462,154.9848400044379,-18.32859992980957,44554,119.08811304673783
11,1.0652388682230303,1.0999999999999999,1.6871548658809616,10.9996337890625,2.422370831446619,154407,221.69635674945263,22.735883712768555,73925,153.3983648417959,-18.184289932250977,51665,128.23993243013481
12,1.154382316013212,1.2,1.9809108541536262,11.572482109069824,1.8363519593742554,164959,229.1464171986809,23.38149070739746,56196,133.74506482104042,-16.473867416381836,58841,136.8563919330786
13,1.2586814775348607,1.3,2.357945323994727,12.044061660766602,1.5428363613288902,173738,235.16488472091115,23.850915908813477,28648,95.49314959405851,-15.95369815826416,66088,145.03952481346028
14,1.3845955736084399,1.4000000000000001,2.9114800294579566,12.651535987854004,1.1549465387795368,182538,241.04698712951543,24.552949905395508,54143,131.279290703633,-16.323955535888672,73701,153.1657824764773
15,1.436143365483943,1.5000000000000002,3.137648913586793,13.04689884185791,1.2507553109415783,191978,247.20132550168853,24.735721588134766,55610,133.04590474975393,-16.267560958862305,78379,157.95192486702823
16,1.622445947309103,1.6000000000000003,4.052325632521925,13.592039108276367,0.7586916791248084,203209,254.32938025623764,25.11626434326172,54359,131.5408951735721,-16.301416397094727,85297,164.7752358876139
17,1.6448253699083573,1.7000000000000004,4.212961953724585,13.999722480773926,0.786977503341331,210807,259.0404450597365,25.385522842407227,52448,129.20803732960056,-16.207473754882812,91588,170.74356753857822
18,1.817245431635424,1.8000000000000005,5.266272933010308,14.48395824432373,0.635616347228025,220178,264.7354039794728,25.68280029296875,50870,127.24945544154377,-16.214887619018555,96078,174.87875012352484
19,1.8116543914750274,1.9000000000000006,5.20457557481956,14.69466495513916,0.5657651617978279,225050,267.6483511730683,25.75827407836914,50173,126.3746886029767,-16.158023834228516,99593,178.04897218097685
20,2.010674261555625,2.0000000000000004,6.656364452438527,15.16490364074707,0.399684184855388,235802,273.9673480214571,25.87625503540039,49686,125.75987040756611,-16.162694931030273,103616,181.60946331846162
21,1.969090699665248,2.0250000000000004,6.35178872362597,15.107035636901855,0.33367583948144214,236682,274.4780874345928,25.78500747680664,51011,127.42568659466326,-16.137317657470703,102641,180.75299451956656
22,2.0267668406765367,2.0500000000000003,6.834899700610498,15.273285865783691,0.3275985666140069,239522,276.11993871959686,25.865337371826172,49741,125.82945620429237,-16.21601104736328,103826,181.79340538896963
23,2.0142631439647793,2.075,6.6749127149806835,15.270696640014648,0.3676772729030816,239209,275.93946720999946,25.873788833618164,50172,126.37342920730269,-16.21484375,104308,182.21489403465029
24,2.0479437435019143,2.1,6.956692542738628,15.374265670776367,0.34963533404422353,240694,276.79465266713754,25.953920364379883,49778,125.87624682384175,-16.228092193603516,105663,183.39459507803898
25,2.0578395169836163,2.125,7.103019797640485,15.384531021118164,0.2795587618442007,241050,276.99927448389235,25.933176040649414,50374,126.62757285292281,-16.15114974975586,106428,184.0572861007368
26,2.1147951824639826,2.15,7.635299584359112,15.555597305297852,0.281754588243696,245114,279.32455932490734,26.031564712524414,50373,126.62631597237633,-16.10834503173828,106065,183.7431306963168
27,2.099748409297998,2.175,7.412985754382262,15.47838020324707,0.32020496278482974,243541,278.4268449540858,25.954614639282227,48937,124.80837672278318,-16.219993591308594,105942,183.63655943761077
28,2.1459863562496757,2.1999999999999997,7.907968221536317,15.586838722229004,0.21522373024035052,246065,279.86590028764573,25.99547004699707,48732,124.54668752523483,-16.054874420166016,107117,184.65210553456765
29,2.1429010319668507,2.2249999999999996,7.853974339664771,15.607477188110352,0.2475192527990923,247380,280.61272181450744,25.93895149230957,50647,126.97023590413009,-16.06603240966797,106171,183.83492303155907
30,2.1933347637629694,2.2499999999999996,8.438137290843892,15.694127082824707,0.17014925236015782,248928,281.48933078885716,26.01619529724121,41430,114.83718293564348,-23.854345321655273,106976,184.5305351002841
31,2.1875519865818127,2.2749999999999995,8.273066137224907,15.663491249084473,0.14546042419684246,247385,280.61555764707174,26.03103256225586,48736,124.55179891536382,-16.151660919189453,107659,185.11867554804058
32,2.2440839670967065,2.2999999999999994,8.997213378000172,15.749897003173828,0.11433322971569168,249936,282.0586813293147,25.999351501464844,49367,125.35551105250696,-16.06835174560547,107895,185.32146440658215
33,2.2364604739940894,2.3249999999999993,8.85616549587446,15.754462242126465,0.13001603738606815,250494,282.37336388144416,25.993757247924805,49101,125.01733368421479,-16.18597984313965,108896,186.1791432085508
34,2.301341053153454,2.349999999999999,9.803741873346155,15.909952163696289,0.17585064829719887,255428,285.1407680570305,25.918834686279297,51426,127.94297247949034,-16.082387924194336,108006,185.41676722229437
35,2.282087561704877,2.374999999999999,9.417949494959606,15.841745376586914,0.16345906933907342,253966,284.32356313635455,25.924161911010742,50590,126.89876729912694,-16.048690795898438,107784,185.22611255552954
