approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.3776435909754525,-0.0004945355597315787,-0.007149014163840661,0,25.37217068686677,0.4,False
1,0.7904212578393377,-0.009002289695159649,-0.016288411463469286,34147,25.37217068686677,0.4,False
1,0.8903676393755084,0.21229686584407373,0.19595995947382505,213572,25.37217068686677,0.02,True
1,0.8902978537493986,0.2923872996034989,0.27557419965621077,50806,25.37217068686677,0.02,True
1,0.9089374074576106,0.44560602072750405,0.428123240092097,80246,25.37217068686677,0.02,True
1,0.9205976520014367,0.49851362670031846,0.48004654567451155,92989,25.37217068686677,0.02,True
1,0.9445935975519681,0.67651214529806,0.6568128955939073,100247,25.37217068686677,0.02,True
1,0.9599150631351208,0.7899872612523732,0.7688574496877635,118609,25.37217068686677,0.02,True
1,0.9872090681718859,0.9742103756699044,0.9516855988197761,127415,25.37217068686677,0.02,True
1,0.9981333470445399,1.0577509551434936,1.0340250550114973,142004,25.37217068686677,0.02,True
1,1.023664062195646,1.2495648357912463,1.2243297773136164,148908,25.37217068686677,0.02,True
