axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.0798343469455205,-1.4989700358384987,0.013482730136923712,24.91443502944764,9,ball4_x-1.50.png,0.0002717744791731036,0.020139799231966647,-1.0798343469455205,0.37752673135873493,-1.6326967982788931,0.1057699478176577,-1.518425293412384,-0.826634539289602,0.0
x,-0.75,1.0442003475947985,-0.7377628411948994,0.009362331534254385,24.907264399741276,10,ball4_x-0.75.png,0.02095045425919757,0.002764441501154735,-1.0442003475947985,0.7953139588785019,-0.451131720422826,0.030908441884847097,-0.9451892244691894,-0.8293601494351015,0.0
x,0.0,1.0400972575997627,0.009380373360115664,0.0095128202035674,24.902624812231156,10,ball4_x+0.00.png,0.0058495001938542405,0.010947544380076123,-1.0400972575997627,0.5722490055424023,-0.18626863672636107,0.20500966247181118,-0.32292868004214204,-0.8193913860089072,0.0
x,0.75,1.1653829836102516,0.7572168327908776,0.0029203325918805943,24.873550376606612,10,ball4_x+0.75.png,-0.012112326474357716,0.005698443814610243,-1.1653829836102516,0.9360356844919399,0.4110878054271738,0.3011821621008881,0.6185746359459285,-0.9282620679625513,0.0
x,1.5,1.1299199872836851,1.506146460390757,0.002045402163125584,24.87489569216403,10,ball4_x+1.50.png,-0.005521535376274045,0.006428046574043655,-1.1299199872836851,0.777383273243204,1.1822681521000244,0.3287103563490046,1.1713118068183621,-0.8335005663949769,0.0
y,-1.5,1.0634931612931269,0.009405859559950977,-1.4939373090923944,24.840753922360484,13,ball4_y-1.50.png,-0.002586475818791456,0.025751365973944118,-1.0634931612931269,2.08173251555181,-0.08451682477009781,0.2546990357294554,-0.0172679359564841,-2.5767512112078728,0.0
y,-0.75,1.0849898127427848,-0.0013806873306297,-0.7382769515703704,24.86456666913197,11,ball4_y-0.75.png,-0.03172449007746998,0.025830479430566555,-1.0849898127427848,1.3457976406365617,-0.7613925846671254,0.33029115489373595,0.046085807629610065,-1.849276207799496,0.0
y,0.0,1.086973309592682,-0.0003512298102451427,0.015421637457875025,24.899234245737606,10,ball4_y+0.00.png,-0.028507094005407296,0.04244769380632381,-1.086973309592682,0.26729240675178734,-0.8605650014718802,0.7219475703499345,-0.12094030764220029,-1.2446925185938769,0.0
y,0.75,1.0925546719562789,-0.0036168475458458905,0.763235662002707,24.92095403628413,8,ball4_y+0.75.png,-0.03498979447350301,0.03559956039809915,-1.0925546719562789,-0.2818794751706738,-1.0803228809817045,0.38332987122777773,-0.1697061483128494,-0.5753723229353457,0.0
y,1.5,1.0280378835524915,-0.0007014810520764121,1.5183736238817533,24.96850478981864,7,ball4_y+1.50.png,-0.03098947488568484,0.04003953605740751,-1.0280378835524915,-0.9477306903727528,-1.0040603201599163,0.3753525912582045,-0.20569677382488152,-0.07425083718184908,0.0
