approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.37729578555148535,0.01110801248008971,0.022956641651632026,0,24.95110938829273,0.4,False
1,0.7546401989086995,-0.017268927463888552,-0.006835568075604215,0,24.95110938829273,0.4,False
1,1.1323956424702466,0.5040749632776765,0.513085280376066,2850,24.95110938829273,0.4,False
1,1.132986160090379,0.48836763129728183,0.49627121947914643,41027,24.95110938829273,0.02,True
1,1.1457513269003847,0.54712905249594,0.5539763105290518,43160,24.95110938829273,0.02,True
1,1.1732799745479525,0.616898413809342,0.6225689256476699,48641,24.95110938829273,0.02,True
1,1.2268300813799407,0.808752816745343,0.8133121014153261,51146,24.95110938829273,0.02,True
1,1.2422652869755524,0.8683958096479725,0.8714921803885176,59797,24.95110938829273,0.02,True
1,1.255017568414722,0.9118439496511743,0.9134866492733267,65293,24.95110938829273,0.02,True
1,1.2721748353136846,0.9804634150690877,0.980420702863043,66781,24.95110938829273,0.02,True
1,1.2963567118057284,1.0643072381664629,1.0624971251830686,70603,24.95110938829273,0.02,True
1,1.3105920781941798,1.1380484342851027,1.1342615554599746,75093,24.95110938829273,0.02,True
1,1.3345914007226582,1.2029631018989817,1.1971802458828535,78696,24.95110938829273,0.02,True
1,1.3526023184441023,1.281980310011494,1.2740882118414418,84930,24.95110938829273,0.02,True
