axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,2.0028279222534993,-1.4925774389577067,0.001453990602714568,23.15115874838016,22,ball4_x-1.50.png,0.0413180830949063,0.028506989172790043,-2.0028279222534993,1.154901388825022,-2.1175843020351026,0.282267594799146,-1.5468803129870858,-0.9144182378460469,0.0
x,-0.75,1.7171578479179204,-0.7477625934458002,0.01169000311551432,23.163349423896396,23,ball4_x-0.75.png,0.02808801220215429,0.06539539080681553,-1.7171578479179204,0.21211631896352057,-0.7984173936015748,0.09393903569687723,-0.8531512263289586,-1.027316132269181,0.0
x,0.0,1.7626185502154528,0.0038101202184806053,0.013077109079524795,23.161425639529607,23,ball4_x+0.00.png,0.0447412125622467,0.0583440628589905,-1.7626185502154528,0.46195279272502054,0.6792273942537563,0.17567451266948808,-0.2170408734696198,-1.0476231618170528,0.0
x,0.75,1.92517949361025,0.751592903511746,0.007520524948386717,23.158546366216665,22,ball4_x+0.75.png,0.04621035035704786,0.048543213431007,-1.92517949361025,0.8368957100086061,2.056911242613113,0.3019609927757738,0.49878900022326816,-1.0331044705646137,0.0
x,1.5,1.9330050303423065,1.4976699783370573,0.008696100516058864,23.16073705854443,22,ball4_x+1.50.png,0.0427941736435983,0.06614238722665426,-1.9330050303423065,0.44435665156643545,3.32940353155311,0.2389312183607828,1.197008020774199,-1.041917531848848,0.0
y,-1.5,1.792009053588029,-0.005040600050847678,-1.4827224759566098,23.11061053067521,6,ball4_y-1.50.png,0.030447197320134477,0.031673088662176954,-1.792009053588029,3.9067380972320653,0.3499673239899914,0.39138256799140514,-0.20792206241803382,-2.599538315839807,0.0
y,-0.75,1.7316537115036765,-0.0018793003332852254,-0.730196627003313,23.12875399621931,6,ball4_y-0.75.png,0.037536162553071864,0.05548194431134732,-1.7316537115036765,1.9553459496169712,0.35185576389645534,0.0907171420892805,-0.3112304658284302,-1.8895406436293574,0.0
y,0.0,1.902058859048131,0.007122221423948541,0.004372638266145637,23.14260761769458,23,ball4_y+0.00.png,0.03781892666388309,0.05400427109757135,-1.902058859048131,1.1737862733140758,0.6807985324454285,0.16532370283761644,-0.11393501908415994,-1.290918310088933,0.0
y,0.75,1.7455178109083902,0.0007799536977517384,0.7655071821937469,23.18696313331413,22,ball4_y+0.75.png,0.022661060153233235,0.09324756312593596,-1.7455178109083902,-1.2361100967683754,0.2115057008824056,0.2440558134492843,-0.18692511202170572,-0.5596153599337617,0.0
y,1.5,1.7856394098937671,0.004039224516357998,1.5114990666157793,23.22379811857051,20,ball4_y+1.50.png,0.03179078552194916,0.09510061022386936,-1.7856394098937671,-2.43836579496286,0.3556231254233544,0.2559564824763161,-0.22335311695843688,0.10162245100178169,0.0
