index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788885591.792849,1788885591.732849,normal_load,1,,2.0,0.00198,0.00228,-0.02603,-4e-05,-0.00013,0.00021,0.00147,0.00103,-0.02712,-8e-05,-0.0001,0.00021,0.00076,0.00255,-0.02607,3,37.8977,362.896,37.0552,179.9155,-0.2727,-99.1982,0.0041,24.7445,-0.0324
2,000002.png,False,1788885592.180831,1788885592.120831,normal_load,1,,2.0,-0.00831,-0.02318,-0.04469,0.0007,-0.00021,0.0002,-0.00886,-0.02453,-0.04586,0.00066,-0.00018,0.0002,0.0047,-0.02494,-0.04426,3,37.9137,362.8227,37.0296,179.9172,-0.2783,-99.1984,0.0092,24.7177,-0.0055
3,000003.png,False,1788885592.960768,1788885592.900768,normal_load,1,,2.0,-0.00395,-0.01659,-0.06929,0.00061,-9e-05,0.00011,-0.00459,-0.01814,-0.07064,0.00056,-5e-05,0.0001,0.00535,-0.01745,-0.06899,3,37.9239,362.8255,36.981,179.9151,-0.2717,-99.2002,0.0098,24.6691,0.0431
4,000004.png,False,1788885593.156773,1788885593.096773,normal_load,1,,2.0,-0.00538,-0.01259,-0.08805,0.00058,-4e-05,0.00017,-0.00603,-0.01418,-0.08944,0.00054,-0.0,0.00017,0.00224,-0.015,-0.08781,3,37.922,362.8283,36.9769,179.9152,-0.2719,-99.1999,0.0031,24.665,0.0471
5,000005.png,False,1788885593.352875,1788885593.292875,normal_load,1,,2.0,-0.00474,-0.02333,-0.26498,0.00084,-9e-05,0.00011,-0.00542,-0.02497,-0.26641,0.0008,-5e-05,0.00011,0.00939,-0.02682,-0.26453,3,37.9284,362.8148,36.8902,179.9174,-0.2781,-99.2004,0.0021,24.5781,0.134
6,000006.png,False,1788885593.544826,1788885593.484826,normal_load,1,,2.0,-0.00267,-0.01296,-0.28047,0.00066,0.0,8e-05,-0.00336,-0.01465,-0.28195,0.00062,4e-05,7e-05,0.00611,-0.01705,-0.2802,3,37.9274,362.8208,36.8881,179.9166,-0.276,-99.2004,0.0071,24.5761,0.136
7,000007.png,False,1788885593.740838,1788885593.680838,normal_load,1,,2.0,0.00139,-0.00748,-0.51015,0.00053,-0.00013,0.00015,0.00067,-0.00922,-0.51166,0.00048,-8e-05,0.00014,0.00847,-0.01396,-0.50994,3,37.9283,362.8205,36.8196,179.9166,-0.2765,-99.2008,0.0039,24.5076,0.2046
8,000008.png,False,1788885593.936927,1788885593.876927,normal_load,1,,2.0,0.00028,-0.00803,-0.5956,0.00068,2e-05,0.00017,-0.00045,-0.00982,-0.59716,0.00063,7e-05,0.00017,0.00838,-0.01635,-0.59537,3,37.9273,362.8225,36.8068,179.9162,-0.2755,-99.2006,0.0098,24.4949,0.2173
9,000009.png,False,1788885594.132806,1788885594.072806,normal_load,1,,2.0,0.01014,0.00687,-0.84694,0.00027,8e-05,-8e-05,0.00938,0.00503,-0.84854,0.00022,0.00012,-9e-05,0.01122,-0.00256,-0.84695,3,37.9295,362.8307,36.7556,179.9153,-0.2721,-99.2012,0.0035,24.4437,0.2684
10,000010.png,False,1788885594.328939,1788885594.268939,normal_load,1,,2.0,0.00884,0.00384,-0.85343,0.00026,-1e-05,6e-05,0.00806,0.00195,-0.85507,0.00021,3e-05,6e-05,0.01165,-0.00593,-0.85338,3,37.9293,362.8307,36.7536,179.9151,-0.2724,-99.2012,0.002,24.4418,0.2704
11,000011.png,False,1788885594.716927,1788885594.656927,normal_load,1,,2.0,0.00967,0.01795,-1.19674,0.00022,5e-05,6e-05,0.00886,0.01597,-1.19848,0.00017,0.0001,5e-05,0.00771,0.00121,-1.19689,3,37.9278,362.831,36.6883,179.9151,-0.2722,-99.2008,0.0043,24.3765,0.3357
12,000012.png,False,1788885594.912956,1788885594.852956,normal_load,1,,2.0,0.0172,0.02176,-1.46118,0.00031,-4e-05,5e-05,0.01636,0.01973,-1.46295,0.00026,1e-05,4e-05,0.01416,0.00404,-1.46137,3,37.9287,362.8365,36.6636,179.9147,-0.2705,-99.2012,0.0099,24.3519,0.3603
13,000013.png,False,1788885595.108930,1788885595.048930,normal_load,1,,2.0,0.0153,0.01304,-1.57873,0.00041,-0.0,-1e-05,0.01444,0.01096,-1.58055,0.00035,5e-05,-2e-05,0.01768,-0.00635,-1.57875,3,37.9315,362.8319,36.6419,179.9153,-0.2728,-99.2015,0.0049,24.3301,0.3821
14,000014.png,False,1788885595.300944,1788885595.240944,normal_load,1,,2.0,0.01828,0.02056,-1.64304,0.0003,-0.00012,-0.0001,0.0174,0.01843,-1.64489,0.00024,-7e-05,-0.00011,0.01695,0.00062,-1.64318,3,37.9309,362.8328,36.6324,179.9153,-0.2721,-99.2015,0.004,24.3206,0.3915
