axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,1.9057252418681485,-1.4952354265816468,0.004266351106051935,23.484353559233387,12,ball8_x-1.50.png,0.04496360707689391,0.045695106457281476,-1.9057252418681485,1.1755827989390315,-3.3088007268640305,0.03277149038631855,-2.299052974130193,-1.1888358849930782,0.0
x,-0.75,1.8673288389113025,-0.7431779901733612,0.005937720235815412,23.490951395419657,12,ball8_x-0.75.png,0.0319157931949892,0.07006547028067481,-1.8673288389113025,0.6218774784615189,-2.1358413246657046,-0.2664168371858011,-1.5515002362597212,-1.2280752113734397,0.0
x,0.0,1.753783441088359,0.00905083048068805,0.009265990556662204,23.50271491163341,12,ball8_x+0.00.png,0.04166007708309536,0.07957757131620032,-1.753783441088359,0.353047597743969,-0.47237046178496833,-0.14682675213704144,-0.8359815309519687,-1.2836774062354963,0.0
x,0.75,1.6663797542562804,0.751923894697336,0.01098239968569086,23.520916865270014,11,ball8_x+0.75.png,0.01343700543863342,0.07529488744351998,-1.6663797542562804,0.5728295024300917,0.3024513330620787,-0.12867099910915947,-0.010846985135114461,-1.4215936505399205,0.0
x,1.5,1.7327960923918113,1.5090369797967695,0.004302696938301123,23.526633029656338,11,ball8_x+1.50.png,0.03313988987020089,0.06073464722849327,-1.7327960923918113,0.9282898713103976,1.9015241150354216,0.18992707266889397,0.6411629673934385,-1.3718031040404337,0.0
y,-1.5,2.001693104197898,0.00809500748057212,-1.501582965683894,23.437693868162594,14,ball8_y-1.50.png,0.050588978801432205,0.02608021190803562,-2.001693104197898,4.951911909702633,-0.44491488759474673,0.16088852412075028,-0.8251340547855808,-2.7846574804369983,0.0
y,-0.75,1.8711078326811077,0.009333166337247395,-0.7478611709169387,23.467004943204362,13,ball8_y-0.75.png,0.06070391123842604,0.04210620127591689,-1.8711078326811077,3.1003378147019753,-0.07224654586469592,-0.17785691761491584,-0.8125018395222889,-2.1937483775419726,0.0
y,0.0,1.7695969100056517,0.011155859657007619,0.004937594286186913,23.497568655524326,12,ball8_y+0.00.png,0.061100780901647056,0.045022238418543914,-1.7695969100056517,1.6136282176743815,-0.019121770118313286,-0.0950388398848645,-0.8344390221342685,-1.5187579463493572,0.0
y,0.75,2.0153888737216676,-0.004990847852864624,0.7524790787579791,23.519481864055987,10,ball8_y+0.75.png,0.03167773667934064,0.0574827694786821,-2.0153888737216676,0.04768824167407093,-0.977728311506873,-0.1598116601259303,-0.8600670275047864,-0.7040244721038572,0.0
y,1.5,1.6760913331061915,-0.0012894943870368058,1.5131490289432132,23.568412386464832,9,ball8_y+1.50.png,0.03200440269760137,0.07259263492208046,-1.6760913331061915,-1.6692250179588308,-0.8103280444304639,0.15883849449149778,-0.9389473686970523,-0.03722994337931975,0.0
