t,x,y,z,rx,ry,rz
1788868602.028316,37.5319,363.6516,93.4666,179.7579,1.5504,-94.7976
1788868602.048385,37.5311,363.6531,93.4672,179.7577,1.5505,-94.7974
1788868602.068474,37.5328,363.6511,93.4653,179.7578,1.5501,-94.7976
1788868602.088620,37.5318,363.6519,93.4666,179.7581,1.55,-94.7976
1788868602.108798,37.5321,363.6533,93.4672,179.7581,1.5506,-94.7976
1788868602.128885,37.5319,363.6516,93.4666,179.7579,1.5504,-94.7976
1788868602.149046,37.5331,363.6523,93.4663,179.758,1.5502,-94.798
1788868602.169120,37.5334,363.6509,93.467,179.758,1.5502,-94.798
1788868602.214449,37.5316,363.6532,93.4672,179.7579,1.5506,-94.7974
1788868602.234697,37.5317,363.6524,93.4663,179.758,1.5502,-94.7976
1788868602.254821,37.5322,363.6528,93.4676,179.7581,1.5504,-94.7976
1788868602.274900,37.5334,363.6507,93.4657,179.7581,1.55,-94.7978
1788868602.295027,37.5334,363.6509,93.467,179.758,1.5502,-94.7978
1788868602.315116,37.5317,363.6526,93.4676,179.7579,1.5504,-94.7976
1788868602.335277,37.5325,363.6527,93.4659,179.7577,1.5503,-94.798
1788868602.355452,37.533,363.653,93.4672,179.7579,1.5506,-94.7978
1788868602.375548,37.5331,363.6525,93.4676,179.7579,1.5504,-94.798
1788868602.395797,37.5326,363.6524,93.4676,179.7577,1.5503,-94.7978
1788868602.415885,37.5311,363.6529,93.4659,179.7577,1.5503,-94.7976
1788868602.436086,37.5336,363.6495,93.4647,179.7581,1.55,-94.7976
1788868602.458221,37.5338,363.6513,93.4653,179.7582,1.5502,-94.798
1788868602.478410,37.5314,363.6512,93.4653,179.7578,1.5501,-94.7976
1788868602.498551,37.5331,363.6527,93.4689,179.7579,1.5506,-94.798
1788868602.518710,37.5331,363.6523,93.4663,179.758,1.5502,-94.7976
1788868602.538794,37.5333,363.6514,93.4666,179.7579,1.5504,-94.7978
1788868602.558882,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868602.578968,37.533,363.6528,93.4659,179.7579,1.5504,-94.7978
1788868602.599029,37.5325,363.6527,93.4659,179.7577,1.5503,-94.798
1788868602.619098,37.533,363.6528,93.4659,179.7579,1.5504,-94.798
1788868602.639179,37.5326,363.6524,93.4676,179.7577,1.5503,-94.7978
1788868602.679562,37.5335,363.6531,93.4672,179.7581,1.5506,-94.7976
1788868602.699747,37.5316,363.6532,93.4672,179.7579,1.5506,-94.7978
1788868602.719804,37.5312,363.6526,93.4676,179.7577,1.5503,-94.7978
1788868602.740174,37.5326,363.6524,93.4676,179.7577,1.5503,-94.7978
1788868602.760329,37.533,363.653,93.4672,179.7579,1.5506,-94.7978
1788868602.780514,37.5337,363.6521,93.468,179.7582,1.5502,-94.7978
1788868602.800680,37.5343,363.6507,93.467,179.7578,1.5501,-94.798
1788868602.820841,37.5328,363.6513,93.4666,179.7577,1.5503,-94.7976
1788868602.841026,37.5326,363.6522,93.4663,179.7578,1.5501,-94.7978
1788868602.861169,37.5345,363.6524,93.4676,179.7579,1.5504,-94.798
1788868602.881332,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868602.901474,37.5331,363.6523,93.4663,179.758,1.5502,-94.798
1788868602.921635,37.5334,363.6509,93.467,179.758,1.5502,-94.7978
1788868602.941806,37.5345,363.6524,93.4676,179.7579,1.5504,-94.798
1788868602.962952,37.5326,363.6524,93.4676,179.7577,1.5503,-94.7978
1788868602.983037,37.5323,363.6538,93.4669,179.7577,1.5503,-94.798
1788868603.003198,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868603.023284,37.5333,363.6512,93.4653,179.758,1.5502,-94.798
1788868603.043366,37.5326,363.6524,93.4676,179.7577,1.5503,-94.798
1788868603.063531,37.5326,363.6522,93.4663,179.7578,1.5501,-94.7978
1788868603.083649,37.5331,363.6527,93.4689,179.7579,1.5506,-94.798
1788868603.103728,37.5332,363.6518,93.4666,179.7581,1.55,-94.7978
1788868603.123795,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868603.143832,37.5346,363.6546,93.4678,179.758,1.5509,-94.798
1788868603.163911,37.5331,363.6523,93.4663,179.758,1.5502,-94.7978
1788868603.185088,37.5326,363.6524,93.4676,179.7577,1.5503,-94.7978
1788868603.205175,37.5325,363.6527,93.4659,179.7577,1.5503,-94.7978
1788868603.225247,37.5334,363.6507,93.4657,179.7581,1.55,-94.7978
1788868603.245421,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868603.265586,37.5331,363.6523,93.4663,179.758,1.5502,-94.798
1788868603.285762,37.5326,363.6524,93.4676,179.7577,1.5503,-94.7978
1788868603.305860,37.5331,363.6523,93.4663,179.758,1.5502,-94.7978
1788868603.325943,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868603.346020,37.533,363.653,93.4672,179.7579,1.5506,-94.7978
1788868603.366196,37.5339,363.6528,93.4672,179.7577,1.5505,-94.7978
1788868603.386356,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868603.406437,37.533,363.653,93.4672,179.7579,1.5506,-94.7978
1788868603.426527,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868603.446595,37.5333,363.6514,93.4666,179.7579,1.5504,-94.7978
1788868603.466706,37.5331,363.6525,93.4676,179.7579,1.5504,-94.7978
1788868603.486771,37.5348,363.6505,93.4657,179.7581,1.55,-94.798
1788868603.506831,37.5325,363.6527,93.4659,179.7577,1.5503,-94.7978
1788868603.526923,37.5328,363.6513,93.4666,179.7577,1.5503,-94.7976
