index,file,missing,t_img,t_exposure_start,segment,cycle,axis,target_N,Fx_s,Fy_s,Fz_s,Tx_s,Ty_s,Tz_s,Fx_s_corr,Fy_s_corr,Fz_s_corr,Tx_s_corr,Ty_s_corr,Tz_s_corr,Fx_base,Fy_base,Fz_base,ft_chunks,tcp_x,tcp_y,tcp_z,rx,ry,rz,pose_gap_s,height_above_plane_mm,depth_mm
1,000001.png,False,1788873679.228886,1788873679.168886,normal_load,1,,2.0,-0.00199,0.00819,-0.02137,7e-05,0.00019,0.00018,-0.00114,0.00835,-0.02142,5e-05,0.00016,0.00018,-0.00567,0.00576,-0.0215,3,37.9079,362.8495,36.9491,179.2484,0.3599,-95.9124,0.0056,24.6377,-0.0184
2,000002.png,False,1788873679.812853,1788873679.752853,normal_load,1,,2.0,-0.00583,0.00762,-0.02014,1e-05,0.00016,0.0002,-0.00488,0.0078,-0.02021,-1e-05,0.00012,0.00019,-0.00872,0.00337,-0.02026,3,37.9286,362.7856,36.9126,179.2491,0.3571,-95.9135,0.0051,24.6,0.0193
3,000003.png,False,1788873680.008850,1788873679.948850,normal_load,1,,2.0,-0.01021,-0.00864,-0.13351,0.00051,-2e-05,0.00019,-0.00923,-0.00846,-0.13358,0.00048,-6e-05,0.00019,-0.0036,-0.01472,-0.13332,3,37.9369,362.7439,36.7827,179.2525,0.3452,-95.9135,0.0068,24.4694,0.1499
4,000004.png,False,1788873680.200861,1788873680.140861,normal_load,1,,2.0,-0.00443,0.00103,-0.20113,0.00022,-1e-05,0.0002,-0.00341,0.00122,-0.2012,0.0002,-5e-05,0.0002,-0.00296,-0.00454,-0.20111,3,37.9354,362.7544,36.7572,179.2515,0.3488,-95.9139,0.0037,24.4441,0.1752
5,000005.png,False,1788873680.396923,1788873680.336923,normal_load,1,,2.0,-0.0005,0.012,-0.35966,2e-05,8e-05,0.00054,0.00055,0.01219,-0.35973,-1e-05,4e-05,0.00054,-0.00393,0.00438,-0.35981,3,37.936,362.7607,36.6968,179.2508,0.352,-95.9139,0.004,24.3838,0.2356
6,000006.png,False,1788873680.592867,1788873680.532867,normal_load,1,,2.0,0.00634,0.03378,-0.59347,-0.00038,4e-05,0.0004,0.00743,0.03398,-0.59354,-0.00041,-1e-05,0.00039,-0.00727,0.02292,-0.59397,3,37.9349,362.7698,36.6309,179.2503,0.3538,-95.9139,0.0093,24.318,0.3013
7,000007.png,False,1788873680.788831,1788873680.728831,normal_load,1,,2.0,0.008,0.04236,-0.79669,-0.00055,9e-05,0.00035,0.00912,0.04257,-0.79676,-0.00058,5e-05,0.00035,-0.00871,0.02792,-0.79732,3,37.9327,362.7749,36.5747,179.2496,0.3546,-95.9139,0.0055,24.2619,0.3574
8,000008.png,False,1788873680.984917,1788873680.924917,normal_load,1,,2.0,0.01335,0.05677,-0.93644,-0.00066,0.00021,0.0005,0.0145,0.05698,-0.93652,-0.00069,0.00016,0.0005,-0.0103,0.04083,-0.93731,3,37.932,362.7809,36.5555,179.2492,0.3569,-95.9137,0.0004,24.2429,0.3764
9,000009.png,False,1788873681.176934,1788873681.116934,normal_load,1,,2.0,0.0194,0.07613,-1.192,-0.00122,0.00011,0.00034,0.02059,0.07635,-1.19208,-0.00125,7e-05,0.00034,-0.01297,0.05653,-1.19317,3,37.9306,362.789,36.5083,179.2482,0.3603,-95.9137,0.0086,24.1958,0.4235
10,000010.png,False,1788873681.372936,1788873681.312937,normal_load,1,,2.0,0.0199,0.0759,-1.18275,-0.00116,0.00019,0.00047,0.02112,0.07613,-1.18283,-0.00119,0.00015,0.00046,-0.01248,0.05673,-1.18392,3,37.9321,362.7884,36.5035,179.2484,0.3596,-95.9139,0.0001,24.191,0.4283
11,000011.png,False,1788873681.568965,1788873681.508965,normal_load,1,,2.0,0.02468,0.08828,-1.47482,-0.00124,0.00015,0.00048,0.02594,0.08851,-1.47491,-0.00128,0.0001,0.00047,-0.0125,0.06516,-1.47618,3,37.9305,362.7917,36.4625,179.2481,0.3609,-95.9137,0.0055,24.1501,0.4693
12,000012.png,False,1788873681.764971,1788873681.704971,normal_load,1,,2.0,0.02196,0.08478,-1.67589,-0.00128,-7e-05,0.0004,0.02325,0.08502,-1.67597,-0.00131,-0.00013,0.0004,-0.01171,0.05755,-1.67714,3,37.9314,362.7875,36.4314,179.2487,0.3586,-95.9139,0.0078,24.1189,0.5004
13,000013.png,False,1788873681.956834,1788873681.896834,normal_load,1,,2.0,0.02699,0.09808,-1.72973,-0.00166,-9e-05,0.00022,0.02831,0.09832,-1.72982,-0.0017,-0.00015,0.00022,-0.01363,0.07072,-1.73122,3,37.9309,362.7946,36.4178,179.248,0.3611,-95.9139,0.0017,24.1054,0.5139
14,000014.png,False,1788873682.348850,1788873682.288850,normal_load,1,,2.0,0.03303,0.11045,-2.00655,-0.00173,3e-05,0.0003,0.03442,0.11071,-2.00664,-0.00176,-2e-05,0.0003,-0.01266,0.08003,-2.00822,3,37.9296,362.7983,36.381,179.2479,0.3622,-95.9139,0.0072,24.0686,0.5507
15,000015.png,False,1788873682.544853,1788873682.484853,normal_unload,1,,0.0,0.03442,0.10994,-1.95206,-0.00189,-6e-05,0.00022,0.03584,0.1102,-1.95215,-0.00193,-0.00012,0.00021,-0.01158,0.08114,-1.95373,3,37.9306,362.797,36.3795,179.2478,0.362,-95.9139,0.0015,24.0672,0.5521
16,000016.png,False,1788873682.740986,1788873682.680986,normal_unload,1,,0.0,0.03159,0.10852,-1.94317,-0.00167,4e-05,0.00022,0.03304,0.10879,-1.94327,-0.00171,-2e-05,0.00022,-0.01339,0.07864,-1.94482,3,37.929,362.7971,36.3812,179.2476,0.3619,-95.9139,0.004,24.0689,0.5505
17,000017.png,False,1788873682.932981,1788873682.872982,normal_unload,1,,0.0,0.03458,0.10752,-1.8945,-0.00167,9e-05,0.00024,0.03607,0.1078,-1.8946,-0.00171,3e-05,0.00023,-0.01063,0.08005,-1.89614,3,37.9296,362.7969,36.3845,179.2474,0.3623,-95.9139,0.0063,24.0721,0.5472
18,000018.png,False,1788873683.129003,1788873683.069003,normal_unload,1,,0.0,0.02825,0.09785,-1.86443,-0.00146,-1e-05,0.00029,0.02977,0.09813,-1.86453,-0.0015,-6e-05,0.00029,-0.01149,0.06899,-1.8659,3,37.9303,362.7957,36.3853,179.2477,0.3615,-95.9141,0.0006,24.073,0.5464
19,000019.png,False,1788873683.324996,1788873683.264996,normal_unload,1,,0.0,0.02567,0.09143,-1.83511,-0.00125,4e-05,0.0003,0.02723,0.09172,-1.83521,-0.00129,-2e-05,0.00029,-0.01072,0.06262,-1.83646,3,37.9313,362.7897,36.3856,179.2481,0.36,-95.9143,0.0096,24.0731,0.5462
20,000020.png,False,1788873683.520981,1788873683.460981,normal_unload,1,,0.0,0.01917,0.06827,-1.74714,-0.00072,-5e-05,0.00028,0.02075,0.06857,-1.74725,-0.00076,-0.00011,0.00027,-0.0054,0.04072,-1.7481,3,37.9339,362.7828,36.3933,179.2489,0.3573,-95.9146,0.0026,24.0807,0.5386
21,000021.png,False,1788873683.712991,1788873683.652992,normal_unload,1,,0.0,0.01929,0.07037,-1.73238,-0.00068,-1e-05,0.00031,0.02091,0.07068,-1.73249,-0.00072,-7e-05,0.0003,-0.00644,0.04284,-1.73338,3,37.9337,362.7841,36.3976,179.2489,0.3571,-95.9146,0.0076,24.0851,0.5343
22,000022.png,False,1788873683.908999,1788873683.849000,normal_unload,1,,0.0,0.01833,0.05978,-1.64491,-0.00065,-3e-05,0.00027,0.01998,0.06009,-1.64503,-0.00069,-0.0001,0.00026,-0.00259,0.03458,-1.64573,3,37.9345,362.7803,36.4033,179.2492,0.356,-95.9146,0.0069,24.0907,0.5287
23,000023.png,False,1788873684.105000,1788873684.045000,normal_unload,1,,0.0,0.01736,0.05198,-1.50574,-0.00038,9e-05,0.00029,0.01905,0.05229,-1.50586,-0.00042,2e-05,0.00029,-0.00049,0.02957,-1.50645,3,37.9372,362.7788,36.4191,179.2495,0.3552,-95.9152,0.0013,24.1064,0.5129
24,000024.png,False,1788873684.301017,1788873684.241017,normal_unload,1,,0.0,0.02075,0.05255,-1.46485,-0.00039,7e-05,0.00022,0.02247,0.05287,-1.46497,-0.00044,1e-05,0.00022,0.00188,0.03241,-1.46558,3,37.9377,362.7791,36.4297,179.2493,0.3565,-95.915,0.0042,24.117,0.5023
25,000025.png,False,1788873684.493011,1788873684.433012,normal_unload,1,,0.0,0.0219,0.05037,-1.32738,-0.00044,9e-05,0.00041,0.02365,0.0507,-1.3275,-0.00048,2e-05,0.00041,0.00301,0.0333,-1.3281,3,37.9386,362.7785,36.4419,179.2494,0.3561,-95.9154,0.0063,24.1292,0.4901
26,000026.png,False,1788873684.689063,1788873684.629063,normal_unload,1,,0.0,0.02364,0.05841,-1.21002,-0.00078,0.00026,0.00028,0.02543,0.05875,-1.21014,-0.00082,0.00019,0.00028,-0.00032,0.04302,-1.2109,3,37.9361,362.7862,36.4578,179.2489,0.3571,-95.9152,0.005,24.1452,0.4741
27,000027.png,False,1788873684.885036,1788873684.825037,normal_unload,1,,0.0,0.02143,0.05723,-1.14554,-0.0007,0.00023,0.00038,0.02325,0.05757,-1.14567,-0.00074,0.00016,0.00037,-0.00209,0.04192,-1.1464,3,37.9377,362.7829,36.4658,179.2493,0.3567,-95.9154,0.0095,24.1532,0.4661
28,000028.png,False,1788873685.081030,1788873685.021030,normal_unload,1,,0.0,0.02282,0.0519,-0.99512,-0.00072,0.00039,0.00044,0.02467,0.05225,-0.99525,-0.00077,0.00031,0.00044,0.00073,0.04041,-0.99592,3,37.9385,362.7834,36.4898,179.2494,0.3563,-95.9154,0.0042,24.1772,0.4422
29,000029.png,False,1788873685.277055,1788873685.217055,normal_unload,1,,0.0,0.0233,0.04895,-0.94391,-0.00064,0.00039,4e-05,0.02519,0.04931,-0.94404,-0.00069,0.00032,3e-05,0.00227,0.03892,-0.94466,3,37.9394,362.7824,36.4928,179.2492,0.356,-95.9156,0.0014,24.1801,0.4392
30,000030.png,False,1788873685.469086,1788873685.409086,normal_unload,1,,0.0,0.02444,0.04776,-0.81223,-0.0006,0.00059,0.00018,0.02636,0.04812,-0.81236,-0.00065,0.00051,0.00017,0.00294,0.04057,-0.81298,3,37.9396,362.7851,36.5164,179.2492,0.3562,-95.9159,0.0091,24.2038,0.4156
31,000031.png,False,1788873685.665066,1788873685.605067,normal_unload,1,,0.0,0.02335,0.03651,-0.80242,-0.00043,0.00044,5e-05,0.0253,0.03687,-0.80256,-0.00048,0.00036,4e-05,0.00755,0.03043,-0.80298,3,37.9417,362.7795,36.5165,179.2496,0.3555,-95.9161,0.0039,24.2038,0.4155
32,000032.png,False,1788873685.861056,1788873685.801056,normal_unload,1,,0.0,0.01891,0.03219,-0.57949,-0.00041,0.0005,0.00026,0.0209,0.03256,-0.57963,-0.00047,0.00042,0.00026,0.00431,0.02804,-0.58,3,37.9428,362.7777,36.5571,179.2493,0.3556,-95.9163,0.0018,24.2443,0.375
33,000033.png,False,1788873686.057102,1788873685.997102,normal_unload,1,,0.0,0.01846,0.03376,-0.64515,-0.00029,0.0005,0.00032,0.02049,0.03414,-0.64529,-0.00034,0.00042,0.00031,0.0036,0.02813,-0.64567,3,37.9425,362.779,36.5573,179.2498,0.3557,-95.9165,0.0076,24.2446,0.3748
