step,depth_mm,commanded_mm,force_N,img_mean_abs_diff,slope_levels_per_N,area_px,radius_px,region_mean_diff,dark_area_px,dark_radius_px,dark_mean_diff,bright_area_px,bright_radius_px
1,0.10666594668869678,0.1,-0.009445611634231455,6.657857894897461,nan,19127,78.02764377473771,16.457883834838867,19079,77.92967546769678,-16.46319007873535,0,0.0
2,0.18754499650755818,0.2,0.04913301648475397,6.922339916229248,nan,30816,99.04058487630056,18.876300811767578,27993,94.39517277881774,-19.261320114135742,0,0.0
3,0.3080615457523699,0.30000000000000004,0.21544726926610452,7.392342567443848,3.1694091614877795,43264,117.35143337793332,21.335044860839844,35727,106.64078630471687,-21.650772094726562,2401,27.645289593840058
4,0.3581018118917285,0.4,0.3031424871962912,7.777746677398682,3.296706458666996,55876,133.36372520444039,22.190723419189453,34980,105.52004462996118,-23.513364791870117,4726,38.78572575193862
5,0.5338624678072605,0.5,0.6513476065974316,8.624883651733398,2.7153174024034903,74746,154.24782252172514,24.084474563598633,44399,118.88078329433283,-24.35143280029297,9248,54.25615013459485
6,0.5575321074507436,0.6,0.7771663909501598,9.13537883758545,2.771764501538107,85375,164.85055818207329,24.773101806640625,50082,126.26003215529688,-24.501028060913086,11597,60.75721973620436
7,0.7090327911060008,0.7,1.192118367171966,9.852176666259766,2.1341531584818214,99974,178.38921649398623,25.612764358520508,57640,135.45250769045842,-24.773380279541016,22549,84.72053838095162
8,0.7429690082467673,0.7999999999999999,1.3488220641297517,10.489557266235352,2.2375741998067227,114206,190.6643618023725,26.072118759155273,55072,132.40076303372922,-25.792516708374023,26184,91.29417319761637
9,0.8855310415120243,0.8999999999999999,1.9067726409596588,11.248315811157227,1.7965914592847254,133588,206.20955621774718,26.148544311523438,63912,142.63176871152663,-25.19011688232422,32631,101.91550370803881
10,0.9238187378740541,0.9999999999999999,2.0240276477079533,11.830795288085938,1.7891563110036537,146009,215.58318156064283,26.492212295532227,69406,148.63585018585582,-25.03603172302246,36246,107.41256972355552
11,1.0963537278637787,1.0999999999999999,2.769213388302873,12.824258804321289,1.6511889343523696,166698,230.35108293009074,26.95908546447754,79719,159.2964086747897,-24.47191619873047,41944,115.54734902235064
12,1.1505186105351086,1.2,2.9582840534274255,13.574143409729004,1.7151832097862845,178808,238.57148641183264,27.63025665283203,84968,164.45715067841937,-24.339540481567383,46513,121.67804952441773
13,1.2241685535140974,1.3,3.259821127868608,14.281752586364746,2.913178346112579,188439,244.91222232176844,28.250980377197266,112949,189.61219194601642,-22.644691467285156,50457,126.7318504843022
14,1.36729623661709,1.4000000000000001,4.021018940173116,15.378231048583984,1.6476014599846434,202948,254.16599847585425,29.326770782470703,91542,170.70068424302394,-20.691652297973633,59154,137.21990747452045
15,1.4308895284666399,1.5000000000000002,4.148043501833049,16.238059997558594,1.9367999383637222,214500,261.29958014972607,29.987064361572266,95273,174.14458873702705,-20.541934967041016,65695,144.60763455932792
16,1.5758314231553605,1.6000000000000003,4.998738737106126,17.405241012573242,1.8186500977704447,228178,269.5019725524193,31.02773666381836,99011,177.52797002428463,-20.67112159729004,72763,152.18798325883407
17,1.6305633415463134,1.7000000000000004,5.1836539710542295,18.300750732421875,1.7999976559165214,236793,274.5424427645357,31.937782287597656,103233,181.27350738707315,-21.026599884033203,78361,157.93378673117422
18,1.7696310251195833,1.8000000000000005,6.106543560655803,19.417112350463867,1.6206289592007646,249263,281.67867714796984,32.84591293334961,109833,186.9784204907729,-21.212514877319336,93882,172.86864589828497
19,1.7659892145530662,1.8250000000000004,5.63176981464238,19.847274780273438,1.1886840652663373,254045,284.36778128958474,33.181026458740234,114121,190.59339579634016,-21.074750900268555,96299,175.079763906663
20,1.844680591444284,1.9250000000000005,6.264559896095252,20.632476806640625,0.7447507030336482,261708,288.62474546266384,33.81412124633789,115011,191.33514658808494,-21.352455139160156,100531,178.88546941532917
21,1.904635647882504,1.9500000000000004,6.4690832610842275,21.20496368408203,1.5312641942669145,267498,291.8000307306215,34.279945373535156,119290,194.86196735860077,-21.413347244262695,102472,180.60412691028242
22,1.9104627180645508,1.9750000000000003,6.261582261311398,21.482810974121094,0.6702531474213567,271061,293.7369504486361,34.40901565551758,121287,196.4862620275866,-21.4984073638916,103079,181.13824763958317
23,1.9494981403479592,2.0000000000000004,6.617518038344019,21.85774803161621,0.9004900349370214,271048,293.7299065984669,34.92838668823242,119553,195.07665627370878,-21.700183868408203,105098,182.9036151040871
24,1.9595498970316427,2.0250000000000004,6.516607671320972,22.08704376220703,1.309536026655361,275400,296.07860891157935,34.92346954345703,121928,197.00479131893528,-21.652767181396484,104702,182.55870755243436
25,1.9796555072984816,2.0500000000000003,6.580429761821279,22.282854080200195,-1.689370981094313,276696,296.77444678999933,35.12388610839844,123824,198.530610604062,-21.64600372314453,105872,183.5758815042169
26,2.0361074445905665,2.075,7.192802412835832,22.65142059326172,0.7411409747797649,279609,298.33254761417425,35.41292190551758,123184,198.01688064320192,-21.734081268310547,106933,184.49344448866276
27,2.032964337217596,2.1,7.008687194146489,22.75511360168457,0.6902838053878165,281930,299.56819960035165,35.39422607421875,125216,199.64340887790294,-21.732248306274414,106532,184.14719328551163
28,2.0492864697147546,2.125,7.054495608897099,22.959030151367188,-0.9486493585335406,283351,300.322201244036,35.551395416259766,126023,200.28571288671554,-21.7676944732666,106598,184.20422700747048
29,2.1275568436239034,2.15,7.969771805597079,23.241992950439453,0.4174977121799097,284463,300.9109256133776,35.84804153442383,126303,200.50808850186397,-21.803241729736328,107090,184.6288322863527
30,2.1101631130755223,2.175,7.57938838209873,23.42485237121582,0.34141604897106864,286370,301.9178731152764,35.91845703125,126392,200.57872054268785,-21.764490127563477,107861,185.29226274637008
31,2.13074145570949,2.1999999999999997,7.73284213298748,23.58551025390625,-0.5520490813137879,287065,302.28401789930916,36.13344955444336,134182,206.667503850783,-22.47121810913086,107691,185.14618535907945
32,2.1903189763355613,2.2249999999999996,8.40822948252187,23.86726188659668,0.4985389102675373,289386,303.5035827188576,36.31551742553711,134707,207.07141241166028,-22.47104263305664,109008,186.27486162422093
33,2.186325706069347,2.2499999999999996,8.225227368257332,23.990833282470703,0.5016558325778724,290907,304.30013812035645,36.35843276977539,127334,201.3247899473058,-21.85015869140625,108980,186.25093663203282
34,2.197071735043778,2.2749999999999995,8.123153969435885,24.12050437927246,-0.8631234317274274,292713,305.24325007199735,36.37716293334961,135747,207.86921878861966,-22.393070220947266,109673,186.8421797866715
35,2.2794238557728512,2.2999999999999994,9.296172228870361,24.42702293395996,0.3211015493929362,295826,306.86208692213194,36.52198791503906,128755,202.44502808316625,-21.82339096069336,110734,187.74378002127227
36,2.259358991303415,2.3249999999999993,8.7461333756553,24.494247436523438,0.2687531141409406,296846,307.3906577534742,36.53486633300781,129752,203.2273218642592,-21.760128021240234,110212,187.30074526303397
37,2.278280939716417,2.349999999999999,8.867016530996262,24.66277503967285,-0.23493163804927042,297156,307.55112182990086,36.703895568847656,114462,190.87793532089833,-22.56165313720703,110830,187.82514391249518
38,2.338747433873209,2.374999999999999,9.761886082525487,24.89769744873047,0.3466961494804118,301587,309.8356397261472,36.60935974121094,139185,210.48506243553462,-22.165882110595703,111838,188.67734641716473
39,2.328502962211438,2.399999999999999,9.433731636067733,24.90280532836914,0.280225695951859,299826,308.9297330056484,36.766353607177734,135926,208.00622488141536,-22.29509162902832,111647,188.5161633992207
40,2.3747252134118355,2.424999999999999,10.09645613122087,25.118934631347656,0.32721427888495735,302561,310.3355562510585,36.76279067993164,116018,192.17095611790828,-22.402448654174805,112943,189.60715565414685
