approach,depth_mm,force_N,force_N_raw,area_px,base_height_mm,step_mm,fine
1,0.38973140220241476,0.12459501393349053,0.13325233183488194,43341,26.674366401361322,0.4,False
1,0.4025058777937893,0.1753657156947075,0.18321602338153298,55429,26.674366401361322,0.02,True
1,0.42611229959313945,0.11491458569305771,0.12195032544841525,54419,26.674366401361322,0.02,True
1,0.44349760208237043,0.11555202097300468,0.12177652181005101,53579,26.674366401361322,0.02,True
1,0.46904187862582347,0.12359285532137342,0.1290288251462016,54141,26.674366401361322,0.02,True
1,0.4918783816859573,0.14118355954246553,0.14567089174022668,47772,26.674366401361322,0.02,True
1,0.5023531155981438,0.13318508932694828,0.13693393826990247,51974,26.674366401361322,0.02,True
1,0.5150776108390538,0.15574772155325436,0.15880326884967247,49301,26.674366401361322,0.02,True
1,0.528451090417704,0.1729389503605003,0.1752919747742709,47267,26.674366401361322,0.02,True
1,0.5418487031264796,0.20602793199343722,0.20741042604585402,48061,26.674366401361322,0.02,True
1,0.588691747217208,0.1866402769213174,0.1871117564481409,47350,26.674366401361322,0.02,True
1,0.6019513655272561,0.2267351477351349,0.22650241755819422,42114,26.674366401361322,0.02,True
1,0.6158470930253905,0.2654134078105667,0.26447920570649047,42042,26.674366401361322,0.02,True
1,0.639073130868713,0.3574154538147406,0.3558166746016639,39483,26.674366401361322,0.02,True
1,0.6303532695051146,0.2926015065242225,0.2903503714600788,39478,26.674366401361322,0.02,True
1,0.6373535549813774,0.33040293759701106,0.3274823829715814,37528,26.674366401361322,0.02,True
2,0.3865794680727177,0.022943402002671455,0.019619156530427517,55342,26.65867072513826,0.4,False
2,0.7634338357795087,0.5664630022161018,0.5640873533839624,46552,26.65867072513826,0.4,False
2,0.7715919675059624,0.6163881377405072,0.6145534878004156,21371,26.65867072513826,0.02,True
2,0.7867216668084502,0.6840828870352809,0.6828210085220491,39042,26.65867072513826,0.02,True
2,0.8111089669933627,0.6792038716708689,0.6785280111868104,42050,26.65867072513826,0.02,True
2,0.8714439967980745,0.7962540764134055,0.796146384255627,24451,26.65867072513826,0.02,True
2,0.8783326496190753,0.8587572283980338,0.8592790200590514,45799,26.65867072513826,0.02,True
2,0.893032838574225,0.9632986824578219,0.9643930259125483,40039,26.65867072513826,0.02,True
2,0.9018701019390463,1.0221509297787899,1.0238819412845117,41597,26.65867072513826,0.02,True
2,0.9098884759524388,1.0698619002881085,1.072252555028595,46942,26.65867072513826,0.02,True
2,0.9226713786542362,1.0654751673794067,1.0685673855776627,49753,26.65867072513826,0.02,True
2,0.9580756465633264,1.0484893828357866,1.0521856710691082,56077,26.65867072513826,0.02,True
2,0.9914317127959684,1.255641754633084,1.2599430678282146,43339,26.65867072513826,0.02,True
