axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,0.6764615255545863,-1.4976552614838143,0.011490823359503475,25.239381870796542,9,ball4_x-1.50.png,0.0034396998336088556,0.015333954784202497,-0.6764615255545863,-0.16538524366409013,-1.0323139872659148,0.333955089602922,-1.6577450030583034,-0.3426026361079384,0.0
x,-0.75,0.7302336443214272,-0.7463092226551293,0.002435615430232397,25.2081083490053,9,ball4_x-0.75.png,0.026054218923430385,-0.0019941280969115738,-0.7302336443214272,0.3540825975487799,-0.015552477962399445,0.39259349465377014,-0.9453760417792753,-0.41416271537118615,0.0
x,0.0,0.725478759640876,-0.0006408347246893238,0.007090018330247079,25.2023587842547,9,ball4_x+0.00.png,0.026673233393623264,0.0036132914987231147,-0.725478759640876,0.383791653720128,0.5410664946746746,0.23721537779368695,-0.20642730416772273,-0.6580128257726858,0.0
x,0.75,0.7117449310593343,0.7566764080603741,0.004863067456446234,25.226260883226097,9,ball4_x+0.75.png,0.031175415491041747,0.011929050783023244,-0.7117449310593343,0.4095074876953736,1.2510863888994113,0.42169377513276984,0.6233366705568618,-1.0094412651191655,0.0
x,1.5,0.6740275219373728,1.5088134576358594,0.008669632151470664,25.225188687697127,10,ball4_x+1.50.png,0.032577297547934946,0.012251345545393023,-0.6740275219373728,0.4401571952650146,1.6209002542395101,0.22853452925795104,1.153012928108569,-1.1237845346656496,0.0
y,-1.5,0.6459907722158335,0.0017612755894176589,-1.4865139861778858,25.226499870418643,10,ball4_y-1.50.png,0.0016000275081207605,0.020263812615427135,-0.6459907722158335,1.2056955610814575,-0.1468759554285437,0.1681875288810808,-0.29151495440789016,-2.678860984067153,0.0
y,-0.75,0.6639740924809757,4.2579693188525515e-05,-0.7403322302890956,25.21882309276324,10,ball4_y-0.75.png,0.0013870311309595706,0.03116563772688057,-0.6639740924809757,0.6559550791078728,-0.08195887124680667,0.23038721253487715,-0.17754062143458382,-2.2035972926260836,0.0
y,0.0,0.6894980840624669,0.002873724750131159,0.007832895008728693,25.230613391377517,9,ball4_y+0.00.png,0.0063823740971411524,0.02710883037199636,-0.6894980840624669,0.3208977786628514,0.0934010981850586,0.49827305562164526,-0.10427818555162588,-1.4836947243955119,0.0
y,0.75,0.676998345367457,0.005074216207013488,0.75719580383859,25.231881463920487,9,ball4_y+0.75.png,0.004765652751958882,0.03659876375267288,-0.676998345367457,-0.419459319645063,0.08970852808254381,0.3432945672221521,-0.04980780425080585,-0.780552439228299,0.0
y,1.5,0.6844122645858051,0.0029767531128594665,1.5146180812092234,25.2434375838848,9,ball4_y+1.50.png,-0.00504276656733964,0.047841590799488645,-0.6844122645858051,-0.986553798008541,0.13476335446435672,0.36516702432649595,0.38773240103881607,-0.36896263380137445,0.0
