axis,offset_mm,force_N,achieved_x_mm,achieved_y_mm,height_mm,steps,file,Fx,Fy,Fz,Tx_Nmm,Ty_Nmm,Tz_Nmm,cop_x_mm,cop_y_mm,rotate_deg
x,-1.5,0.19715722907761232,-1.499438330438693,0.00922893530862514,26.189242448459336,12,ball4_x-1.50.png,0.000733701542782228,0.007633015478951144,-0.19715722907761232,0.0462197052397334,-0.2762701922934929,0.1621309153476691,-1.5016539205296602,-1.2787849535894682,0.0
x,-0.75,0.20560652204022176,-0.7468557761717325,0.0032478536144146513,26.14333480425201,13,ball4_x-0.75.png,0.005280850560198047,-0.0009294464830325921,-0.20560652204022176,0.27462779819535377,-0.061580364857399816,0.009868783173816453,-0.9923434113309334,-1.2137543417170986,0.0
x,0.0,0.20420058190879048,0.0021036671607733977,0.0020908528987947737,26.14724671159143,13,ball4_x+0.00.png,0.001979086848369249,0.0020657779960895793,-0.20420058190879048,0.3491500402296621,0.15110256505169173,0.05950964714642737,0.4785311253601228,-1.9827307877856688,0.0
x,0.75,0.17506909036845003,0.7568854085786343,0.012663382906716784,26.172801210330768,13,ball4_x+0.75.png,0.005617028592198281,0.004931082906589701,-0.17506909036845003,0.27346957340357025,0.30961939962952933,-0.060326884783501455,0.9030664556316557,-2.321862977320325,0.0
x,1.5,0.20241314162786353,1.5068164687796775,0.006367536644279696,26.181200523244982,13,ball4_x+1.50.png,0.008770944484032484,-0.0008566796524627663,-0.20241314162786353,0.3257705693509444,0.40723264423009886,0.24482621272996496,0.8430026153456301,-1.4952659503065275,0.0
y,-1.5,0.19349951185058387,-0.0010645287840382804,-1.490348292585942,26.14271971354023,14,ball4_y-1.50.png,3.805009895856415e-05,0.006463644787380041,-0.19349951185058387,0.4616565879926676,-0.11611174795883028,0.2811741065888551,-0.6053666763193372,-3.2869054075835793,0.0
y,-0.75,0.16406607453990887,0.001201799809278028,-0.7374428539118916,26.18751055825722,12,ball4_y-0.75.png,0.004610972979986272,0.0033083651214113273,-0.16406607453990887,0.34101251675191513,-0.05454131362162551,0.2026775696126748,-1.0905554736177332,-2.622457287511609,0.0
y,0.0,0.20153378292660876,0.004464383275342506,0.010268175623461186,26.14398449484476,15,ball4_y+0.00.png,0.009332346543626713,0.007216475595434524,-0.20153378292660876,0.37793720934713726,0.021663759632911672,0.07192195258687306,-1.1416349012476041,-2.841225694557845,0.0
y,0.75,0.1854138097757186,0.004374266119872823,0.7581842121617446,26.198931229750322,11,ball4_y+0.75.png,0.009936549373708558,0.003597132937583858,-0.1854138097757186,0.2725433040702302,-0.11232257627662445,0.1711613185243266,-2.051426584241882,-1.9932529588315169,0.0
y,1.5,0.19217853127625234,0.0026296040939899784,1.513959883135989,26.2419693350264,10,ball4_y+1.50.png,0.006977273784714555,0.008610978306771423,-0.19217853127625234,0.14714273565636926,-0.037505259591791296,0.2808988582053473,-1.1745250543504353,-1.974338406153993,0.0
