unit,pr,hard,th,rep,ceil,depth,peak,peak_final,steps,fmax,dmax,img0,img1,d_over_t,two_steps_adjacent,ceil_strict,registry_ceil,match_err,ramp_from
DIGIT_hard_1mm_r1,DIGIT,hard,1,1,9.84857194359586,1.1207383017064672,3.306146132971909,3.306146132971909,12,12.711365671062447,1.176957902384579,6.433299541473389,16.807416915893555,1.1207383017064672,True,9.84857194359586,9.84857194359586,0.0,DIGIT_hard_1mm_r1__ceiling
DIGIT_hard_1mm_r2,DIGIT,hard,1,2,5.194252392097544,0.9152609477115696,6.474547373225153,6.474547373225153,12,10.66614955256369,1.1033481827724143,3.4078400135040283,17.22289276123047,0.9152609477115696,True,5.194252392097544,5.194252392097544,0.0,DIGIT_hard_1mm_r2__ceiling
DIGIT_hard_2mm_r1,DIGIT,hard,2,1,7.369257710949978,1.5522382917563746,4.806645506424797,4.806645506424797,17,9.041913375399412,1.6640180304505847,6.498032569885254,19.61933135986328,0.7761191458781873,True,7.369257710949978,7.369257710949978,0.0,DIGIT_hard_2mm_r1__ceiling
DIGIT_hard_2mm_r2,DIGIT,hard,2,2,9.029345784596403,1.6302656865925904,4.300627740900884,4.300627740900884,18,14.180584748725082,1.8107924936830957,7.00884485244751,21.23182678222656,0.8151328432962952,True,9.029345784596403,9.029345784596405,1.7763568394002505e-15,DIGIT_hard_2mm_r2__ceiling
DIGIT_hard_3mm_r1,DIGIT,hard,3,1,7.880387980449271,2.201433003320613,2.8896851003685065,2.8896851003685065,26,10.25003674719404,2.40297874246998,5.071468830108643,14.869571685791016,0.7338110011068709,True,7.880387980449271,7.880387980449271,0.0,DIGIT_hard_3mm_r1__ceiling
DIGIT_hard_3mm_r2,DIGIT,hard,3,2,7.864814161882879,1.9808530848001349,4.043757018536492,4.043757018536492,22,10.111069316039984,2.1442128850591478,6.942079544067383,18.891855239868164,0.660284361600045,True,7.864814161882879,7.864814161882879,0.0,DIGIT_hard_3mm_r2__ceiling
DIGIT_medium_1mm_r1,DIGIT,medium,1,1,7.521938639870854,1.1024184236638277,3.5249677693771098,3.5249677693771098,13,15.11364591143357,1.2730606043942707,6.735444068908691,17.60466766357422,1.1024184236638277,True,7.521938639870854,7.521938639870854,0.0,
DIGIT_medium_1mm_r2,DIGIT,medium,1,2,8.927928983453356,1.1137343618566111,2.995382433902099,2.995382433902099,14,11.20962142538636,1.1805001794316323,7.02707576751709,16.841480255126953,1.1137343618566111,True,8.927928983453356,8.927928983453356,0.0,
DIGIT_medium_2mm_r1,DIGIT,medium,2,1,5.195311888728128,1.6014551979600462,7.306718786208827,7.306718786208827,30,11.174789516640198,2.054068520566709,5.529553890228272,21.933725357055664,0.8007275989800231,True,5.195311888728128,5.195311888728128,0.0,DIGIT_medium_2mm_r1__ceiling
DIGIT_medium_2mm_r2,DIGIT,medium,2,2,7.330577210347362,1.4455435243355907,4.211086468297673,4.211086468297673,23,10.454760135610332,1.6093485728665549,7.558707237243652,20.03657913208008,0.7227717621677954,True,7.330577210347362,7.3305772103473625,8.881784197001252e-16,DIGIT_medium_2mm_r2__ceiling
DIGIT_medium_3mm_r1,DIGIT,medium,3,1,6.634052774018221,2.2170745818890225,3.209953144876458,3.209953144876458,43,10.68093088794026,2.622656374138547,6.47459888458252,17.591135025024414,0.7390248606296742,True,6.634052774018221,6.634052774018221,0.0,DIGIT_medium_3mm_r1__ceiling
