unit,principle,hardness,thickness_mm,contact_r_px,dot_frac,resp_contact_2N,resp_ring_2N,n_frames
hard_1mm_r1,9DTact,hard,1,244.7,0.0,13.814,1.936,8
hard_2mm_r1,9DTact,hard,2,209.8,0.0,14.67,2.383,8
hard_2mm_r2,9DTact,hard,2,223.6,0.0,13.114,2.196,8
hard_3mm_r1,9DTact,hard,3,180.2,0.0,11.366,2.363,8
hard_3mm_r2,9DTact,hard,3,194.7,0.0,10.896,2.417,8
medium_1mm_r1,9DTact,medium,1,244.6,0.0,14.49,2.205,8
medium_1mm_r2,9DTact,medium,1,218.1,0.0,10.852,2.196,8
medium_3mm_r1,9DTact,medium,3,241.5,0.0,20.004,3.219,8
medium_3mm_r2,9DTact,medium,3,229.4,0.0,26.028,3.5,8
soft_1mm_r1,9DTact,soft,1,252.3,0.0,10.699,1.743,8
soft_1mm_r2,9DTact,soft,1,257.5,0.0,11.66,1.874,8
soft_2mm_r1,9DTact,soft,2,249.9,0.0,23.867,3.008,8
soft_2mm_r2,9DTact,soft,2,260.3,0.0,28.772,3.928,8
soft_3mm_r1,9DTact,soft,3,248.1,0.0,31.098,4.11,8
soft_3mm_r2,9DTact,soft,3,261.8,0.0,29.354,4.157,8
hard_1mm_r1,DIGIT_Marker,hard,1,161.3,0.126,6.064,1.375,8
hard_1mm_r2,DIGIT_Marker,hard,1,166.3,0.102,4.042,1.307,8
hard_2mm_r1,DIGIT_Marker,hard,2,181.0,0.099,4.898,1.26,8
hard_2mm_r2,DIGIT_Marker,hard,2,168.4,0.166,5.499,1.486,8
hard_3mm_r1,DIGIT_Marker,hard,3,190.8,0.106,5.129,1.405,8
hard_3mm_r2,DIGIT_Marker,hard,3,174.6,0.104,5.058,1.41,8
medium_1mm_r1,DIGIT_Marker,medium,1,180.9,0.153,8.149,1.359,8
medium_1mm_r2,DIGIT_Marker,medium,1,162.3,0.139,5.851,1.431,8
medium_2mm_r1,DIGIT_Marker,medium,2,171.7,0.103,4.771,1.37,8
medium_2mm_r2,DIGIT_Marker,medium,2,178.3,0.147,7.453,1.502,8
medium_3mm_r2,DIGIT_Marker,medium,3,188.4,0.098,4.63,1.35,8
soft_1mm_r1,DIGIT_Marker,soft,1,147.0,0.125,5.791,1.299,8
soft_1mm_r2,DIGIT_Marker,soft,1,163.1,0.13,6.731,1.413,8
soft_2mm_r1,DIGIT_Marker,soft,2,196.3,0.083,6.879,1.532,8
soft_2mm_r2,DIGIT_Marker,soft,2,174.0,0.138,5.294,1.408,8
soft_3mm_r1,DIGIT_Marker,soft,3,179.7,0.107,4.963,1.506,8
soft_3mm_r2,DIGIT_Marker,soft,3,174.7,0.119,8.964,1.707,8
hard_1mm_r1,DIGIT,hard,1,175.2,0.0,12.668,1.571,8
hard_1mm_r2,DIGIT,hard,1,210.4,0.0,9.175,1.4,8
hard_2mm_r1,DIGIT,hard,2,197.6,0.0,10.195,1.545,8
hard_2mm_r2,DIGIT,hard,2,199.6,0.0,8.506,1.518,8
hard_3mm_r1,DIGIT,hard,3,200.7,0.0,5.031,1.354,8
hard_3mm_r2,DIGIT,hard,3,202.3,0.0,6.613,1.385,8
medium_1mm_r1,DIGIT,medium,1,182.6,0.0,8.843,1.449,8
medium_1mm_r2,DIGIT,medium,1,188.1,0.0,10.618,1.523,8
medium_2mm_r1,DIGIT,medium,2,216.8,0.0,10.575,1.596,8
medium_2mm_r2,DIGIT,medium,2,199.6,0.0,10.186,1.484,8
medium_3mm_r1,DIGIT,medium,3,203.8,0.0,5.902,1.399,8
medium_3mm_r2,DIGIT,medium,3,216.6,0.0,7.35,1.455,8
soft_1mm_r1,DIGIT,soft,1,166.8,0.0,7.106,1.433,8
soft_1mm_r2,DIGIT,soft,1,177.1,0.0,8.754,1.532,8
soft_2mm_r1,DIGIT,soft,2,208.2,0.0,7.016,1.409,8
soft_2mm_r2,DIGIT,soft,2,215.7,0.0,6.083,1.37,8
soft_3mm_r1,DIGIT,soft,3,202.9,0.0,7.588,1.478,8
soft_3mm_r2,DIGIT,soft,3,200.9,0.0,9.205,1.57,8
